Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Steel Dynamics, Inc.', '4.3']",http://www.steeldynamics.com/,Developer / Programmer,"Sinton, TX",$60K - $90K (Glassdoor est.),"Overview:
A Developer – Programmer is a position on the IT Team at SDI Southwest Division reporting directly to a Lead Developer or IT Supervisor.
Responsibilities:
Develop new applications in .Net framework using Web or Desktop environments
Customize home grown applications in Power Builder
Creation/Modification of Tables, Store Procedures, Triggers and SQL Functions
Creation/Modification of reports in SSRS, SSIS, Power BI and Power Builder
Work with the end-user to interpret business requirements
Collaborate with other members of the IT Team to resolve existing issues with the applications
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c541361a49f19aa706ee840&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_11a85223&cb=1668264770875&jobListingId=1008172208588&jrtk=3-0-1ghm584s8kf18801-1ghm584soimbd800-9ee3ac87063b0285-
"['Steel Dynamics, Inc.', '4.3']",http://www.steeldynamics.com/,Developer / Programmer,"Sinton, TX",$60K - $90K (Glassdoor est.),"Overview:
Brief Description:Software Engineer performing a variety of tasks including analyzing, developing, testing, and deploying, and supporting software for the business.
Responsibilities:
Position Responsibilities:
Reviews, Analyzes, and modifies software applications including coding, testing, debugging, documenting, and installing
Gathers Software Requirements through user engagement
Documents Software Requirements
Carries out assigned programming tasks
Provides User Support of software applications (including bug fixes, report writing, data alteration, etc).
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c541361a49f19aa706ee840&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fbeafaae&cb=1668264772679&jobListingId=1008137851171&jrtk=3-0-1ghm584s8kf18801-1ghm584soimbd800-75d3db7e39a0848d-
"['Steel Dynamics, Inc.', '4.3']",http://www.steeldynamics.com/,Developer / Programmer,"Sinton, TX",$60K - $90K (Glassdoor est.),"Overview:
We are seeking a knowledgeable IT professional to develop and integrate IT systems. The right candidate will take the hassle out of resolving technical problems related to both hardware and software to maximize the value of technology in our business. Additionally, the candidate will become an expert on the functional side of the business applications. We are further looking for superior people skills, technical expertise, and an aptitude for problem-solving.
Responsibilities:
Develop specifications required to meet business objectives
Provide strategic advice on using technology to achieve goals
Support technological & functional implementations
Coding and debugging of new and existing applications
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c541361a49f19aa706ee840&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d8718ab5&cb=1668264775546&jobListingId=1007994163337&jrtk=3-0-1ghm584s8kf18801-1ghm584soimbd800-dcfacbc35d7f2f97-
"['Steel Dynamics, Inc.', '4.3']",http://www.steeldynamics.com/,Developer / Programmer,"Sinton, TX",$60K - $90K (Glassdoor est.),"Responsibilities:
Monitor mill performance relating to volume, quality, delay rate and yield and make improvements in these areas.
Maintain backups of all software related to mill operation and support systems.
Ensure work group safety and a safe work environment for the entire department relating to changes in process control.
Develop technicians troubleshooting skills and programming skills.
Keep the work group and department up to date on changes affecting mill operations.
Report to the electrical supervisor, keeping them up to date of all activities.
Maintain the automation hardware and programming interfaces.
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c541361a49f19aa706ee840&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a5f4f670&cb=1668264778367&jobListingId=1007896112119&jrtk=3-0-1ghm584s8kf18801-1ghm584soimbd800-01c4dc15ae8710f1-
"['Steel Dynamics, Inc.', '4.3']",http://www.steeldynamics.com/,Software Engineer,"Columbia City, IN",$71K - $104K (Glassdoor est.),"Overview:
Brief Description:Software Engineer performing a variety of tasks including analyzing, developing, testing, and deploying, and supporting software for the business.
Responsibilities:
Position Responsibilities:
Reviews, Analyzes, and modifies software applications including coding, testing, debugging, documenting, and installing
Gathers Software Requirements through user engagement
Documents Software Requirements
Carries out assigned programming tasks
Provides User Support of software applications (including bug fixes, report writing, data alteration, etc).
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c546634902beba0c0c9bc7d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_77254eaf&cb=1668264791223&jobListingId=1008137851171&jrtk=3-0-1ghm58pj528q7001-1ghm58pjpg4f7800-75d3db7e39a0848d-
"['Ardent Eagle Solutions', '4.0']",http://www.ardenteaglesolutions.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"RESEARCH ANALYST/EVALUATOR I PARALEGAL
Ardent Eagle Solutions
Washington, DC
Contract Labor Category: RESEARCH ANALYST/EVALUATOR I PARALEGAL
Clearance: Current Public Trust Background Investigation
ABOUT US:
Ardent Eagle Solutions (AES) is a dynamic and growing small business supporting the Federal Government,",7d,
"['National Steel and Shipbuilding Com', '3.4']",http://www.nassco.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Shift ALL
Security Clearance No Clearance ESSENTIAL FUNCTIONS AND PURPOSE (Job Description)
The Management Analyst has a wide array of diverse duties and responsibilities. Responsible for providing daily Quality Assurance office management to ensure organizational effectiveness and efficiency. This includes Test & Inspection Plan Development, Reporting Requirements, QMS Maintenance and Records Management. Capable of independent complex analysis, new method identification, and serves as a point of contact for internal/external contacts. Works within general guidelines on broadly defined projects. Requires originality, with some latitude for empowered decision making. Frequent client contact is routine if assigned to a project. Errors in work or actions may significantly affect the immediate organizational unit or project or facet of business activity. Regular, reliable attendance on-site is an essential function of the job.
POSITION DEMANDS (Education/Training)
BA/BS in Business Administration or a related academic field of study plus 2 years directly related experience or AA/AS plus 4 years directly related experience, or 8 years directly related experience with a minimum of 5 years’ experience in ship repair industry

POSITION DEMANDS (Required Experience)
Strong analytical and organizational skills
High level of proficiency with Microsoft Office Suite

PHYSICAL REQUIREMENTS

Carrying

Lifting

Walking

Climbing

Pulling

Must be able to go on vessels

Crawling
X
Sitting
X


Crouching

Standing

X
Hearing

Stooping


Kneeling
X
Talking

Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception, and the ability to adjust focus. The employee is regularly required to sit, use hands and fingers, handle or feel objects or controls, and to talk and hear. The noise level is this environment is usually moderate

WORKING RELATIONSHIPS
Reports to Quality Assurance Manager
Interfaces daily with Quality and Production management, internal and external customers. Excellent oral and written communication skills – able to get along well with a wide range of people. Coordinate and manage the administrative staff (2-5) that support the NASSCO project teams.

PRINCIPAL RESPONSIBILITIES
Coordinate and manage the administrative duties that support the NASSCO Quality and Production teams.
Confer with relevant personnel to ensure smooth operation of various processes and procedures that contribute to the production and services of NASSCO-Mayport.
Provide input into the formulation, development, implementation and continuous improvement of policies, procedures and instructions as required.
Provide administrative support for special projects as required by management.
Schedule meetings and events as required.
Develop, review and submit required reports.
Perform additional data analysis as required.

ACCOUNTABILITY
Completes assigned tasks accurately within cost and schedule commitments
with accurate and quality output.
Decision making and information accuracy output.

STANDARD EQUIPMENT ISSUE
Cell Phone, Desktop Computer, Dual Monitor, CAC or Smart Card Reader

UNIQUE/ADDITIONAL REQUIREMENTS
Meet the requirements to obtain a DoD Regional Contractor Badge and requirements for access to U.S. Navy/ U.S. Coast Guard bases and Shipyard Controlled Industrial Areas.
Must be able to gain access to all work locations, including government and private ship yards and/or vessels.
Must be willing to travel and have reliable transportation. May require travel up to 30% to include international.
Regular, reliable attendance and punctuality on-site and be available for overtime as required is an essential function of the job.

General Dynamics NASSCO is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other basis protected by local, state, or federal law.
To learn more about applicant rights under federal law, click here:
EEO is the Law Poster
EEO is the Law Supplement
Pay Transparency
If you have a disability that impacts your ability to complete the job application process and would like to request an accommodation, please contact our Human Resources Department.
For Mayport, call (904)249-7772
This contact information is for accommodation requests only, not to inquire about the status of applications.",9d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c54b923aabd3dcd43f81d0a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7c9971b1&cb=1668264817159&jobListingId=1008254731225&jrtk=3-0-1ghm59ebdm6om801-1ghm59ebtgspa800-979706717ff2bf09-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.
We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.
Please note: This position has the possibility to work remotely up to 100% of the time. The position will require occasional travel to the Phoenix corporate offices and/or site locations . This position may be performed anywhere in the U.S. except California, Connecticut, New Hampshire, Massachusetts, Michigan, Illinois, Kentucky and New York. Additional states may be excluded from remote work based on business factors. Should the positions shift to in-office work in the future, the company will offer relocation benefits at that time should the position meet the established eligibility for these benefits.",16d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c54b923aabd3dcd43f81d0a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bc247ba1&cb=1668264821053&jobListingId=1008236040438&jrtk=3-0-1ghm59ebdm6om801-1ghm59ebtgspa800-4f4d7451b8dd97f6-
"['National Steel and Shipbuilding Com', '3.4']",http://www.nassco.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Job Posting End Date: Until Filled
Shift: 1st shift
Security Clearance: No Clearance Required
SUMMARY
Provide technical assistance to the end-users of the mainframe computer and the Enterprise Network and under direct supervision of the Help Desk Supervisor, analyzes, troubleshoots, repairs and maintains desktop systems and peripheral equipment. Reports to the Help Desk Supervisor. Works with users to implement changes and debug problems on their NASSCO issued IT device(s).
ESSENTIAL FUNCTIONS AND DUTIES Performs installs and upgrades of desktop hardware, software and peripherals. Performs desktop tests to ensure proper desktop operation. Debugs common desktop and peripheral errors. Performs basic review of desktop applications and identify system problems. Prepares personal plans and estimates for assigned tasks. Prepares status reports to reflect progress against plan and updates assigned IT tickets with status. Receives and records all incoming trouble calls. Initiates problem-tracking tickets. Employs Tier 1 problem resolution to the technical problems encountered by the end-users in the areas of mainframe, personal computer, and networking issues. Interfaces with appropriate venders to service equipment. Reports network faults including hardware, software, and vender maintenance to responsible areas. Follow-up any pending problems to ensure that all requirements have been established. Resolve and follow-up with end-users on problems with a high level of complexity. Responsible to elevate problems of unusual complexity to management level personnel. Key contact for communications to user community on network/system outage statuses. Responsible for IT management notification of high impact problems. Provides problem status to end-users. Recommends modifications to procedures. Provides general information and status regarding the shared processing services. Assists in department server administration in resetting account activation. Updates and maintains inventory systems. Maintains documentation to Help Desk procedures. Additional responsibilities and duties as assigned.",30d+,
"['Steel Dynamics, Inc.', '4.3']",http://www.steeldynamics.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Overview:
Business system analyst for the CLP department which consist of design, engineering, sales, and project management
Responsibilities:
Responding to staff requests for support followed up with diagnosing, troubleshooting, and solutions.
Developing reports and dashboards to help our departments make informed decisions.
Documenting solutions and tracking support requests using a project management tool.
Developing plans for more efficient ways to handle common issues.
Making security change requests through active directory or our business systems.
Assisting with special IT objective projects as skills allow:
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c54b923aabd3dcd43f81d0a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3ee609d6&cb=1668264825819&jobListingId=1008069198583&jrtk=3-0-1ghm59ebdm6om801-1ghm59ebtgspa800-bda6dba42ab57e11-
