Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['StoneX Group', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Overview:
We are an agile, passionate team capable of building scalable, performant solutions to solve real world problems on a global scale. As a member of the Client Onboarding team, you will work with our sales teams and back office review teams to write and update client onboarding applications using modern technologies. The successful candidate will need to work in a team environment, help influence the direction of our technology and be able to interact with other team members and teams on creating exciting solutions to complex problems. You will have the opportunity to make an immediate impact – the work you do will help in tangible way
Responsibilities:
Follow our software development practices and methodologies
Participate in scrum ceremonies, including Story Pointing, Sprint Planning, Sprint Reviews and Sprint Retrospectives
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2022ae24&cb=1668245474624&jobListingId=1008193188857&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-99c177e9b4b4c51e-
,,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),,22d,
"['StoneX Group', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Overview:
We are an agile, passionate team capable of building scalable, performant solutions to solve real world problems on a global scale. As a member of the Client Onboarding team, you will work with our sales teams and back office review teams to write and update client onboarding applications using modern technologies. The successful candidate will need to work in a team environment, help influence the direction of our technology and be able to interact with other team members and teams on creating exciting solutions to complex problems. You will have the opportunity to make an immediate impact – the work you do will help in tangible ways.
Responsibilities:
Create/enhance applications that will enable onboarding of customers in smarter and more efficient ways.
Translate product requirements and develop software architectures and designs to bring them to life.
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8e8117f4&cb=1668245480180&jobListingId=1008193715191&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-ecd43c69e0646ee2-
"['StoneX Group', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Overview:
StoneX Digital Payments is looking for an Engineering Manager to lead the design, development, and implementation of software for the platform. This focuses on developer experience, operational excellence, automation, and quality. You will hire and manage a team of full stack platform engineers whose goal will be to deliver high-quality software that aligns and speeds up the software engineering teams. Reporting to the Head of Engineering you will be a key leader in executing our technology strategy and taking the lead on lean agile projects, ensuring projects are completed up to quality standards and on time.
You will be responsible for the technical excellence and approach taken by team members, including providing guidance and oversight, planning and monitoring work schedules, managing capacity, analyzing software performance and configuration systems, ensuring peer code reviews and documentation, and managing the deployment and integration of new software in alignment with technology standards. You will collaborate with Core IT and software engineering teams to plan, scope, develop and deploy solutions, continuously iterating to ensure that new features are adding value, enabling, and empowering our software engineering teams.
Responsibilities:
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5acf6e29&cb=1668245481996&jobListingId=1008201189305&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-aafce86bc1bbe4a4-
"['StoneX Group Inc. US', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Position Purpose: The Machine Learning Engineer is responsible for empowering the Data team to achieve its value-add objectives: setting up data pipelines for Data ingestion, Analytics, Machine Learning on large data sets to derive value from firm’s data assets. The ideal candidate will exhibit passion for continuous improvement and a dedicated focus on enabling consumers to achieve their goals by making data driven decisions.
Number of Openings: 2
Location: 230 South LaSalle, Ste. 10-500, Chicago, Illinois, 60604
Primary Accountabilities/Responsibilities:
Develop software solutions and implement machine learning algorithms and tools to drive data science and machine learning projects.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_051d45a5&cb=1668245483892&jobListingId=1008124172743&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-4669aaf04709e023-
"['StoneX Group', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Overview:
The Full-Stack Developer is a member of the product development team who takes responsibility for implementing parts of the system architecture using best practices in an agile development environment. This will include coding, unit testing, using design patterns, learning new technologies, and becoming an expert in the system. The candidate will also be expected to provide technical leadership, architectural support, and overall solution design support.

Responsibilities:
Primary Accountabilities/Responsibilities:
Follow our software development practices and methodologies
Participate in scrum ceremonies, including Story Pointing, Sprint Planning, Sprint Reviews, and Sprint Retrospectives


Qualifications:",21d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bb079c50&cb=1668245486795&jobListingId=1008225902837&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-34c8d235880642fe-
"['StoneX Group', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Overview:
We are seeking a UI/UX Designer to join our product design team. The successful candidate will be responsible for designing experiences for browser-based financial software and custom mobile apps for our end users.
Responsibilities:
Create pixel-perfect screen mock-ups and prototypes of complex financial software in Figma
Take a positive hands-on approach to collaboration on product innovation and standardization
Assist with requirements gathering and visualization
Facilitate delivery of UI specifications to developers
Qualifications:",24d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_089751ab&cb=1668245489557&jobListingId=1008217719327&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-9ea0818dc2076500-
"['StoneX Group', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Overview:
The Sr. Robotic Process Automation Developer is responsible for the development, operation, and maintenance of RPA applications and business process workflows, primarily built on 3rd party applications. The developer ensures that system hardware, operating systems, application configuration, and related procedures adhere to company policies and standards.

The developer will assist in the design, implementation, and support of new process workflows in collaboration with other staff, including Solutions Architects, Business Analysts, and Project Managers. The developer will collaborate with Network, Server, Database Administration, and other development teams to ensure the proper integration of systems in the environment.
Responsibilities:

Design, configure, and implement RPA process flows, content management and workflow application solutions
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5870fd37&cb=1668245491337&jobListingId=1008193715182&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-2061d935fab8f3e2-
"['StoneX Group', '3.7']",http://www.stonex.com/,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),"Overview:
Lead a team of 5 to 6 developers and maintain in-house applications, Support Oracle cloud HCM/ERP implementation and data conversion from legacy systems. Communicate with the business for the upcoming projects and share a complete plan for support and implementation.
Responsibilities:
The technical Lead managing development team and supporting Financials: General Ledger, Payables, Receivables, Assets, Cash Management.
Lead the development team for in-house and cloud integration applications.
Conduct Functional/Technical Design Workshops, identify strategies, risks, and options, and then recommend approaches that sidestep problems and help businesses and functions meet their needs.
Defining new and refining existing solutions using industry best practices for enterprise data management and data integration.
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b2dba2bb4b59ee5f7cfb70b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c604518b&cb=1668245494134&jobListingId=1008193715179&jrtk=3-0-1ghlirej3ma6j801-1ghlirejnjc8g800-e9cd7e6aa0accb4d-
,,Software Developer II,"West Des Moines, IA",$66K - $86K (Glassdoor est.),,30d+,
