Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Stryker', '4.1']",http://www.stryker.com/,Software Engineering Co-Op - Kettering,"Portage, MI",$90K - $144K (Glassdoor est.),"Why engineering at Stryker?
At Stryker we are dedicated to improving lives, with a passion for researching and developing new medical device products. As an engineer at Stryker, you will be proud of the work that you will be doing, using cutting-edge technologies to make healthcare better. Here, you will work in a supportive culture with other incredibly talented and intelligent people, creating industry-leading medical technology products. You will also have growth opportunities as we have a culture that supports your personal and professional development.
Need another reason to apply? Check out these 8 reasons to join Stryker's engineering team: https://www.strykercareersblog.com/post/8-reasons-to-join-strykers-engineering-team
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting",13d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469e705f18da63fca2fbd2ff1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_67632b40&cb=1668224074172&jobListingId=1008242753987&jrtk=3-0-1ghkue1h9ma4j801-1ghkue1hojc8g800-defb0d77262d05b2-
"['Stryker', '4.1']",http://www.stryker.com/,Software Engineering Co-Op - Kettering,"Portage, MI",$90K - $144K (Glassdoor est.),"Why engineering at Stryker?
At Stryker we are dedicated to improving lives, with a passion for researching and developing new medical device products. As an engineer at Stryker, you will be proud of the work that you will be doing, using cutting-edge technologies to make healthcare better. Here, you will work in a supportive culture with other incredibly talented and intelligent people, creating industry-leading medical technology products. You will also have growth opportunities as we have a culture that supports your personal and professional development.
Need another reason to apply? Check out these 8 reasons to join Stryker's engineering team: https://www.strykercareersblog.com/post/8-reasons-to-join-strykers-engineering-team
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469e705f18da63fca2fbd2ff1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_48e9f128&cb=1668224077349&jobListingId=1008177213148&jrtk=3-0-1ghkue1h9ma4j801-1ghkue1hojc8g800-799ca1a178aeaf53-
"['Stryker', '4.1']",http://www.stryker.com/,Software Engineering Co-Op - Kettering,"Portage, MI",$90K - $144K (Glassdoor est.),"Why engineering at Stryker?
At Stryker we are dedicated to improving lives, with a passion for researching and developing new medical device products. As an engineer at Stryker, you will be proud of the work that you will be doing, using cutting-edge technologies to make healthcare better. Here, you will work in a supportive culture with other incredibly talented and intelligent people, creating industry-leading medical technology products. You will also have growth opportunities as we have a culture that supports your personal and professional development.
Need another reason to apply? Check out these 8 reasons to join Stryker's engineering team: https://www.strykercareersblog.com/post/8-reasons-to-join-strykers-engineering-team
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469e705f18da63fca2fbd2ff1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0bde0b17&cb=1668224079853&jobListingId=1008123411062&jrtk=3-0-1ghkue1h9ma4j801-1ghkue1hojc8g800-c57eaad1bf7905b9-
"['Stryker', '4.1']",http://www.stryker.com/,Software Engineering Co-Op - Kettering,"Portage, MI",$90K - $144K (Glassdoor est.),"Why engineering at Stryker?
At Stryker we are dedicated to improving lives, with a passion for researching and developing new medical device products. As an engineer at Stryker, you will be proud of the work that you will be doing, using cutting-edge technologies to make healthcare better. Here, you will work in a supportive culture with other incredibly talented and intelligent people, creating industry-leading medical technology products. You will also have growth opportunities as we have a culture that supports your personal and professional development.
Need another reason to apply? Check out these 8 reasons to join Stryker's engineering team: https://www.strykercareersblog.com/post/8-reasons-to-join-strykers-engineering-team
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469e705f18da63fca2fbd2ff1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fb8af566&cb=1668224083163&jobListingId=1007944574836&jrtk=3-0-1ghkue1h9ma4j801-1ghkue1hojc8g800-b8417a15ea6c0dab-
"['Stryker', '4.1']",http://www.stryker.com/,Software Engineering Co-Op - Kettering,"Portage, MI",$90K - $144K (Glassdoor est.),"Why engineering at Stryker?
At Stryker we are dedicated to improving lives, with a passion for researching and developing new medical device products. As an engineer at Stryker, you will be proud of the work that you will be doing, using cutting-edge technologies to make healthcare better. Here, you will work in a supportive culture with other incredibly talented and intelligent people, creating industry-leading medical technology products. You will also have growth opportunities as we have a culture that supports your personal and professional development.
Need another reason to apply? Check out these 8 reasons to join Stryker's engineering team: https://www.strykercareersblog.com/post/8-reasons-to-join-strykers-engineering-team
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469e705f18da63fca2fbd2ff1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_00d5316e&cb=1668224085776&jobListingId=1007961840346&jrtk=3-0-1ghkue1h9ma4j801-1ghkue1hojc8g800-f663046ee4b13608-
"['Stryker', '4.1']",http://www.stryker.com/,IT Project Manager- Northeast,"Cincinnati, OH",$81K - $173K (Employer est.),"Why join Stryker?
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting stryker.com
Our benefits include bonuses; commissions; healthcare; insurance benefits; retirement programs; stock based plans; paid time off plans; family and parenting leaves; tuition reimbursement; wellness programs; onsite fitness centers and cafeterias; discount purchase programs; and service and performance awards – not to mention various social and recreational activities.

Based remotely in the Northeast, you will plan and coordinate all aspects of internal information system-specific projects from initiation to delivery. Projects often involve network, server, or software implementation and upgrades, PC deployment and the like. Coordinates work performed by IT staff and internal customers/partners by defining project requirements, performing feasibility and needs/impact assessments. Develops detailed project plans and manages all implementation processes including resource allocation, progress tracking, monitoring change control process, testing, documentation, training and on-time delivery within budget constraints",14d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469e79578afefb1bf19bb8fa6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3a6e826&cb=1668224113027&jobListingId=1008239858000&jrtk=3-0-1ghkuf5djmbgq801-1ghkuf5e4irkn800-745824baaedeb1c3-
"['Stryker', '4.1']",http://www.stryker.com/,IT Project Manager- Northeast,"Cincinnati, OH",$81K - $173K (Employer est.),"Why join Stryker?
We are proud to be named one of the World’s Best Workplaces and a Best Workplace for Diversity by Fortune Magazine! Learn more about our award-winning organization by visiting stryker.com
Our benefits include bonuses; commissions; healthcare; insurance benefits; retirement programs; stock based plans; paid time off plans; family and parenting leaves; tuition reimbursement; wellness programs; onsite fitness centers and cafeterias; discount purchase programs; and service and performance awards – not to mention various social and recreational activities.

Manages implementation process for Stryker media management and workflow projects from the planning phase through customer sign-off in assigned territory. Key metrics include Scope/Quality, Cost, and Schedule.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469e79578afefb1bf19bb8fa6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7012f262&cb=1668224115774&jobListingId=1008074243637&jrtk=3-0-1ghkuf5djmbgq801-1ghkuf5e4irkn800-557cb43dff5ece4f-
"['Model N', '4.1']",http://www.modeln.com/,Business Intelligence Analyst,Remote,$51K - $75K (Glassdoor est.),"Serve as an SME for analyzing the business data and provide thought leadership on all matters related to BI and Data Warehouse
Be the point person for analytics in the organization. You will work with people on the business and technical side to design, develop, deploy, and support analytics on the BI platform
Understand business requirements regarding key business metrics and KPIs, and provide development of dashboards, visualizations, goals, and ad-hoc reports.
Use analytical insights to help increase business teams effectiveness against key strategic goals
Work with business, and technical stakeholders to define requirements for new projects and enhancements to existing solutions
Support the modernization of our analytical capabilities and growing our data-driven culture by staying up to date on new features, demoing capabilities, developing POC’s and related activities",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469e7f0cb9602bdd94a33f017&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_09c3f6ec&cb=1668224126199&jobListingId=1007974849065&jrtk=3-0-1ghkufs80mbhi801-1ghkufs8tg4f7800-bf1884ca4b265d78-
"['Yorktown Systems Group', '4.1']",http://www.ysginc.com/,Business Intelligence Analyst,Remote,$51K - $75K (Glassdoor est.),"Job Description:

Summary:
Yorktown systems Group is seeking a highly qualified TCM SBCT Information Technology and Security Analyst to provide professional services to execute, operate and maintain, and assist in the integration of Doctrine, Organization, Training, Materiel, Leadership, Personnel and Facilities (DOTMLPF) improvements into SBCT formations in support of the U.S. Army TRADOC Capability Manager for Stryker Brigade Combat Team (TCM SBCT). TCM SBCT is TRADOC’s DOTMLPF integrator for SBCT formations. This mission requires intensive interaction with these units, operating force Major Commands, acquisition communities and TRADOC Centers of Excellence. TCM SBT requires support in six key areas of its mission: 1) Material Integration and
Program Management; 2) Stryker Requirements and Test & Evaluation; 3) Stryker Training Aids, Devices,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469e7f0cb9602bdd94a33f017&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_139ad526&cb=1668224129080&jobListingId=1007941493158&jrtk=3-0-1ghkufs80mbhi801-1ghkufs8tg4f7800-9a2666d6f2cb0b6f-
"['Yorktown Systems Group', '4.1']",http://www.ysginc.com/,Business Intelligence Analyst,Remote,$51K - $75K (Glassdoor est.),"Job Description:

Summary:
Yorktown systems Group is seeking a highly qualified SBCT Logistics, Sustainment and Safety Integration Analyst to provide professional services to execute, operate and maintain, and assist in the integration of Doctrine, Organization, Training, Materiel, Leadership, Personnel and Facilities (DOTMLPF) improvements into SBCT formations in support of the U.S. Army TRADOC Capability Manager for Stryker Brigade Combat Team (TCM SBCT). TCM SBCT is TRADOC’s DOTMLPF integrator for SBCT formations. This mission requires intensive interaction with these units, operating force Major Commands, acquisition communities and TRADOC Centers of Excellence. TCM SBT requires support in six key areas of its mission: 1) Material Integration and
Program Management; 2) Stryker Requirements and Test & Evaluation; 3) Stryker Training Aids, Devices,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469e7f0cb9602bdd94a33f017&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_875f5e8e&cb=1668224132212&jobListingId=1007941493156&jrtk=3-0-1ghkufs80mbhi801-1ghkufs8tg4f7800-09fcac1d472392b4-
