Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Synchrony', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
B
ole Summary/Purpose:
Billions of transactions—and you’ll touch all of them if you join our IT team as a API Software Development Engineer - I. Imagine the sheer scale of what we impact every second of every day. Now imagine what you can do with that influence—this is where you can shape the future of payments.

As a API Software Development Engineer - I, you’ll be a part of an amazing team working on our microservice API’s throughout the entire development process. You’ll participate in hack-a-thons, partner with universities on innovation events, and work with our famed Stamford Innovation Station



Information Technology",13d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2512cc32&cb=1668232811507&jobListingId=1008242349902&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-1ef652b7784c61e9-
"['Synchrony', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Billions of transactions and you’ll touch all of them if you join our IT team as API Software Development Engineer. Imagine the sheer scale of what we impact every second of every day. Now imagine what you can do with that influence. This is where you can shape the future of payments.
As an API Software Development Engineer you’ll be developing API’s and leading an amazing team of engineers working on our API’s leveraging cloud technologies.
It’s the ideal time to come aboard – we’re focused on the future, continuing to evolve a company and help define the financial technology industry. With so much opportunity available, this is where you can make your mark.
Information Technology",15d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_61f47075&cb=1668232814458&jobListingId=1008237728056&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-9a52b1d4a7431e68-
"['Synchrony Financial', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Billions of transactions—and you’ll touch all of them if you join our IT team as an API Software Development Engineer - II. Imagine the sheer scale of what we impact every second of every day. Now imagine what you can do with that influence—this is where you can shape the future of payments.
As an API Software Development Engineer - II, you’ll be a part of an amazing team working on our microservice API’s throughout the entire development process. You’ll participate in hack-a-thons, partner with universities on innovation events, and work with our famed Stamford Innovation Station

Information Technology",15d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_217debda&cb=1668232818428&jobListingId=1008239260333&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-51be4931fd13cbbd-
"['Synchrony', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
The AVP, Software Development Engineer Manager plays a pivotal technical role within Synchrony Financial in successfully hosting several client-facing platforms and delivering high-quality solutions.

This position is remote, where you have the option to work from home. On occasion we may request for you to commute to our nearest office for in person engagement activities such as team meetings, training and culture events. To ensure the safety of our colleagues and communities, we require employees who come together in-person to be fully vaccinated. We’re proud to offer you choice and flexibility.
Information Technology",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_391a584d&cb=1668232822368&jobListingId=1008159615452&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-51a5c14818a4ffff-
"['Synchrony Financial', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Software Engineers have extensive knowledge of programming languages, the environments in which software are developed and operated and are well versed in software development lifecycle. A software engineer can be front-end, back-end or full-stack engineers. A software engineer should be proficient in:
Programming and coding
Fundamentals of computer science
Design and architecture
Information Technology",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_aeb04078&cb=1668232825176&jobListingId=1008267951316&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-6356292cdc3939d4-
"['Synchrony', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Software Engineers have extensive knowledge of programming languages, the environments in which software are developed and operated and are well versed in software development lifecycle. A software engineer can be front-end, back-end or full-stack engineers. A software engineer should be proficient in:
Programming and coding
Fundamentals of computer science
Design and architecture
Information Technology",2d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1800b6ec&cb=1668232829045&jobListingId=1008267818681&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-5ad89f8f14c2830a-
"['Synchrony', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Provide leadership and technical expertise for development and support of Servicing Applications on Java and Microservices / Cloud technologies. This person will support mission critical systems and project delivery that directly impacts business success. This individual will also work directly with business resources and be responsible to lead and mentor multiple Build and Run teams of GDC resources.
We’re proud to offer you choice and flexibility. You have the option to be remote, and work from home, or come into one of our offices. You may be occasionally requested to commute to our nearest office for in person engagement activities such as team meetings, training and culture events.
Information Technology",7d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_07d4450f&cb=1668232832938&jobListingId=1008256932541&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-093ea65569c578f6-
"['Synchrony Financial', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Provide leadership and technical expertise for development and support of Servicing Applications on Java and Microservices / Cloud technologies. This person will support mission critical systems and project delivery that directly impacts business success. This individual will also work directly with business resources and be responsible to lead and mentor multiple Build and Run teams of GDC resources.
We’re proud to offer you choice and flexibility. You have the option to be remote, and work from home, or come into one of our offices. You may be occasionally requested to commute to our nearest office for in person engagement activities such as team meetings, training and culture events.
Information Technology",8d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_170afbeb&cb=1668232835913&jobListingId=1008255808054&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-2e6a96c10c10d546-
"['Synchrony', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
The AVP, Reliability Engineer craves working in a hands-on system design and architecture environment, and leads by example to make sure time sensitive projects get done on time and to specifications. To be successful in this role, deep expertise in solution architecture, email delivery, SMS delivery, push notifications, and the ability to influence and lead a team are musts.
This AVP will lead the development and the production support of our customer communications and alerts applications by creating and developing thoughtful solutions to anticipate bugs and maintain operational excellence. In short, you would be one of our alerts experts and team leaders.
Information Technology",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e665c7d8&cb=1668232838625&jobListingId=1008186802727&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-6250e0713c13a53f-
"['Synchrony Financial', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
The AVP, AML Systems Engineer, craves working in a hands-on system design and architecture environment, and leads by example to make sure time sensitive projects get done on time and to specifications. To be successful in this role, deep expertise in solution architecture, application engineering and the ability to influence and lead a team are musts.
This AVP will lead the development and the production support of AML & Legal applications by creating and developing thoughtful solutions to anticipate bugs and maintain operational excellence. In short, you would be one of our AML / Financial Technology Engineering experts and team leaders.
Information Technology",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5fa40f6f&cb=1668232841618&jobListingId=1008181721949&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-90074c3730c8124c-
"['Synchrony Financial', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
The AVP, Software Development Engineer Manager plays a pivotal technical role within Synchrony Financial in successfully hosting several client-facing platforms and delivering high-quality solutions.

This position is remote, where you have the option to work from home. On occasion we may request for you to commute to our nearest office for in person engagement activities such as team meetings, training and culture events. To ensure the safety of our colleagues and communities, we require employees who come together in-person to be fully vaccinated. We’re proud to offer you choice and flexibility.
Information Technology",30d+,www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_18eec355&cb=1668232845537&jobListingId=1008159027535&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-0dadf26ff2f7ab2c-
"['Synchrony', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Pets Best is seeking a Senior Oracle Developer with experience with Oracle SQL and PL/SQL development. The incumbent will primarily develop and maintain the Pets Best electronic payment transactions interface and provide technical expertise and coordinate day to day deliverables for the team.
Pets Best provides peace of mind and financial relief for owners of pets who need veterinary care. We are always accessible to our policyholders. We endorse innovation and insight into modern veterinary care.
This position is remote, where you have the option to work from home. On occasion we may request for you to commute to our nearest office for in person engagement activities such as team meetings, training and culture events. To ensure the safety of our colleagues and communities, we require employees who come together in-person to be fully vaccinated. We’re proud to offer you choice and flexibility.
Information Technology",30d+,www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95db2482&cb=1668232849423&jobListingId=1008062254636&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-28c2df0a9f8231e5-
"['Synchrony Financial', '4.3']",http://www.synchronycareers.com/,API Software Development Engineer - I,"Alpharetta, GA",$52K - $104K (Employer est.),"Job Description:
Role Summary/Purpose:
Pets Best is seeking a Senior Oracle Developer with experience with Oracle SQL and PL/SQL development. The incumbent will primarily develop and maintain the Pets Best electronic payment transactions interface and provide technical expertise and coordinate day to day deliverables for the team.
Pets Best provides peace of mind and financial relief for owners of pets who need veterinary care. We are always accessible to our policyholders. We endorse innovation and insight into modern veterinary care.
This position is remote, where you have the option to work from home. On occasion we may request for you to commute to our nearest office for in person engagement activities such as team meetings, training and culture events. To ensure the safety of our colleagues and communities, we require employees who come together in-person to be fully vaccinated. We’re proud to offer you choice and flexibility.
Information Technology",30d+,www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=000001846a6c7bc7a80b294473675d31&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4dcf45b8&cb=1668232851250&jobListingId=1008061266437&jrtk=3-0-1ghl6ouvfkbks801-1ghl6ouvugajs800-61c775b96203714e-
