Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Sysco', '3.2']",http://www.sysco.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"Company:
US6469 Sysco Payroll, Division of Sysco Resources Services, LLC

Zip Code:
77077

Minimum Level of Education:
Bachelor's Degree

Minimum Years of Experience:
5 Years

Employment Type:
Full Time


0



Drives effective delivery of product/platform needs through developing high quality software and technical solutions. Fluent across the full stack and coaches junior developers to promote a flexible mindset and develop technical competence
















For information on Sysco's Benefits, please visit https://SyscoBenefits.com



COVID-19 Precaution(s):



Sysco is the global leader in foodservice distribution. With over 57,000 associates and a fleet of over 13,000 vehicles, Sysco operates approximately 326 distribution facilities worldwide and serves more than 625,000 customer locations.

We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of food and service.



Applicants must be currently authorized to work in the United States.

We are proud to be an Equal Opportunity and Affirmative Action employer, and consider qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.",5d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_15b32022&cb=1668272002601&jobListingId=1008260436900&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-94824d20baec57e3-
"['Guest Worldwide', '4.3']",http://www.guestworldwide.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"Company:
US2160 Sysco Guest Supply, LLC

Zip Code:
08873

Minimum Level of Education:
Bachelor's Degree

Minimum Years of Experience:
10+ Years

Employment Type:
Full Time


0



Guest Worldwide is a leading global manufacturer and distributor to the Travel and Leisure industry, providing products to over 25,000 hotels in 109 countries. We manufacture personal care amenities and a full range of textiles, and, we distribute nearly everything else you find in the hotel public guest areas in the hotel room. Guest Worldwide is also a wholly owned subsidiary of Sysco. Sysco is a 54 billion dollar, industry leading, global food and beverage distribution company, employing thousands of employees worldwide and home to the 13th largest sales organization in the world. For more information, visit www.guestworldwide.com.



The is focused on business-critical data pipelines, maintaining, and optimizing current state as well as leading the development of new data technologies and processes to modernize infrastructure. The ideal candidate will be responsible for ensuring successful building, replication, transformation, and availability of business data from an Oracle environment to a SQL Server environment, as well as ensuring the availability of the data infrastructure web servers and SQL servers. This position will be critical in helping evaluate current data infrastructure and leading imitative to redesign for centralization of data/logic.










For information on Sysco's Benefits, please visit https://SyscoBenefits.com



COVID-19 Precaution(s):



Sysco is the global leader in foodservice distribution. With over 57,000 associates and a fleet of over 13,000 vehicles, Sysco operates approximately 326 distribution facilities worldwide and serves more than 625,000 customer locations.

We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of food and service.



Applicants must be currently authorized to work in the United States.

We are proud to be an Equal Opportunity and Affirmative Action employer, and consider qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.",24h,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b148deb8&cb=1668272006498&jobListingId=1008275097221&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-0840e2274a9f4675-
"['Sysco Labs', '4.5']",http://www.syscolabs.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"About Sysco LABS
Sysco LABS is the innovation office of Sysco, the No. 1 foodservice distributor in the world. We make the software behind foodservice. Sysco customers use our ecommerce platform—Sysco Shop—to order everything from a dozen eggs to a dozen commercial ovens. With our software, chefs can click, order, and watch their deliveries en route, anytime, anywhere.
At Sysco LABS, our work matters: It carries food across the country. It sets 18-wheeler trucks in motion. It moves billions of dollars of fresh produce, meat, and restaurant supplies around the world. Here, your work matters too. You can have an immediate, global impact on our customers, on the way they run their food businesses, and on the way their food reaches the plate. Within our small, agile teams, you can own not just a small feature of a product—but a product itself.

You own the work. You own the outcome. Join Sysco LABS today.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e3751eb1&cb=1668272010969&jobListingId=1008163859940&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-3c3e8472d9a5d6e7-
"['Sysco Labs', '4.5']",http://www.syscolabs.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"About Sysco LABS
Sysco LABS is the innovation office of Sysco, the No. 1 foodservice distributor in the world. We make the software behind foodservice. Sysco customers use our ecommerce platform—Sysco Shop—to order everything from a dozen eggs to a dozen commercial ovens. With our software, chefs can click, order, and watch their deliveries en route, anytime, anywhere.
At Sysco LABS, our work matters: It carries food across the country. It sets 18-wheeler trucks in motion. It moves billions of dollars of fresh produce, meat, and restaurant supplies around the world. Here, your work matters too. You can have an immediate, global impact on our customers, on the way they run their food businesses, and on the way their food reaches the plate. Within our small, agile teams, you can own not just a small feature of a product—but a product itself.

You own the work. You own the outcome. Join Sysco LABS today.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cbf33dfb&cb=1668272014233&jobListingId=1008077050458&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-6f0763be0051dc84-
"['Sysco', '3.2']",http://www.sysco.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"Company:
US6469 Sysco Payroll, Division of Sysco Resources Services, LLC

Zip Code:
77077

Minimum Level of Education:
Bachelor's Degree

Minimum Years of Experience:
5 Years

Employment Type:
Full Time


0



Drives effective delivery of product/platform needs through developing high quality software and technical solutions. Fluent across the full stack and coaches junior developers to promote a flexible mindset and develop technical competence
















For information on Sysco's Benefits, please visit https://SyscoBenefits.com



COVID-19 Precaution(s):



Sysco is the global leader in foodservice distribution. With over 57,000 associates and a fleet of over 13,000 vehicles, Sysco operates approximately 326 distribution facilities worldwide and serves more than 625,000 customer locations.

We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of food and service.



Applicants must be currently authorized to work in the United States.

We are proud to be an Equal Opportunity and Affirmative Action employer, and consider qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.",1d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b4706a65&cb=1668272016256&jobListingId=1008274475361&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-6817065b2bfb383d-
"['Sysco', '3.2']",http://www.sysco.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"Company:
US6469 Sysco Payroll, Division of Sysco Resources Services, LLC

Zip Code:
77077

Minimum Level of Education:
Bachelor's Degree

Minimum Years of Experience:
2 Years

Employment Type:
Full Time


Up to 25%



Delivers high quality software and technical solutions to meet product/platform needs. Works across the full stack and possesses a flexible mindset and passion for programming














For information on Sysco's Benefits, please visit https://SyscoBenefits.com



COVID-19 Precaution(s):



Sysco is the global leader in foodservice distribution. With over 57,000 associates and a fleet of over 13,000 vehicles, Sysco operates approximately 326 distribution facilities worldwide and serves more than 625,000 customer locations.

We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of food and service.



Applicants must be currently authorized to work in the United States.

We are proud to be an Equal Opportunity and Affirmative Action employer, and consider qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.",7d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e54e6128&cb=1668272019970&jobListingId=1008259270741&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-d571bb37ddb1dba9-
"['Sysco', '3.2']",http://www.sysco.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"Company:
US6469 Sysco Payroll, Division of Sysco Resources Services, LLC

Zip Code:
77038

Minimum Level of Education:
Bachelor's Degree

Minimum Years of Experience:
5 Years

Employment Type:
Full Time


0



Drives effective delivery of product/platform needs through developing high quality software and technical solutions. Fluent across the full stack and coaches junior developers to promote a flexible mindset and develop technical competence














Candidates who start work in the months of May, June, July, August and September 2021 may be eligible for medical and prescription drug plan coverage effective on their date of hire*. Standard eligibility rules and timelines apply to all other Sysco benefits, including additional healthcare benefits options, retirement benefits, vacation, and paid sick leave. Please visit https://syscobenefits.com/careers to view additional benefits information. *Exceptions/exclusions may apply



COVID-19 Precaution(s):



Sysco is the global leader in foodservice distribution. With over 57,000 associates and a fleet of over 13,000 vehicles, Sysco operates approximately 326 distribution facilities worldwide and serves more than 625,000 customer locations.

We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of food and service.



Applicants must be currently authorized to work in the United States.

We are proud to be an Equal Opportunity and Affirmative Action employer, and consider qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.",7d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b8597e49&cb=1668272023228&jobListingId=1008259270715&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-63083f231045b37c-
"['Sysco', '3.2']",http://www.sysco.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"Company:
US6469 Sysco Payroll, Division of Sysco Resources Services, LLC

Zip Code:
77077

Minimum Level of Education:
Bachelor's Degree

Minimum Years of Experience:
7 Years

Employment Type:
Full Time


0



Sysco is the global leader in selling, marketing, and distributing food and non-food products to restaurants, healthcare, and educational facilities, lodging establishments, and other customers around the world. We are looking for a talented Senior Quality Engineer to ensure software delivery with the highest levels of quality. As a Senior Quality Engineer, you are responsible for reviewing project documentation (requirements/user stories, designs) to create, present, and maintain test plan documents. Also, responsible to break down test scope and identify automation opportunities, coordinate both manual & automated testing across multiple projects and environments as well as create, update, and execute test cases. You will also have the ownership of identifying, creating, and maintaining test data sets while identifying improvements, providing support, and ensuring adherence to quality standards.

Senior Quality Engineer SWMS














For information on Sysco's Benefits, please visit https://SyscoBenefits.com



COVID-19 Precaution(s):



Sysco is the global leader in foodservice distribution. With over 57,000 associates and a fleet of over 13,000 vehicles, Sysco operates approximately 326 distribution facilities worldwide and serves more than 625,000 customer locations.

We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of food and service.



Applicants must be currently authorized to work in the United States.

We are proud to be an Equal Opportunity and Affirmative Action employer, and consider qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.",1d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b8b2a0e7&cb=1668272025701&jobListingId=1008273712338&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-fd1655f696192f02-
"['Sysco', '3.2']",http://www.sysco.com/,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),"Company:
US6469 Sysco Payroll, Division of Sysco Resources Services, LLC

Zip Code:
77077

Minimum Level of Education:
Bachelor's Degree

Minimum Years of Experience:
5 Years

Employment Type:
Full Time





Drives effective delivery of product/platform needs through developing high quality software and technical solutions. Fluent across the full stack and coaches junior developers to promote a flexible mindset and develop technical competence
















Candidates who start work in the months of May and June 2021 may be eligible for medical and prescription drug plan coverage effective on their date of hire*. Standard eligibility rules and timelines apply to all other Sysco benefits, including additional healthcare benefits options, retirement benefits, vacation, and paid sick leave. Please visit https://syscobenefits.com/careers to view additional benefits information. *Exceptions/exclusions may apply



COVID-19 Precaution(s):



Sysco is the global leader in foodservice distribution. With over 57,000 associates and a fleet of over 13,000 vehicles, Sysco operates approximately 326 distribution facilities worldwide and serves more than 625,000 customer locations.

We offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We're looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of food and service.



Applicants must be currently authorized to work in the United States.

We are proud to be an Equal Opportunity and Affirmative Action employer, and consider qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.",2d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846cc27bc8874805afe80e7a4a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d7552b7e&cb=1668272028579&jobListingId=1008269626679&jrtk=3-0-1ghmc4v04ma7e801-1ghmc4v0qi3af800-b4d4ef2752638c87-
,,Senior Software Engineer Java,"Houston, TX",$96K - $128K (Glassdoor est.),,30d+,
