Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['TD Witz Associates'],,Python Developer,"New York, NY",$125K - $325K (Employer est.),"The Python Developer role entails responsibilities within our python infrastructure spanning a number of domains—from data engineering to workflow development—with a focus on data-driven middle tier development. As an integral member of the team, you will collaborate closely with other engineers and researchers to identify requirements and build robust internal tools.
Specific responsibilities are expected to include:
· Building and enhancing existing data infrastructure
· Transforming and cleaning data retrieved by API end points
· Working with research and technology teams to provide production support for signal dashboards and processes",28d,
['TD Witz Associates'],,Python Developer,"New York, NY",$125K - $325K (Employer est.),"The C++ Developer role with front office developement skills (experience with trading strategies a plus)
Specific responsibilities are expected to include:
· Building and enhancing existing data infrastructure
· Transforming and cleaning data
· Working with research and technology teams to provide production support for Trading Systems
The role requires solid engineering principles, strong C++ skills and an analytic credit strategy orientation.",1d,
"['TD Bank', '4.0']",https://www.td.com/us/en/personal-banking/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"TD Description
About TD Bank, America's Most Convenient Bank®
TD Bank, America's Most Convenient Bank, is one of the 10 largest banks in the U.S., providing more than 8 million customers with a full range of retail, small business and commercial banking products and services at approximately 1,300 convenient locations throughout the Northeast, Mid-Atlantic, Metro D.C., the Carolinas and Florida. In addition, TD Bank and its subsidiaries offer customized private banking and wealth management services through TD Wealth®, and vehicle financing and dealer commercial services through TD Auto Finance. TD Bank is headquartered in Cherry Hill, N.J.
TD Bank, America's Most Convenient Bank, is a member of TD Bank Group and a subsidiary of The Toronto-Dominion Bank of Toronto, Canada, a top 10 financial services company in North America. The Toronto-Dominion Bank trades on the New York and Toronto stock exchanges under the ticker symbol ""TD"".",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_aa308bbd&cb=1668220748943&jobListingId=1008054416233&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-df63f7abb801dae5-
"['TD Bank', '4.0']",https://www.td.com/us/en/personal-banking/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"TD Description
About TD Bank, America's Most Convenient Bank®
TD Bank, America's Most Convenient Bank, is one of the 10 largest banks in the U.S., providing more than 8 million customers with a full range of retail, small business and commercial banking products and services at approximately 1,300 convenient locations throughout the Northeast, Mid-Atlantic, Metro D.C., the Carolinas and Florida. In addition, TD Bank and its subsidiaries offer customized private banking and wealth management services through TD Wealth®, and vehicle financing and dealer commercial services through TD Auto Finance. TD Bank is headquartered in Cherry Hill, N.J.
TD Bank, America's Most Convenient Bank, is a member of TD Bank Group and a subsidiary of The Toronto-Dominion Bank of Toronto, Canada, a top 10 financial services company in North America. The Toronto-Dominion Bank trades on the New York and Toronto stock exchanges under the ticker symbol ""TD"".",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e58ceecc&cb=1668220751881&jobListingId=1007985359061&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-5f535b8090c15635-
"['TD SYNNEX', '3.6']",http://www.tdsynnex.com/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"Job Purpose:



The primary role of the Technical Scholar will be in guiding our resellers through the TD SYNNEX ecosystem while providing presales design consultation. They will need to understand current technologies including cloud, security, data center, and networking in order to provide product recommendations, create Bill of Materials, scope projects, and provide licensing information on products not supported by the existing Pre-Sales Sales Engineering team. The candidates must be students that are pursuing their degree in a technical field, working part time until they finish their degree. In addition to the primary support described, the Technical Scholars will also be involved in product demonstrations in our lab as well as projects with personal mentors to be assigned to them across various technical categories.







TD SYNNEX Statements:











At TD SYNNEX, we're proud to be recognized as a great place to work and a leader in the promotion and practice of diversity, equity and inclusion. If you're excited about working for our company and believe you're a good fit for this role, we encourage you to apply. You may be exactly the person we're looking for!

We are committed to building a team that represents and empowers a variety of backgrounds, perspectives, and skills. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",1d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_34d42811&cb=1668220754671&jobListingId=1008270752070&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-81e9537e70ad03e2-
"['TD Bank', '4.0']",https://www.td.com/us/en/personal-banking/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"TD Description
About TD Bank, America's Most Convenient Bank®
TD Bank, America's Most Convenient Bank, is one of the 10 largest banks in the U.S., providing more than 8 million customers with a full range of retail, small business and commercial banking products and services at approximately 1,300 convenient locations throughout the Northeast, Mid-Atlantic, Metro D.C., the Carolinas and Florida. In addition, TD Bank and its subsidiaries offer customized private banking and wealth management services through TD Wealth®, and vehicle financing and dealer commercial services through TD Auto Finance. TD Bank is headquartered in Cherry Hill, N.J.
TD Bank, America's Most Convenient Bank, is a member of TD Bank Group and a subsidiary of The Toronto-Dominion Bank of Toronto, Canada, a top 10 financial services company in North America. The Toronto-Dominion Bank trades on the New York and Toronto stock exchanges under the ticker symbol ""TD"".",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2ade4391&cb=1668220756549&jobListingId=1008047949320&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-cd574ebae353dc24-
"['TD Bank', '4.0']",https://www.td.com/us/en/personal-banking/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"TD Description
About TD Bank, America's Most Convenient Bank®
TD Bank, America's Most Convenient Bank, is one of the 10 largest banks in the U.S., providing more than 8 million customers with a full range of retail, small business and commercial banking products and services at approximately 1,300 convenient locations throughout the Northeast, Mid-Atlantic, Metro D.C., the Carolinas and Florida. In addition, TD Bank and its subsidiaries offer customized private banking and wealth management services through TD Wealth®, and vehicle financing and dealer commercial services through TD Auto Finance. TD Bank is headquartered in Cherry Hill, N.J.
TD Bank, America's Most Convenient Bank, is a member of TD Bank Group and a subsidiary of The Toronto-Dominion Bank of Toronto, Canada, a top 10 financial services company in North America. The Toronto-Dominion Bank trades on the New York and Toronto stock exchanges under the ticker symbol ""TD"".",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8f5b31e1&cb=1668220760475&jobListingId=1008063334480&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-32acf7380bd0509c-
"['TD Bank', '4.0']",https://www.td.com/us/en/personal-banking/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"TD Description
About TD Bank, America's Most Convenient Bank®
TD Bank, America's Most Convenient Bank, is one of the 10 largest banks in the U.S., providing over 9.8 million customers with a full range of retail, small business and commercial banking products and services at more than 1,100 convenient locations throughout the Northeast, Mid-Atlantic, Metro D.C., the Carolinas and Florida. In addition, TD Auto Finance, a division of TD Bank, N.A., offers vehicle financing and dealer commercial services. TD Bank and its subsidiaries also offer customized private banking and wealth management services through TD Wealth®. TD Bank is headquartered in Cherry Hill, N.J.
We offer a competitive salary and benefit program, including: comprehensive, affordable health care through medical, dental, and vision coverage; financial security with life and disability insurance; opportunities to save using health savings and flexible spending accounts; retirement benefits to help prepare for the future; paid time off and work/life benefits to maintain a good balance.",21d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7e0f3bfb&cb=1668220764446&jobListingId=1008225264130&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-65610745b5982c99-
"['TD Bank', '4.0']",https://www.td.com/us/en/personal-banking/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"TD Description
TD Securities provides a wide range of M&A advisory, capital markets products and services to corporate, government and institutional clients. The firm works with clients around the world, focusing selectively and strategically on the key financial centers: Toronto, Montreal, Calgary, Vancouver, New York, London, Singapore and Tokyo. www.td.com
Department Overview
TDS Data & Analytics is looking for a Software Engineer with a strong interest and experience in Full Stack development with a focus on building services that help solve Big Data problems and UI that are scalable. Our team has been tasked to build tools to help transform the bank and empower our users (Front Office Traders, Risk Managers, Operations and more) to better explore and understand large datasets",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_50095794&cb=1668220768248&jobListingId=1007941449040&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-8fdbb6aaf1ea8177-
"['TD SYNNEX', '3.6']",http://www.tdsynnex.com/,Python Developer,"New York, NY",$125K - $325K (Employer est.),"Job Purpose:

The Application Developer's role is to use intermediate experience and knowledge of different programming languages to create and maintain programs and applications. Individuals in this role will collect research data from a variety of sources, analyze, and recommend courses of action to take. This includes the analysis of requirements and functional specifications to design, build, test, implement and support corrections and or enhancements. The role is expected to develop integrated solutions aligned with TD SYNNEX's business units utilizing robust computing architectures in a multi-tier environment.

Responsibilities:
Analyzes business requirements across multiple business areas including the evaluation of application software packages.







At TD SYNNEX, we're proud to be recognized as a great place to work and a leader in the promotion and practice of diversity, equity and inclusion. If you're excited about working for our company and believe you're a good fit for this role, we encourage you to apply. You may be exactly the person we're looking for!

We are committed to building a team that represents and empowers a variety of backgrounds, perspectives, and skills. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",7d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018469b44e15a0c73428fd97ffa1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f8aa3c22&cb=1668220770133&jobListingId=1008258362732&jrtk=3-0-1ghkr8ji8m6p6801-1ghkr8jisi150800-1feb7d3776ff2f76-
