Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['TIAA', '4.0']",http://www.tiaa.org/,Sr. Software Developer,"Charlotte, NC",$106K - $116K (Employer est.),"Sr Developer
The Senior Developer programs and configures software to meet TIAA business needs. Under limited supervision, this job identifies and analyzes business software needs, writes complex code to optimize the performance and efficiency of the organization's IT platform/infrastructure and conducts testing to ensure programs are functioning properly. This job is considered a subject matter expert in the Applications Development & Support area.
Key Responsibilities and Duties
Interprets written business requirements and technical specification documents to design and develop advanced technical solutions that meet business needs in financial industry.
Collaborates with IT and Business partners to design, develop, and troubleshoot end to end technical solutions.",30d+,
"['TIAA', '4.0']",http://www.tiaa.org/,Sr. Software Developer,"Charlotte, NC",$106K - $116K (Employer est.),"Architect
The Architect job focuses on architecting multiple types/categories of technical and operating systems for running end user applications. Working under limited supervision, this job develops the architectural guidelines, specifications, and technical standards related to current and future end user requests.
Key Responsibilities and Duties
Performs architecture requirements analysis to convert end user needs into technical solutions.
Harmonizes systems design and technology constraints in accordance with compliance requirements.
Follows key capabilities and performance requirements when developing system architectures.",30d+,
"['TIAA', '4.0']",http://www.tiaa.org/,Sr. Software Developer,"Charlotte, NC",$106K - $116K (Employer est.),"TIAA has an opportunity for a Sr. Developer - ServiceNow who will provide support to a wide variety of technically oriented processes within the TIAA ServiceNow environment. The main function for this role will be the implementation and deployment of the Hardware and Software Asset Management Modules (HAM/SAM) on the ServiceNow Platform.
The ideal candidate will have a minimum of five (5) years’ experience working in IT, three (3) years of software development experience, the ability to collaborate with diverse stakeholders across our enterprise and familiarity with the ServiceNow Hardware and Software Asset Management (HAM/SAM) module. This is a great opportunity to join our team!
Key Responsibilities and Duties
Interprets written business requirements and technical specification documents to design and develop advanced technical solutions that meet business needs in financial industry.",30d+,
"['TIAA', '4.0']",http://www.tiaa.org/,Sr. IOS Developer,"Iselin, NJ",$106K - $130K (Employer est.),"Architect
The Architect job focuses on architecting multiple types/categories of technical and operating systems for running end user applications. Working under limited supervision, this job develops the architectural guidelines, specifications, and technical standards related to current and future end user requests.
Key Responsibilities and Duties
Performs architecture requirements analysis to convert end user needs into technical solutions.
Harmonizes systems design and technology constraints in accordance with compliance requirements.
Follows key capabilities and performance requirements when developing system architectures.",30d+,
"['Community College of Baltimore County', '3.4']",http://www.ccbcmd.edu/,"Analyst, Research & Planning","Catonsville, MD",$63K - $101K (Employer est.),"Class Description
The purpose of this class is to perform professional level technical work in data management, data analysis, and report preparation to support the institutional research, assessment, and decision support activities of the Office of Planning, Research and Evaluation. Multiple positions available. Compensation within the posted range is determined by a candidate's education level and/or years of experience in the field. Generally, employees are hired in the lower third of the scale.

Minimum Requirements
Bachelor’s degree in a social science, business, or similar discipline that includes course work in research design, statistics and data analysis. Master’s degree preferred. Two (2) years of work experience in institutional research or business analytics. Proficiency with Microsoft Office Excel and SPSS or other statistical software.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b3d6b99bd6ab418bfc5627e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f10ad8a8&cb=1668246503235&jobListingId=1007997669521&jrtk=3-0-1ghljqqukm6p9801-1ghljqqv6j46m800-4f1ecfb7a37c1130-
"['Community College of Baltimore County', '3.4']",http://www.ccbcmd.edu/,"Analyst, Research & Planning","Catonsville, MD",$63K - $101K (Employer est.),"Class Description
The purpose of this class is to assist in the preparation and reconciliation of financial transactions for the CCBC Foundation, Inc., maintain relationships with donors, assist with scholarship processing and facilitate events and fund raising appeals.
Minimum Requirements
Associates degree and three years' accounting experience performing functions to
include: accounts payable, account reconciliation, journal entries, and working with financial management systems required. Prior experience performing data entry, database maintenance and upgrades required. Work experience obtained preferably in education or in an academic setting. Prior experience using Raiser’s Edge or other fundraising software including knowledge building queries and reports preferred.",7d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b3d6b99bd6ab418bfc5627e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7bd967cd&cb=1668246506052&jobListingId=1008257734548&jrtk=3-0-1ghljqqukm6p9801-1ghljqqv6j46m800-f35d42e98e39212e-
"['Community College of Baltimore County', '3.4']",http://www.ccbcmd.edu/,"Analyst, Research & Planning","Catonsville, MD",$63K - $101K (Employer est.),"Class Description
The purpose of this class is to provide training, analysis, design and curriculum development, technical support, needs assessments, surveys, and administrative duties to support training and business process improvements within the college, related to IT initiatives.
Compensation within the posted range is determined by a candidate's education level and/or years of experience in the field. Generally, employees are hired in the lower third of the scale
Minimum Requirements
Associate’ Degree required, degree in Instructional Technology, Information Technology or related field. Five (5) years’ experience in supporting technology, developing and delivering technology related training required. Experience performing needs assessments preferred. Must have a valid driver’s license in good standing with violation points less than five (5).",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b3d6b99bd6ab418bfc5627e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0ef5c1ae&cb=1668246508045&jobListingId=1008069043569&jrtk=3-0-1ghljqqukm6p9801-1ghljqqv6j46m800-ad4de7e00156fc1f-
"['National Park College', '4.0']",http://www.npcc.edu/,"Analyst, Research & Planning","Catonsville, MD",$63K - $101K (Employer est.),"Description:

National Park College is currently seeking a Security Analyst to join the Information Technology Team. This position requires a highly motivated self-starter with the ability to be well organized, have effective problem-solving and critical thinking skills, have great communication skills, and possess the ability to maintain collaborative relationships inside and outside of the college. The employee must be proficient in various areas such as but not limited to the Microsoft Office Suite, Windows 8.1 and up operating systems, Microsoft Server 2012 and up, IT network fundamentals, and Advanced IT Security Fundamentals. This position requires strong written, oral, and organizational skills due to working with students, employees, and vendors. The employee will be focusing on keeping the security, our security standards, and policies up to date.
Essential Duties and Responsibilities:
Design, implement, and maintain a Written Information Security Policy (WISP) for the campus",9d,
"['University of Pennsylvania', '4.2']",http://www.upenn.edu/,"Analyst, Research & Planning","Catonsville, MD",$63K - $101K (Employer est.),"University Overview

The University of Pennsylvania, the largest private employer in Philadelphia, is a world-renowned leader in education, research, and innovation. This historic, Ivy League school consistently ranks among the top 10 universities in the annual U.S. News & World Report survey. Penn has 12 highly-regarded schools that provide opportunities for undergraduate, graduate and continuing education, all influenced by Penn's distinctive interdisciplinary approach to scholarship and learning. As an employer Penn has been ranked nationally on many occasions with the most recent award from Forbes who named Penn one of America's Best Employers By State in 2021.

Penn offers a unique working environment within the city of Philadelphia. The University is situated on a beautiful urban campus, with easy access to a range of educational, cultural, and recreational activities. With its historical significance and landmarks, lively cultural offerings, and wide variety of atmospheres, Philadelphia is the perfect place to call home for work and play.

The University offers a competitive benefits package that includes excellent healthcare and tuition benefits for employees and their families, generous retirement benefits, a wide variety of professional development opportunities, supportive work and family benefits, a wealth of health and wellness programs and resources, and much more.

COVID-19 vaccination is a requirement for all positions at the University of Pennsylvania. New hires are expected to be fully vaccinated before beginning work at the University. For more information about Penn's vaccine requirements, visit the Penn COVID-19 Response website for the latest information.

Posted Job Title
Machine Learning Analyst (Hybrid Eligible)

Job Profile Title
Application Developer C

Job Description Summary
The Advancement Prospect Analytics department is responsible for providing Development and Alumni Relations staff with data driven decision making tools to support the operational needs of Advancement at Penn. The department identifies the most actional prospects, disseminates reports, executive summaries and analysis documents to each of the 18 schools within the University as well as central Development and Alumni Relations staff. Machine learning, statistical inference and data mining techniques are used to provide staff with actionable insight to utilize complex data collections throughout the institution.

Job Description

The Machine Learning Analyst reports to the Director of Advancement Prospect Analytics and is responsible for developing statistical modelling and machine learning techniques to identify the best potential prospects for the University and make prospect recommendations to units that best align with a prospect's philanthropic history and demonstrated interest areas. A knowledge of data warehousing environments such as Oracle and Snowflake and associated SQL query tools is required. Demonstrated experience with statistical programming languages and tools such as R, Python or SAS is a requirement. In addition to prospect identification and segmentation, the Machine Learning Analyst is responsible for providing statistically informed tools to drive strategic decisions and to identify and share performance trends. Many projects will be long term and require extensive project management, communication and requirements gathering in collaboration with colleagues across multiple units. Metrics for model performance will be established to measure effectiveness and existing models will need to be continually evaluated and improved to yield the best results. They key performance indicators will be positive post research outcomes such as prospect assignments, visits, asks and gifts.

Specific Responsibilities

Implements machine learning techniques to highlight performance trends and identify the best potential prospects for the University using statistical programming languages and tools such as R, Python or SAS.

Delivers statistical model outputs using advancement software systems such as Salesforce NPSP, data visualization and query tools QlikView, Business Objects, RStudio, SQL and other systems to users.

Designs, codes, simulates, tests, implements and maintains reporting solutions and associated middleware, interfaces and databases in highly complex solutions.

Analyzes functional requirements and advises users in the planning, selection, implementation and use of solutions to address business requirements.

Monitors and improves applications, providing technical and application support.

Ensures adherence to technical, quality assurance, data integrity, and security standards.

**Please provide a resume and cover letter in order to be considered for this role. Please upload all documents in the ""Resume/CV"" section of the application prior to submitting.**

Qualifications

Bachelor's degree with a focus on machine learning and 2-3 years of equivalent programming, machine learning or systems analysis experience or equivalent combination of education and experience required. A strong command of data analysis tools and query languages (Crystal Reports, Business Objects and SQL), data programming, mining and modeling languages (R, Python) and data visualization tools (Tableau, QlikView, Power BI) is a requirement. Experience in fundraising information systems and fundraising business practices is strongly recommended. Demonstrated expertise in process redesign, systems analysis and design and the ability to quickly learn and apply new technologies.

Job Location - City, State
Philadelphia, Pennsylvania
Hybrid Eligible - This position is eligible for a hybrid work schedule with a work week divided between working onsite and working remotely.

Department / School
Development and Alumni Relations

Pay Range
$51,824.00 - $109,535.33
Salary offers are made based on the candidate's qualifications, experience, skills, and education as they directly relate to the requirements of the position, as well as internal and market factors and grade profile.

Affirmative Action Statement
Penn adheres to a policy that prohibits discrimination on the basis of race, color, sex, sexual orientation, gender identity, religion, creed, national or ethnic origin, citizenship status, age, disability, veteran status, or any other legally protected class.

Special Requirements
Background check required after a conditional job offer is made. Consideration of the background check will be tailored to the requirements of the job.

University Benefits

Penn offers comprehensive medical, prescription, behavioral health, dental, vision, and life insurance benefits to protect you and your family's health and welfare. You can also use flexible spending accounts to pay for eligible health care and dependent care expenses with pre-tax dollars.

Take advantage of Penn's exceptional tuition benefits. You, your spouse, and your dependent children can get tuition assistance here at Penn. Your dependent children are also eligible for tuition assistance at other institutions.

Penn offers generous retirement plans to help you save for your future. Penn's Basic, Matching, and Supplemental retirement plans allow you to save for retirement on a pre-tax or Roth basis. Choose from a wide variety of investment options through TIAA and Vanguard.

Penn provides you with a substantial amount of time away from work during the course of the year. This allows you to relax, take vacations, attend to personal affairs, recover from illness or injury, spend time with family-whatever your personal needs may be.

In partnership with Genworth Financial, Penn offers faculty and staff (and your eligible family members) long-term care insurance to help you cover some of the costs of long-term care services received at home, in the community or in a nursing facility. If you apply when you're newly hired, you won't have to provide proof of good health or be subject to underwriting requirements. Eligible family members must always provide proof of good health and are subject to underwriting.

Penn is committed to supporting our faculty and staff as they balance the competing demands of work and personal life. That's why we offer a wide variety of programs and resources to help you care for your health, your family, and your work-life balance.

Penn provides an array of resources to help you advance yourself personally and professionally.

As a member of the Penn community, you have access to a wide range of University resources as well as cultural and recreational activities. Take advantage of the University's libraries and athletic facilities, or visit our arboretum and art galleries. There's always something going on at Penn, whether it's a new exhibit at the Penn Museum, the latest music or theater presentation at the Annenberg Center, or the Penn Relays at Franklin Field to name just a few examples. As a member of the Penn community, you're right in the middle of the excitement-and you and your family can enjoy many of these activities for free.

From arts and entertainment to transportation and mortgages, you'll find great deals for University faculty and staff. Not only do Penn arts and cultural centers and museums offer free and discounted admission and memberships to faculty and staff. You can also enjoy substantial savings on other goods and services such as new cars from Ford and General Motors, cellular phone service plans, movie tickets, and admission to theme parks.

Flexible work options offer creative approaches for completing work while promoting balance between work and personal commitments. These approaches involve use of non-traditional work hours, locations, and/or job structures.

Penn offers a forgivable loan for eligible employees interested in buying a home or currently residing in West Philadelphia, which can be used for closing costs or home improvements.

Penn will reimburse eligible employees on qualified expenses in connection with the legal adoption of an eligible child, such as travel or court fees, for up to two adoptions in your household.

https://www.hr.upenn.edu/PennHR/benefits-pay",28d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b3d6b99bd6ab418bfc5627e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bbecd622&cb=1668246511907&jobListingId=1008207072489&jrtk=3-0-1ghljqqukm6p9801-1ghljqqv6j46m800-f95c97e55ca0d62d-
"['West Chester University of Pennsylvania', '4.2']",http://www.wcupa.edu/,"Analyst, Research & Planning","Catonsville, MD",$63K - $101K (Employer est.),"Position Summary
Join a vibrant campus community whose excellence is reflected in its diversity and student success. West Chester University of Pennsylvania’s Office of Academic Enterprise Services invites applicants for the position of Technology Specialist (Technical Generalist 1).

West Chester University a member of the Pennsylvania State System of Higher Education, is a public, comprehensive institution committed to offering high-quality undergraduate education, selected post-baccalaureate and graduate programs, and a variety of educational and cultural resources for its students, alumni, and citizens of southeastern Pennsylvania. WCU is a community of educators dedicated to developing graduates who succeed personally and professionally and contribute to the common good.

WCU proudly offers a positive and purposeful work environment; comprehensive employee benefits including health, vision, and dental insurance along with many wellness programs; a commitment to work-life balance including generous paid vacation, paid sick time, military leave and paid time off for most major holidays; and a University mission to support employee personal and professional growth including a tuition waiver for self and family members, training and development, and advancement opportunities.

As a key Academic Enterprise Services team contributor, the Technology Specialist serves as the first point of contact for system issue triage; works independently to provide analysis of user reported problems; and assists student, faculty and staff users to resolve issues; and provide exceptional service across the campus community.

The ideal candidate will demonstrate customer service experience, experience diagnosing and resolving problems in response to customer reported incidents; experience working with diagnostic utility programs used to troubleshoot; the ability to effectively communicate with diverse constituents; and the ability to maintain technical knowledge and keep up with rapid changes in technology.",24d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b3d6b99bd6ab418bfc5627e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a3285916&cb=1668246513726&jobListingId=1008216064366&jrtk=3-0-1ghljqqukm6p9801-1ghljqqv6j46m800-f514f0d30b5a1f09-
