Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Are you ready to explore the corporate side of retail? Then try TJX on for size. You’ll join a Fortune 100 company and the leading off-price retailer of clothing and home fashions in the U.S. and worldwide. At TJX, we are proud that, for 40 years, we have provided amazing value to our customers; but the merchandise we sell is just part of our story. We believe that our Associates bring our business to life, and we aim to support them by making TJX a terrific place to work. We are committed to leveraging the differences among our Associates, and believe that the diverse skills, experiences and background that they bring into the organisation will help us continue to succeed.
Our retail chains include TJ Maxx, Marshalls, HomeGoods, Sierra Trading Post and Homesense, as well as tjmaxx.com and sierratradingpost.com in the U.S.; Winners, HomeSense and Marshalls in Canada; TK Maxx in the U.K., Ireland, Germany, Poland, Austria and the Netherlands, as well as HomeSense and tkmaxx.com in the U.K.; and TK Maxx in Australia. In 2016, we had over $33 billion in sales, more than 3,800 shops and 235,000 Associates. As a retailer committed to growth, success is always in style at TJX!",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_33bfde0f&cb=1668276746093&jobListingId=1008263522405&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-d10c09840d51a0d5-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Success is always in style at TJX! Continue to explore career opportunities at TJX, a Fortune 100 company and the leading off-price retailer of clothing and home fashions in the U.S. and worldwide. At TJX, we are proud that, for 40 years, we have provided amazing value to our customers; but the merchandise we sell is just part of our story. We believe that our Associates bring our business to life, and we aim to support you by making TJX a terrific place to work. We are committed to leveraging our differences, and believe that the diverse skills, experiences and background that you bring into the organisation will help us continue to succeed.

Our retail chains include TJ Maxx, Marshalls, HomeGoods, Sierra Trading Post and Homesense, as well as tjmaxx.com and sierratradingpost.com in the U.S.; Winners, HomeSense and Marshalls in Canada; TK Maxx in the U.K., Ireland, Germany, Poland, Austria and the Netherlands, as well as Homesense and tkmaxx.com in the U.K.; and TK Maxx in Australia. With over $33 billion in sales, more than 3,800 shops and 235,000 Associates in 2016, TJX is an exciting place to grow your career!",3d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3222161d&cb=1668276747931&jobListingId=1008266043570&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-4db5bdf4d44e8105-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Success is always in style at TJX! Continue to explore career opportunities at TJX, a Fortune 100 company and the leading off-price retailer of clothing and home fashions in the U.S. and worldwide. At TJX, we are proud that, for 40 years, we have provided amazing value to our customers; but the merchandise we sell is just part of our story. We believe that our Associates bring our business to life, and we aim to support you by making TJX a terrific place to work. We are committed to leveraging our differences, and believe that the diverse skills, experiences and background that you bring into the organisation will help us continue to succeed.

Our retail chains include TJ Maxx, Marshalls, HomeGoods, Sierra Trading Post and Homesense, as well as tjmaxx.com and sierratradingpost.com in the U.S.; Winners, HomeSense and Marshalls in Canada; TK Maxx in the U.K., Ireland, Germany, Poland, Austria and the Netherlands, as well as Homesense and tkmaxx.com in the U.K.; and TK Maxx in Australia. With over $33 billion in sales, more than 3,800 shops and 235,000 Associates in 2016, TJX is an exciting place to grow your career!",3d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b80fecea&cb=1668276750979&jobListingId=1008266043253&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-1a7596396633a280-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Are you ready to explore the corporate side of retail? Then try TJX on for size. You’ll join a Fortune 100 company and the leading off-price retailer of clothing and home fashions in the U.S. and worldwide. At TJX, we are proud that, for 40 years, we have provided amazing value to our customers; but the merchandise we sell is just part of our story. We believe that our Associates bring our business to life, and we aim to support them by making TJX a terrific place to work. We are committed to leveraging the differences among our Associates, and believe that the diverse skills, experiences and background that they bring into the organisation will help us continue to succeed.
Our retail chains include TJ Maxx, Marshalls, HomeGoods, Sierra Trading Post and Homesense, as well as tjmaxx.com and sierratradingpost.com in the U.S.; Winners, HomeSense and Marshalls in Canada; TK Maxx in the U.K., Ireland, Germany, Poland, Austria and the Netherlands, as well as HomeSense and tkmaxx.com in the U.K.; and TK Maxx in Australia. In 2016, we had over $33 billion in sales, more than 3,800 shops and 235,000 Associates. As a retailer committed to growth, success is always in style at TJX!",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95f566d0&cb=1668276753687&jobListingId=1008142445866&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-85dcf058031d3780-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Discovery is at the heart of everything we do. Wherever you find us around the world, if you can think of a product, you can probably find it in our stores, which include TJ Maxx, Marshalls, HomeGoods, Sierra, Winners, Homesense, and TK Maxx. With variety comes plenty of happy surprises - our environment is ever-changing, and that’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. Ready to Discover Different?
Posting Notes: 400 Value Way Marlborough MA 01752
What you’ll discover
Inclusive culture and career growth opportunities
Global IT Organization that collaborates across U.S., Canada, Europe and Australia, click here to learn more",22d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2c2455a1&cb=1668276757519&jobListingId=1008221851680&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-8c778cb3e74435c5-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Discovery is at the heart of everything we do. Wherever you find us around the world, if you can think of a product, you can probably find it in our stores, which include TJ Maxx, Marshalls, HomeGoods, Sierra, Winners, Homesense, and TK Maxx. With variety comes plenty of happy surprises - our environment is ever-changing, and that’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. Ready to Discover Different?
Posting Notes: 3500 McCann Rd, Suite 100 Longview TX 75605
Job Summary:

Responsible for delivering a highly satisfied customer experience demonstrated by engaging and interacting with all customers, embodying customer experience principals and philosophy, and maintaining a clean and organized store environment. Adheres to all operational, merchandise, and loss prevention standards. May be cross-trained to work in multiple areas of the store in order to support the needs of the business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b7a59612&cb=1668276761409&jobListingId=1008200438675&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-4a5723051bacd866-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Discovery is at the heart of everything we do. Wherever you find us around the world, if you can think of a product, you can probably find it in our stores, which include TJ Maxx, Marshalls, HomeGoods, Sierra, Winners, Homesense, and TK Maxx. With variety comes plenty of happy surprises—our environment is ever-changing, and that’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. Ready to Discover Different?
Posting Notes: 770 Cochituate Rd Marlborough MA 01701

A Senior Engineer in TJX North American Selling & Store Operations has the knowledge & experience to design and implement business functionality in Point of Sales solutions. Engineers at this level can lead & deliver on assigned Epics in their supported area. They use DevSecOps best practices to ship high-quality code and continue to push their knowledge.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6de20f4c&cb=1668276764315&jobListingId=1008157336561&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-b875aeff86b80ae8-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Style is never in short supply at our more than 500 HomeGoods stores and we are constantly on a mission to provide the little surprises and extra touches that make a house feel like home. Same with working here. Our environment is ever-changing, yet always encouraging. Every shift is a new opportunity to Discover Different.
Posting Notes: HomeGoods Store 0526 || 5171 Peachtree Parkway || Peachtree Corners || GA || 30092
Job Summary:
Responsible for delivering a highly satisfied customer experience demonstrated by engaging and interacting with all customers, embodying customer experience principals and philosophy, and maintaining a clean and organized store environment. Adheres to all operational, merchandise, and loss prevention standards. May be cross-trained to work in multiple areas of the store in order to support the needs of the business.",10d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7dfe2d18&cb=1668276766178&jobListingId=1008252485206&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-db02aedec9adb3da-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Style is never in short supply at our more than 500 HomeGoods stores and we are constantly on a mission to provide the little surprises and extra touches that make a house feel like home. Same with working here. Our environment is ever-changing, yet always encouraging. Every shift is a new opportunity to Discover Different.
Posting Notes: HomeGoods Store 0233 || 4810 Nesconset Highway || Port Jefferson || NY || 11777

Responsibilities
Ensures the delivery of prompt, courteous and knowledgeable service to all external and internal customers at all times, resolving any customer service issues appropriately and competently",20d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ab84ea12&cb=1668276770073&jobListingId=1008227084635&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-55d732408c358415-
"['TJX Companies', '3.7']",http://www.jobs.tjx.com/,Senior .Net Software Engineer (Azure) Fully Remote,"Marlborough, MA",$81K - $117K (Glassdoor est.),"Style is never in short supply at our more than 1,000 TJ Maxx stores. They all have different products, but the same commitment to the thrill of the find. From designers straight off the runway to statement jewelry, we offer exciting surprises that make the everyday a little more fun. Same with working here. Our environment is ever-changing, yet always encouraging. Each shift is a new opportunity to Discover Different.

Posting Notes: TJ Maxx Store 0097 || 81 Orchard Hill Circle || Staunton || VA || 24401
Job Summary:

Responsible for promoting an excellent customer experience. Oversees a team of Associates at front of store ensuring prompt, courteous customer service and promotion of loyalty programs. Leads by example by engaging and interacting with all customers, and maintaining a clean and organized store.",11d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846d0ae0d9a01588850cf713ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e364ee71&cb=1668276773134&jobListingId=1008247630026&jrtk=3-0-1ghmglo82209i001-1ghmglo8ji14k800-df47bd51d561eb12-
