Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 1000 Nicollet Mall, Minneapolis, Minnesota, United States, 55403-2542
About Us:
Target is an iconic brand, a Fortune 50 company, and one of America’s leading retailers.
Target as a tech company? Absolutely. We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every aspect of being America’s most loved retailer with cutting-edge technology, and the smartest engineers in retail technology! Site Reliability Engineering (SRE) at Target is an engineering discipline that combines software and systems engineering to build and run large-scale, massively distributed, and fault-tolerant systems.
As a Lead Engineer in SRE, you are someone who has demonstrated experience building highly scalable platforms and fault-tolerant systems across a range of technologies, including Linux, Apache, MongoDB, Python, Oracle RDBMS, Redis, Postgres, and Hadoop. We use a combination of Google Computing Platform and our own server farms operating out of Target Data Centers, and therefore, experience managing application stacks in a Hybrid cloud is preferred. You are a thought leader and mentor for internal and external technical talent and actively contribute to the external technical community.

This position may be considered for a Remote or Hybrid work arrangement based on Target’s needs. A Hybrid work arrangement means the team members core role will be a blend of virtual and onsite at a Target location. A Remote work arrangement means the team member works full-time from home or an alternate location that’s not a Target location, does not have a desk at their primary HQ work location and may travel to HQ up to 4 times a year. Work duties cannot be performed outside of the country of the primary work location, unless otherwise prescribed by Target. The salary range is :$105,800.00 USD - $190,400.00 USD. Pay is based on several factors which may include, but are not limited to education, work experience, certifications, labor markets, etc. In addition to your salary, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Find competitive benefits from financial and education to well-being and beyond at https://corporate.target.com/careers/benefits.",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7fe384af&cb=1668239896551&jobListingId=1008267068712&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-78d73c2badb7642a--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIX_9jcboxCHu9xR05732Qjnls8LGO4bXWXjMByY3zRoGgnI_XSmrg1ilJSUuFPi_D0wVBjzaANabY37FCi3vcZ8g69ZJf33lkI0JXRsNYTO7RwQaSbaGMKlcNceK_1J_H7Q5uvnp0LQ9AQmbE8spE0NaAcCbAeSAqbnX2bhhzeFxW5peu5Qc8wxLdRiO6SHC8cNmHoanD7MznbQk1BMqTrn9S1mGEGS4EIBf5F1SLfnv1EWxYVx_3T8k35SPoKjWoERRd3L24Ewnbg0CcSCI3yrBNUekdE0wyZqK9-DrAdjbBV5kwn-uRzm234bRIfiK3vO6gJocW4j3f4edl31cvTje5RZTrMMUJ_C5iv7eMEwQyLiOAghh6LgiX2KODy1BhUZ3cEb2ABUR
,,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),,4d,
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
JOIN US AS A LEAD JAVAENGINEER – Automation Portal, Data Sciences Platform

About us:
Target as a tech company? Absolutely! We are the behind-the-scenes powerhouse that fuels Target’s passion and commitment to innovative innovation. We anchor every facet of one of the world’s best-loved retailers with a strong technology framework that relies on the latest tools and technologies—and the brightest people—to deliver incredible value to guests online and in stores.

The Team:",3d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7799113&cb=1668239898510&jobListingId=1008263825825&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-687a492b5645a1bd--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIbEzGownH_L0_wgVvmdp1a1WlElguwq7b9gmrvxxPhzw2IGtHo5u8S4WxIp7lE-EaOqSlNgUCe75bxzvsmdBId3kr4aaCUWuUfk80WW76wL0YRr8_vXztduinUpK3NJM9IY65rLZB09Akx_XM38OphX-wscP4voSWTo-JYYjWwznncT2ZuXDIrRFBdWGpJfFJK5Jmqc4VYvwuFBRlZGNbmQD_AzW5j3KcBRTf3KnWjUaEDLchesw1VJ4X-FCPzlu0LdGVfUL-dvOjPUeSKA8Q_vuLQnCOCKeqcn7u6fz6qqowcRlELE4vSrzqGY0nA2-g-lPs1SMrGYa7IYxhaEnR0GxEQM3DeOV7PpUfNUJU1vp2xJ3M0Qc7VuqAnw7B83kFpRsCdmpF2ga
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
About us:
Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.
Target as a tech company? Absolutely. We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every facet of one of the world’s best-loved retailers with a strong technology framework that relies on the latest tools and technologies—and the brightest people—to deliver incredible value to guests online and in stores. Target Technology Services is on a mission to offer the systems, tools and support that guests and team members need and deserve. Our high-performing teams balance independence with collaboration, and we pride ourselves on being versatile, agile and creative. We drive industry-leading technologies in support of every angle of the business, and help ensure that Target operates smoothly, securely and reliably from the inside out.",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e95d2e7&cb=1668239904288&jobListingId=1008263825838&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-d818ecbea1244063--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIbEzGownH_L0_wgVvmdp1a1WlElguwq7byZvO54tqHiBrdNMFMxjUkcb7siXTgiB7v79JUbFCSuyV_WqFXj_-JR2vOm9a0bv6PqUVrkTp6yBd9lbpzaQqrocpGcDrSTylDLXXvVk3mnunysHC0Wo8nEo2mpvJhZqRlPt7rZCqHUqGMRwF0nB-ShauCYfi_ndh8K84GrXAHzX9Ev5iiM4hceKSpwjeMRgbBXZ5yFWNwgRLtjuvGLd2VV6haLAtp0vzPHVPLj2FTVT4BRgf5B0li38GTNdIKNY2uXnNZ7rg4IMdxu68mdQVw0WD1ns9hsK6z7mzSX-Khqzq-2s5gTZSN4YQVV3rRuBV1WxpAeRpDFn2Tcv9RsJaeJ1MBTteEb2YVn2ohx9EUlp
,,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),,4d,
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
As a Fortune 50 company with more than 350,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.
Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It’s how we care, grow, and win together.
The Target Plus team builds and maintains our amazing platform used by Partners as part of our Digital curated marketplace. Our marketplace Partners need a fast, reliable and automated way to manage their products, fulfill Guest orders and track their sale performance over time - the Target Plus team delivers on this and more by continuously #modernizing and #scaling our operations to meet future demand and growth.",4d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_640a199f&cb=1668239908102&jobListingId=1008263825992&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-cb3bfe541684ec15--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIbEzGownH_L0_wgVvmdp1a1WlElguwq7b-4WlNHcGT0hi5zgRs8Xd9Sc23X6HOyG5ORQdT9ZyGqqpG-4lXlYAdmlJK7wojzfXR92HWHeiNU0L97uP3rKiQylOe_S952D7YH2SrG_xLGq_zJsRN7D-L8BlYyZq_y4cFL8aIX13K3Cal66FJ26OsrRT4p-zHEAA7d8NNcG34sFGvukWUKpLlIo3bB5YKvAxuMYKVVlZxPzgklmULln9e1KalJ4HujZaKVoGgNPxbMU6GN0h5EVpKiMBbO2kYwxHGyATz4MtbeV5Dhrtx0x8hFOrSjlOnhK_gF5C2utHILoEp_w_HGB_qOZ12dVsPw4sOiozzeJS5i8p9D9yWGjRc2XXNomo39esB2hLOiu2XmL
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
Job Description
About us:
Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.
Target as a tech company? Absolutely. We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every facet of one of the world’s best-loved retailers with a strong technology framework that relies on the latest tools and technologies—and the brightest people—to deliver incredible value to guests online and in stores. Target Technology Services is on a mission to offer the systems, tools and support that guests and team members need and deserve. Our high-performing teams balance independence with collaboration, and we pride ourselves on being versatile, agile and creative. We drive industry-leading technologies in support of every angle of the business, and help ensure that Target operates smoothly, securely and reliably from the inside out.",4d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_487a1248&cb=1668239909991&jobListingId=1008263825887&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-57976cb83edb4c23--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIbEzGownH_L0_wgVvmdp1a1WlElguwq7by9udIE2UoTAbXHaObkc0KGLIxJafNtwXkU_TeewdLij0u1Q3V0gkHisadVbcCuCLvfC8nCqJBhRiRRH_FAp3N9fhufFsBm_HXkO3288nbC5CENoN0PbpNSOr2lr3EvpuzO2wx6TaJhEwgRp-XfUExzyMLW9JN7FAsWR0foxYxlxCaiNLsMYPZfk5-x9ts7-UgdEDi86KeeofU4g_q62ZO0aai0PhwHf2A5aawMcepqxO7rGtkO2YiR6rNyou5DrhebFP-fbnGZJD9DA_mkiRP-0e36mYr4MaYd_y0rkLJEc8m12nsMa3kNUytjKL9SOY4FknWX-zJazoSjWgTq0RicqZgJGRjWqszul4VvSLZjX
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
About Us:
As a Fortune 50 company with more than 350,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.
Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It’s how we care, grow, and win together.

Target as a tech company? Absolutely. We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every facet of one of the world’s best-loved retailers with a strong technology framework that relies on the latest tools and technologies—and the brightest people—to deliver incredible value to guests online and in stores. Target Technology is on a mission to offer the systems, tools and support that guests and team members need and deserve. Our high-performing teams balance independence with collaboration, and we pride ourselves on being versatile, agile and creative. We drive industry-leading technologies in support of every angle of the business, and help ensure that Target operates smoothly, securely and reliably from the inside out.
This position may be considered for a Remote or Hybrid work arrangement based on Target’s needs. A Hybrid work arrangement means the team members core role will be a blend of virtual and onsite at a Target location. A Remote work arrangement means the team member works full-time from home or an alternate location that’s not a Target location, does not have a desk at their primary HQ work location and may travel to HQ up to 4 times a year. Work duties cannot be performed outside of the country of the primary work location, unless otherwise prescribed by Target. The salary range is :$105,800.00 USD - $190,400.00 USD. Pay is based on several factors which may include, but are not limited to education, work experience, certifications, labor markets, etc. In addition to your salary, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Find competitive benefits from financial and education to well-being and beyond at https://corporate.target.com/careers/benefits.",3d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a09b2de2&cb=1668239912908&jobListingId=1008266319925&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-720d28c3ae9df077--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIX_9jcboxCHu9xR05732Qjnf8liZvW20BGpDV3yvdqG40Eoi6bOz4iHoZCVlgIFLn4NdGG-7kSOPwB4H-inxZZxZ5Tz2HAkf3q7RnuGbR-1eoBZzxuUGNpfwflfKRXl23fKPb7TlbpQCTnVXXd_xZqH85u4hzDOB7uQgKWZjudESVJkDsudbly6-cV6GDRmYKPL30hoYW25k2dkBlkHynjHQdBePg0gXw36LEbdhbEQiKw2h2KJDaxq4R5VIGYi2lnpdK6wuf40IwuqmeWTziPSYPXKaXfeqPLw_xJQ8tsDnaUiH5U0EjX6Ih-GnphXO--UhkasccOwZZJFXRJYMrsvzaet3fRVCMKuoLjCEU4iPzuqZE4bsrcBmD21LHzwmEhTrYLduAKDd
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
JOIN TARGET AS A BACKEND SOFTWARE ENGINEER – DATA PLATFORMS
About This Opportunity:
Join the hyper-growing, Target Data Platform Engineering team (backend feature development for data products) where your goal is to provide simple, quality and connected solutions, which enables Target’s Data Portal (meta data) and Automation Portal (data pipelines) products provide timely and accurate data across over 25K users and vendors.
The Software Engineer is responsible for the implementation of Data Sciences and AI products/programs to deliver relevant, timely and insightful data decision-making information to our business clients (Merch, Stores, Supply Chain, Marketing, HR, Finance, etc.). You are accountable for developing quality code and configuring software that generates required data in support of reporting and analysis as well as foundational data sets for business units and other internal groups for Target.",2d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d92df902&cb=1668239914779&jobListingId=1008269828208&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-77d5ff79d294e8e7--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIbEzGownH_L0_wgVvmdp1a3EK5h1rTbEkNWGiNCSsUD34jF126_HxXlkJKzeMvjg2Pmj14HwBDuvhVwu8FnVuRI954Lgoem0jh0-RDdXLB2Bqr8Bv9bc4MEtKzAy1whhZ9Y-8z9rJ3AHNgW-SjM1lWrallL3Le1vgDxZoJY4G82uX_6xBwHbDkplhFOw7Ihb3XNHcpMnStappFqieIDgvKSwl26y7eYsqwGK2gZRglgCrVdh7vSK4L8CJ0gx8oJrAub3Opa3zxO3oIMtkwfQ-geZI3chHiHtrhtIQkBJygYEMdFEAqsDz5Et80V3MVg_E4rFMlLPnZyvhDQ7bM95Xqt_hsd5P78biG2fGOUMUxCmFb53OouKWqfARE5OB3qC2y-WgHpF8TKo
"['Target', '3.6']",http://www.target.com/,Lead Software Engineer - Site Reliability Engineering(Remote Or Hybrid),"Minneapolis, MN",$106K - $190K (Employer est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
About us:
Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.

Target as a tech company? Absolutely. We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every facet of one of the world’s best-loved retailers with a strong technology framework that relies on the latest tools and technologies—and the brightest people—to deliver incredible value to guests online and in stores. Target Technology Services is on a mission to offer the systems, tools and support that guests and team members need and deserve. Our high-performing teams balance independence with collaboration, and we pride ourselves on being versatile, agile and creative. We drive industry-leading technologies in support of every angle of the business, and help ensure that Target operates smoothly, securely and reliably from the inside out.",4d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846ad895a2876583104f090757&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_be6dd7ee&cb=1668239918792&jobListingId=1008263825879&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghldh5ef2a83001-1ghldh5f6i15p800-06c54f155db22189--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIbEzGownH_L0_wgVvmdp1a1WlElguwq7b8JK5FrfQJ1F8q6tOIOBToYs_f9X4ReNRfFVykBRYvWLXoJkI0fKM3l6EM2p3HEnjtc7rndFvVL2yr74kB43DDJ460De3Uwv7TEZ9p30C_oCffYm_PzX5AK77A7enzlKgFIotKY1S2p4RpE9gyQDddU6LvZCH836Bo95fls71ZtUqQXwZgWuydssb3y2XPMgHHdSESbVUnckUe7oXVeytzMgMaVLm0BeAcrSczaVrETiwG7hXNVokutjUFKwVAnG6uZUVssgJ3n2DDjYoiP8YVxPI7trSZ3PEIud1UGgjW2_Sr-O8DDev0r9vtWka_pDJpzPTnSsnuNP2VLU6E9ZOSVdj4kVSOakD42mRMesPE3e
