Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Conifer Value', '3.0']",http://jobs.tenethealth.com/,Developer Specialist I - Remote,"Frisco, TX",$57K - $83K (Glassdoor est.),"As a part of the Tenet and Catholic Health Initiatives family, Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide. We help our clients strengthen their financial and clinical performance, serve their communities and succeed at the business of healthcare. Conifer Health helps organizations transition from volume to value-based care, enhance the consumer and patient healthcare experience and improve quality, cost and access to healthcare. Are you ready to be part of our solutions? Welcome to the company that gives you the resources and incentives to redefine healthcare services, with a competitive benefits package and leadership to take your career to the next step!
JOB SUMMARY
The Data Warehouse Developer I will be a critical team member for the delivery of key customer commitments surrounding Conifer’s Revenue Cycle Management and Value Based Care data sets and support the build out of enterprise information management capabilities across the business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be8b921a6522d18dfb7d413&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_53991b3e&cb=1668257732180&jobListingId=1007859054983&jrtk=3-0-1ghluheani6jh801-1ghluhebbg4do800-c8e7859f59b280ef-
"['Conifer Value', '3.0']",http://jobs.tenethealth.com/,Developer Specialist I - Remote,"Frisco, TX",$57K - $83K (Glassdoor est.),"As a part of the Tenet and Catholic Health Initiatives family, Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide. We help our clients strengthen their financial and clinical performance, serve their communities and succeed at the business of healthcare. Conifer Health helps organizations transition from volume to value-based care, enhance the consumer and patient healthcare experience and improve quality, cost and access to healthcare. Are you ready to be part of our solutions? Welcome to the company that gives you the resources and incentives to redefine healthcare services, with a competitive benefits package and leadership to take your career to the next step!
JOB SUMMARY
The Data Warehouse Developer III will be a critical team member for the delivery of key customer commitments surrounding Conifer’s Revenue Cycle Management and Value Based Care data sets and support the build out of enterprise information management capabilities across the business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846be8b921a6522d18dfb7d413&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3dd596b&cb=1668257736055&jobListingId=1008082342355&jrtk=3-0-1ghluheani6jh801-1ghluhebbg4do800-a841844c6a63c0bf-
"['Conifer Value', '3.0']",http://jobs.tenethealth.com/,Developer Specialist I - Remote,"Frisco, TX",$57K - $83K (Glassdoor est.),"As a part of the Tenet and Catholic Health Initiatives family, Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide. We help our clients strengthen their financial and clinical performance, serve their communities and succeed at the business of healthcare. Conifer Health helps organizations transition from volume to value-based care, enhance the consumer and patient healthcare experience and improve quality, cost and access to healthcare. Are you ready to be part of our solutions? Welcome to the company that gives you the resources and incentives to redefine healthcare services, with a competitive benefits package and leadership to take your career to the next step!
JOB SUMMARY
The Data Warehouse Developer III will be a critical team member for the delivery of key customer commitments surrounding Conifer’s Revenue Cycle Management and Value Based Care data sets and support the build out of enterprise information management capabilities across the business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846be8b921a6522d18dfb7d413&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4e792356&cb=1668257739829&jobListingId=1007814565248&jrtk=3-0-1ghluheani6jh801-1ghluhebbg4do800-ffe6cf5bd731a841-
"['Conifer Value', '3.0']",http://jobs.tenethealth.com/,Developer Specialist I - Remote,"Frisco, TX",$57K - $83K (Glassdoor est.),"As a part of the Tenet and Catholic Health Initiatives family, Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide. We help our clients strengthen their financial and clinical performance, serve their communities and succeed at the business of healthcare. Conifer Health helps organizations transition from volume to value-based care, enhance the consumer and patient healthcare experience and improve quality, cost and access to healthcare. Are you ready to be part of our solutions? Welcome to the company that gives you the resources and incentives to redefine healthcare services, with a competitive benefits package and leadership to take your career to the next step!
JOB SUMMARY
The Senior Director of Software Development will ensure Conifer Value-Based Care’s software and data infrastructure meets the evolving needs of Conifer’s clients. This role’s primary responsibilities are to oversee multiple development teams, own the technical direction of the product suite, manage the entire SDLC, ensure the successful delivery of product releases, and manage data management through intake and export of data. The individual will also serve as an expert in sales proposals and presentations, serve as a liaison with Conifer Information Services department to ensure infrastructure meets the needs of the business unit software requirements, and provide input into VBC’s strategy to keep ahead of evolving market needs. Elements for success include a strong background in mentoring and providing leadership to development staff, providing strong project management skills that result in meeting or beating timelines, meeting or exceeding standards of quality, and executive presence to present technical solutions to internal executives and prospects.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846be8b921a6522d18dfb7d413&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f80a9830&cb=1668257741634&jobListingId=1007417232691&jrtk=3-0-1ghluheani6jh801-1ghluhebbg4do800-7e8f535835f65cd3-
"['Paley Institute Global, LLC', '3.0']",http://jobs.tenethealth.com/,Developer Specialist I - Remote,"Frisco, TX",$57K - $83K (Glassdoor est.),"The Paley Orthopedic & Spine Institute is one of the nation’s premier orthopedic destination for medical tourism. Founded by Dror Paley, the world’s foremost expert in limb lengthening and deformity correction, the physicians at the Institute offer a comprehensive range of services, from hip replacements and pediatric orthopedics, to the most technologically advanced limb-lengthening, spine deformity, joint preservation and deformity correction treatments available from infancy to adulthood.
The Paley Orthopedic & Institute seeks a full time (remote) web developer and SEO Manager to manage its websites and work with the marketing team to develop a targeted and impactful web strategy which will ultimately yield patient conversion. The ideal candidate will be well versed in SEO best practices and will make recommendations to promote the Institute, the physicians and the service lines.
Responsibilities:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846be8b921a6522d18dfb7d413&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a95555dc&cb=1668257744516&jobListingId=1008172959408&jrtk=3-0-1ghluheani6jh801-1ghluhebbg4do800-1ef19c14b71e88dd-
"['Conifer Value', '3.0']",http://jobs.tenethealth.com/,Developer Specialist I - Remote,"Frisco, TX",$57K - $83K (Glassdoor est.),"As a part of the Tenet and Catholic Health Initiatives family, Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide. We help our clients strengthen their financial and clinical performance, serve their communities and succeed at the business of healthcare. Conifer Health helps organizations transition from volume to value-based care, enhance the consumer and patient healthcare experience and improve quality, cost and access to healthcare. Are you ready to be part of our solutions? Welcome to the company that gives you the resources and incentives to redefine healthcare services, with a competitive benefits package and leadership to take your career to the next step!
JOB SUMMARY
The Data Warehouse Developer I will be a critical team member for the delivery of key customer commitments surrounding Conifer’s Revenue Cycle Management and Value Based Care data sets and support the build out of enterprise information management capabilities across the business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846be8b921a6522d18dfb7d413&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_207ba893&cb=1668257748317&jobListingId=1007859054914&jrtk=3-0-1ghluheani6jh801-1ghluhebbg4do800-a92242ce1c592a04-
"['Texas Executives', '3.0']",http://jobs.tenethealth.com/,Developer Specialist I - Remote,"Frisco, TX",$57K - $83K (Glassdoor est.),"Tenet is hiring a Release Manager for HRIS. The Release Manager, reporting to the HRIS Director, will be responsible for managing HR systems releases across the enterprise organization, assessing system and downstream HR systems impacts, and engaging stakeholders, technology partners, and product owners.
This is a great opportunity for a talented individual with HR systems experience to use their broad experience in HR systems, project management, and influencing skills to elevate and continuously improve our core HR technology solutions. This is an ideal role for someone who is collaborative, entrepreneurial, and team-oriented who is comfortable in a fast-paced, communicative, transformation environment with diverse leaders and teams across the company. This person has strong verbal and written communication and presentation skills, is extremely well organized, and has a proactive working mentality and strong analytical expertise with the capacity to solve problems and deliver high-quality results. This person is both a leader and part of an incredible team working on behalf of all our customers and communities of care at Tenet Healthcare.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846be8b921a6522d18dfb7d413&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0b34cc44&cb=1668257751385&jobListingId=1008034905160&jrtk=3-0-1ghluheani6jh801-1ghluhebbg4do800-6227ec125d30e368-
"['Paley Institute Global, LLC', '3.0']",http://jobs.tenethealth.com/,Web Developer (The Paley Institute),"West Palm Beach, FL",$64K - $110K (Glassdoor est.),"The Paley Orthopedic & Spine Institute is one of the nation’s premier orthopedic destination for medical tourism. Founded by Dror Paley, the world’s foremost expert in limb lengthening and deformity correction, the physicians at the Institute offer a comprehensive range of services, from hip replacements and pediatric orthopedics, to the most technologically advanced limb-lengthening, spine deformity, joint preservation and deformity correction treatments available from infancy to adulthood.
The Paley Orthopedic & Institute seeks a full time (remote) web developer and SEO Manager to manage its websites and work with the marketing team to develop a targeted and impactful web strategy which will ultimately yield patient conversion. The ideal candidate will be well versed in SEO best practices and will make recommendations to promote the Institute, the physicians and the service lines.
Responsibilities:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be931c08a3db6d8b9ba7688&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e971caf&cb=1668257762544&jobListingId=1008172959408&jrtk=3-0-1ghluicf8i7lj801-1ghluicg4i3af800-1ef19c14b71e88dd-
"['Conifer Value', '3.0']",http://jobs.tenethealth.com/,Web Developer (The Paley Institute),"West Palm Beach, FL",$64K - $110K (Glassdoor est.),"As a part of the Tenet and Catholic Health Initiatives family, Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide. We help our clients strengthen their financial and clinical performance, serve their communities and succeed at the business of healthcare. Conifer Health helps organizations transition from volume to value-based care, enhance the consumer and patient healthcare experience and improve quality, cost and access to healthcare. Are you ready to be part of our solutions? Welcome to the company that gives you the resources and incentives to redefine healthcare services, with a competitive benefits package and leadership to take your career to the next step!
JOB SUMMARY
The Data Warehouse Developer I will be a critical team member for the delivery of key customer commitments surrounding Conifer’s Revenue Cycle Management and Value Based Care data sets and support the build out of enterprise information management capabilities across the business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846be931c08a3db6d8b9ba7688&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_743a6675&cb=1668257766341&jobListingId=1007859054983&jrtk=3-0-1ghluicf8i7lj801-1ghluicg4i3af800-c8e7859f59b280ef-
"['Conifer Value', '3.0']",http://jobs.tenethealth.com/,Web Developer (The Paley Institute),"West Palm Beach, FL",$64K - $110K (Glassdoor est.),"As a part of the Tenet and Catholic Health Initiatives family, Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide. We help our clients strengthen their financial and clinical performance, serve their communities and succeed at the business of healthcare. Conifer Health helps organizations transition from volume to value-based care, enhance the consumer and patient healthcare experience and improve quality, cost and access to healthcare. Are you ready to be part of our solutions? Welcome to the company that gives you the resources and incentives to redefine healthcare services, with a competitive benefits package and leadership to take your career to the next step!
JOB SUMMARY
The Data Warehouse Developer III will be a critical team member for the delivery of key customer commitments surrounding Conifer’s Revenue Cycle Management and Value Based Care data sets and support the build out of enterprise information management capabilities across the business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846be931c08a3db6d8b9ba7688&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2e68d6f2&cb=1668257768318&jobListingId=1008082342355&jrtk=3-0-1ghluicf8i7lj801-1ghluicg4i3af800-a841844c6a63c0bf-
