Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
The Platform Engineering team at Tesla builds and runs the tools and technologies that make up Tesla's internal cloud platform. Our mission is to enable developers to rapidly take ideas from napkin to web as quickly and securely as possible while providing tools that enable them to gain insight and stay compliant. Our success is measured by how we allow our developers to get their applications running faster and more efficiently by allowing them to focus on code and not infrastructure. And to allow our SRE’s and Ops engineers to work on core tasks, instead of having to serve as full time customer to developers.
The applicant should have experience developing applications that are not only easily adjustable and expandable but can scale vertically as well. The applicant will be designing and creating the web site as well as managing the GraphQL Mesh.
What You’ll Do
What You’ll Bring",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_551d3cb1&cb=1668268277535&jobListingId=1008275393759&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-5afeb5373a42d6a5-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
Tesla is looking for extraordinary talent with a passion for innovation and quality. You will continuously design creative ways to break software and identify potential bugs. You will be responsible for driving test development of Tesla services and distributed systems. Come join us and learn from the best while transforming your career.
As a QA Engineer you will work very closely with Software Engineers to understand the technical design of applications and ensure testability of the developed components. They will build test automation with the goal of providing maximum coverage in the most efficient manner. They are also responsible for ensuring that the test infrastructure is easily maintainable and can scale to the demands of a rapid continuous integration continuous deployment environment.

What You’ll Do

What You’ll Bring",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b7bf05dc&cb=1668268279739&jobListingId=1008271578481&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-f72c4e52ab6ba7ee-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
Cells are the common denominator for every Tesla product. In the Abuse Testing & Engineering group, we push battery systems to their limits and beyond using specialized equipment to apply electrical, mechanical, and thermal stresses. Our goal is to provide rapid feedback to inform designs early in development, by understanding how robust systems perform under abusive conditions. We accommodate external regulations but have a strong focus on internal requirements and testing to failure. Every Tesla battery product comes through our lab, from vehicles to energy storage and more. Our environment is fast-paced and incredibly exciting.
We are looking for a Data Engineer/Software Engineer to create streamlined and intuitive data storage, processing, and analysis tools. This person will lead data processing/analysis efforts in the Abuse Testing and Engineering group with a focus on pack-level tests.
What You’ll Do
Build robust, flexible, and automated software tools to enable complex analysis of test data








What You’ll Bring",16d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_06e5d90a&cb=1668268283670&jobListingId=1008236217769&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-ec8bac6ed0346f67-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
The Design Technology group at Tesla creates or manages software used in the design and manufacture of Tesla products. The group maintains a stack made up of multiple co-existing versions of COTS and in-house design tools and is building a larger system wrapping them to make design data accessible and useful at Tesla factories around the world, 24/7.

Software Test Engineers understand that manual testing is exhausting, error prone and unscalable, yet testing itself is vital to quality and trust. They focus on building frameworks to make it easy to write and run tests at scale. They work with Product Management and technical leadership to convert business requirements into acceptance/regression tests that form a constantly growing foundation for the future.
What You’ll Do
Establish testing frameworks in multiple cluster environments.",10d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7859a9f&cb=1668268286465&jobListingId=1008249898404&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-b5f60693b8ab6c3a-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
Tesla Sourcers find top software talent to power a sustainable & autonomous future. This role partners closely with recruiters, engineers, and engineering managers to identify, attract, and assess exceptional engineering candidates. Our team supports software hiring across Autonomy (Autopilot & Tesla Bot), Vehicle & Energy Software, and even Battery Manufacturing, to name a few. We are looking for passionate, innovative thinkers who can help leverage new approaches to bring the very best software engineers to Tesla.
What You’ll Do
Utilize multiple tools and approaches to identify top talent
Build robust software pipelines of qualified candidates for near-term and future hiring needs",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a5948998&cb=1668268290448&jobListingId=1008157152901&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-87fc7c957a787fd3-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
The reliability data team is looking for a Data Scientist/Software Engineer to utilize large-scale data and help Tesla engineers design and validate the most compelling and reliable products for our customers. The reliability data team collects real-time life data from test and fleet (energy, charging, and vehicle products) and is responsible for retrieving, analyzing, and summarizing results to cross-functional teams. The team provides support through the whole design cycle by building software tools that orchestrate all the reliability physics analyses. The level of this position will be determined at the time of the interview.

What You’ll Do
Build robust, flexible, and automated software tools to enable complex analysis of real-time fleet
What You’ll Bring",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_de602751&cb=1668268293042&jobListingId=1007723384107&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-0e8dbd97157b49fd-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
The Autopilot Software Programs teams is responsible for scoping, prioritizing, tracking, and releasing Autopilot features from inception to launch. Past features the team has launched incllude Navigate on Autopilot, Smart Summon, Traffic Light and Stop Sign Control, and more than a dozen active safety features.
As an Autopilot Release Manager, you will update millions of customer cars with new safety critical software on tight timelines. You will make sure teams validate their changes on time, resolve blocking issues, and communicate risks to relevant stakeholders. You will handle large branch merges and frequent software package signoffs. We expect you to be an organized self starter and a problem solver who can jump in to resolve inefficiencies in the release process. We believe an autonomous future is a safer future, so success means shipping high quality features with a sense of urgency.
What You’ll Do
What You’ll Bring",24h,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_06d42188&cb=1668268294633&jobListingId=1008274934566&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-dc0bbb45cf37441b-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
Tesla aims to accelerate world’s transition to a sustainable energy by ensuring we provide a seamless and frictionless experience to our customers. To meet this goal, Tesla is constantly striving to innovate and provide best in class services through introduction of pioneering new products and services. To that end, Tesla is seeking hardworking and passionate software engineers as various levels. These engineers will be part of a startup team that is focused on delivering a highly scalable platform that enables growth of current and future products and services to our customers.
What You’ll Do
Design and develop high quality, scalable and stable web applications and/or back-end services
What You’ll Bring",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9b6d0102&cb=1668268296304&jobListingId=1008157144173&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-d6faeed0cb0aafe6-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
Tesla is accelerating our infrastructure engineering initiatives, and is seeking a Manager of Software Engineering to lead our growing team focused on Infrastructure Engineering applications. The ideal candidate is both a veteran developer, and a strong leader, with a demonstrated history of driving strategy and success.
Tesla is searching for a passionate Software Engineering leader to build our next generation self-service platform, and lay out a long term strategy that improves our ability to develop and deliver applications at scale. These applications will improve and enable self-service access to a multitude of infrastructure needs across the entire organization. You will be responsible for creating a forward looking strategy and the associated processes that dictate how we manage our library of applications and how they interact with various internal services and APIs, across multiple teams and platforms. You will be directly responsible for designing and developing MVPs, and establishing development and integration best practices.
What You’ll Do
What You’ll Bring",3d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7e8308ec&cb=1668268299196&jobListingId=1008266257157&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-01fd5520b52cea92-
"['Tesla', '3.6']",http://www.tesla.com/,Staff Software Developer,"Fremont, CA",$140K - $188K (Glassdoor est.),"What to Expect
The Platform Engineering team is currently looking for a seasoned software engineer with experience in Kubernetes, Linux, and API driven development to help build Tesla’s cloud platform. You will design and develop core infrastructure components, primarily in Golang, that empower Tesla to scale faster and securely. Tesla’s Cloud Platform plays an essential role providing infrastructure as managed services which power everything from the datacenter to the factory floor. Be prepared to join a team that sets the standards for other teams in the organization, a team of incredible out-of-the-box thinking engineers that not only solve the hardest problems in the industry, but also push their engineering teams at large to be better. This candidate must be comfortable with from-scratch API design and associated backend software stack specification.
What You’ll Do
What You’ll Bring",24d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846c899e5eae64fcfbd9647d20&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9163f48c&cb=1668268301021&jobListingId=1008215746695&jrtk=3-0-1ghm8j7kckf1t801-1ghm8j7l6i6hj800-919bb8e6f0c85050-
