Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Requisition Title: Software Engineer III, Test
Requisition ID: 217539BR

When you’re part of the team at Thermo Fisher Scientific, you will do important work that supports a powerful mission. With revenues of $25 billion and a track record of stability and consistent growth, we are uniquely able to provide our teams the resources and opportunities to make significant contributions to the world of science, technology, and engineering.

Location/Division West Hills, CA, or Remote in U.S. Transplant Diagnostics Division

How will you make an impact?
We are seeking a dedicated Software Test Engineer who will develop and complete software test plans, and design and automate test scripts to test instrument control applications. Also required are strong written and oral communication skills and the ability to connect with business partners and customers in a non-technical manner while delivering on business requirements and value.



Bachelor’s degree in Computer Science, Engineering, or related field required. Master’s degree preferred.",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_22a2c0ff&cb=1668248452150&jobListingId=1008271346968&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-5aa4f2f392a91ffa-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Job Title: Software Engineer III - Backend Developer
Requisition ID: 206654BR

Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving sophisticated analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.
When you’re part of the team at Thermo Fisher Scientific, you’ll do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Your work will have real-world impact, and you’ll be supported in achieving your career goals.

Specifically, for the Materials & Structural Analysis Division, we focus on building software applications intended to support the research and development for Life Sciences, Materials Science or Semiconductor customers worldwide. You will be part of the Global Digital organization within Thermo Fisher Scientific’s larger Materials and Structural Analysis R&D organization, which is committed to bringing groundbreaking software solutions to our customers to help them achieve success.


Portland, Oregon
Hillsboro, Oregon
Austin, TX
Remote (must be located on the East Coast)

Analytical Instruments Group, Materials & Structural Analysis Division, Electron Microscopy Software



If you are passionate about software design, dedicated to quality, and pragmatic about problem solving, we'd love to hear from you. We expect a strong desire to collaborate with teammates and project stakeholders to develop successful software solutions for the Life Sciences or Semiconductor business units.



You will be part of the Global Digital organization within Thermo Fisher Scientific’s larger Materials and Structural Analysis R&D organization, which is committed to bringing groundbreaking software solutions to our customers to help them achieve success. The applications being developed focus on using advanced approaches, including cloud/on premise solutions to help engineers and scientists in their research whether in life or material science or for the semi-conductor industry. You will be helping develop the next generation of products that are key to helping our customers solve their most challenging problems more effectively.





Master’s degree in Computer Science Engineering or equivalent in related field preferred, or equivalent combination of education, training, and experience.",15d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c0fa8be2&cb=1668248456145&jobListingId=1008239869408&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-65374b22bad2bf4c-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Job Title: Software Engineer III - Backend Developer
Requisition ID: 206654BR

Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving sophisticated analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.
When you’re part of the team at Thermo Fisher Scientific, you’ll do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Your work will have real-world impact, and you’ll be supported in achieving your career goals.

Specifically, for the Materials & Structural Analysis Division, we focus on building software applications intended to support the research and development for Life Sciences, Materials Science or Semiconductor customers worldwide. You will be part of the Global Digital organization within Thermo Fisher Scientific’s larger Materials and Structural Analysis R&D organization, which is committed to bringing groundbreaking software solutions to our customers to help them achieve success.


Portland, Oregon
Hillsboro, Oregon
Austin, TX
Remote (must be located on the East Coast)

Analytical Instruments Group, Materials & Structural Analysis Division, Electron Microscopy Software



If you are passionate about software design, dedicated to quality, and pragmatic about problem solving, we'd love to hear from you. We expect a strong desire to collaborate with teammates and project stakeholders to develop successful software solutions for the Life Sciences or Semiconductor business units.



You will be part of the Global Digital organization within Thermo Fisher Scientific’s larger Materials and Structural Analysis R&D organization, which is committed to bringing groundbreaking software solutions to our customers to help them achieve success. The applications being developed focus on using advanced approaches, including cloud/on premise solutions to help engineers and scientists in their research whether in life or material science or for the semi-conductor industry. You will be helping develop the next generation of products that are key to helping our customers solve their most challenging problems more effectively.





Master’s degree in Computer Science Engineering or equivalent in related field preferred, or equivalent combination of education, training, and experience.",15d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ffc8e83e&cb=1668248457997&jobListingId=1008239869407&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-caaa53d8936eec11-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Job Title: Engineer III, Software
Req #: 220426BR
Location/Division Specific Information
Reston, VA (Remote) | Transplant Diagnostics Division
Position Summary
As a member of the external software development team, you’ll design and develop customer facing applications that translate scientific data into a rich graphical user interface. The software provides the analyst with a wide range of analytical tools to facilitate examination and reinforce decision making.",22d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3a27abc6&cb=1668248460889&jobListingId=1008221693523&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-0031f6a56e8c16ea-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Job Title: Engineer III, Software Test
Req #: 217457BR
Thermo Fisher Scientific’s Material and Structural Diagnostics group is looking for a hardworking Software Engineer for developing automated semiconductor process equipment that delivers wafer-to-atomic information, enabling our customers to make timely decisions.
Location/Division Specific Information
Hillsboro, OR | Materials and Structural Analysis Division
A Day in the Life",1d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_053a3ef1&cb=1668248463861&jobListingId=1008271346969&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-ebd26d1313f97bc9-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $35 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

Location/Division Specific Information
Sunnyvale, CA / Chromatography and Mass Spectrometry Division

How will you make an impact?
When you are part of the team at Thermo Fisher Scientific, you will do important work to help make the world a healthier, cleaner, and safer place. Surrounded by collaborative colleagues, you will have the support and opportunities that only a global leader can give you. Our respected, growing organization has an exceptional strategy for the near term and beyond. Take your place on our strong team and help us make significant contributions to the world!

As part of an agile development team, you will be at the forefront of developing groundbreaking capabilities by building our next generation cloud-based architecture and platform. With your software engineering experience, you will be responsible for developing, shipping, and maintaining web services that provide direct value to our customers.





Minimum of High School Diploma/GED",14d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_edb5077d&cb=1668248466729&jobListingId=1008241623285&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-ae790d8b93aafbc0-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Requisition Title: Staff Engineer, Software Test
Requisition ID: 213911BR

When you’re part of the team at Thermo Fisher Scientific, you will do important work that supports a powerful mission. With revenues of $25 billion and a track record of stability and consistent growth, we are uniquely able to provide our teams the resources and opportunities to make significant contributions to the world of science, technology, and engineering.

Location/Division: Remote or West Hills, CA Transplants Diagnostics Division

How will you make an impact?
We are seeking a talented Staff Software Test Engineer who will develop and execute software test plans. Build or enhance the automated framework, and automated test scripts, and execute them in an Agile software development environment. Deliver innovative solutions for rapidly evolving markets.



Bachelor’s degree in Computer Science, Engineering, or related discipline required. Master’s degree preferred.",9d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8dc7b265&cb=1668248469665&jobListingId=1008252468340&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-20821f160c92cf76-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Job Title: Engineer III, Software
Req #: 217454BR
Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $39 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing efficiency in their laboratories, we are here to support them.
Location/Division Specific Information
Hillsboro, OR | Materials & Structural Analysis Division",1d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_44d42027&cb=1668248473465&jobListingId=1008271346971&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-7bf73207c0f663e5-
"['Thermo Fisher Scientific', '3.8']",https://www.thermofisher.com/,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),"Requisition Title: Staff Engineer, Software Test
Requisition ID: 213911BR

When you’re part of the team at Thermo Fisher Scientific, you will do important work that supports a powerful mission. With revenues of $25 billion and a track record of stability and consistent growth, we are uniquely able to provide our teams the resources and opportunities to make significant contributions to the world of science, technology, and engineering.

Location/Division: Remote or West Hills, CA Transplants Diagnostics Division

How will you make an impact?
We are seeking a talented Staff Software Test Engineer who will develop and execute software test plans. Build or enhance the automated framework, and automated test scripts, and execute them in an Agile software development environment. Deliver innovative solutions for rapidly evolving markets.



Bachelor’s degree in Computer Science, Engineering, or related discipline required. Master’s degree preferred.",9d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b5b26d38c5f83b3133d37af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_439cc574&cb=1668248475581&jobListingId=1008252468307&jrtk=3-0-1ghllm9qkma58801-1ghllm9rbj45o800-2047fb987d385482-
,,"Engineer III, Software Test",California,$85K - $118K (Glassdoor est.),,1d,
