Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Glacier Bancorp', '3.8']",http://www.gbcijobs.com/,Corporate Data Warehouse Developer II,Remote,$90K (Employer est.),"About the Role
All Applicants must apply through this link:
https://www.gbcijobs.com/jobs/6859?lang=en-us
The Data Warehouse Developer II is responsible for designing, developing and testing data warehouse integration using type-2 slowly changing dimension techniques. Works collaboratively with members of the technology, business, and vendor solution teams to design and develop integrated solutions to fulfill the data analytic needs of the business.
This is a Corporate position which may be located in an available bank division across our eight-state footprint in AZ, CO, ID, MT, NV, UT, WA, or WY. Click here to learn more about our bank divisions. To learn more about us, please visit: https://www.gbcijobs.com/pages/about-us.",30d+,
"['Bank of the San Juans', '4.3']",http://www.banksanjuans.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About the Role:
If you want to ACHIEVE YOUR DREAMS and help others in ACHIEVING THEIR DREAMS come and join our team. The HR team is looking for a Full-Time Human Resources Gneralist to join the team.

The Human Resources Generalist is responsible for creating and maintaining the culture of Bank of the San Juans while performing HR-related duties on a professional level and works closely with the HR Manager. Assumes responsibility for the effective performance of various human resource functions, including recruiting, interviewing, hiring, compensation, employee relations, training, payroll functions, and for insuring division wide compliance with EEO, ADA, FMLA, and other governmental regulations. Ensures Human Resource activities are conducted in accordance with established company policies and procedures. Support the VP Human Resources Manager to meet the division’s challenge to become the employer of choice in each of its market areas.











About You:










What We Offer:",22d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c99be7cb&cb=1668241076161&jobListingId=1008222583480&cpc=F41FEAB56D215062&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-5c1c198a018e5b7f--6NYlbfkN0ChLCiOuNGrx4_ai2JshhAcY0kmDiCHw3ENZF0JWBkwJHVg26pJBQw1khyMZCFDq6h2CXbPQmpT4RnY1w0LQGfsbuOoU3ESEmr-rBwuDNas8e2SOxlDzz_c83PIc9ngsw5Inz8ILrCihvmkxgqhpn1tTC5MKsLkKHtDxciobAdopM2jAo-ZQfNNmMLsuOJQVtkS12bnu-si0lrYqSM46iK7cdMp8KikRtYaY40r1kG1ySowAKovbaQgVim-MPjAkforqDvjn20S6SdoaL69x2U1SrRk1qSpMAfewzxIfMlNAfOA8Q51H1h4uuwWBLUQAag_f8AFRWxE7cbz8co8RdvXukEs5vecaMVOvCJqMg1jmxa6tUYoLeDNvoDoxDynL5e63xANU5nwu3oEctT9TCb3YPjIQRvpzOv87fdI0VlaRsvAoy1OWRn2nJQJpw1FZXBYYWJtSyh4AMO2GmnsvOrINJ91L2W1cwxaaPdgj7kS-vQ7wKFJ3owi0Rzkbh0icKZr9DjXEXxyGAfIIkp-FdU8nzFWNriiABkNtNl6ojMluQWXplGin8Hv8lbgbPNPl6pROfOl8vRGe8kX2vjVXFLxuyBAXeEi0iay0R04njaaR7Ic5SDm6PWPIK9JdNti3mj6XUD4RnKjk3wr5TrSx9fC3hAxUBVvMf58Op1wvn3oVANfIaupocI4u_hNWiPXKgXNZlrUawEx4qR6INX3jIIVtjnZHwD20topva2Jp2SCCA%3D%3D
"['Bank of the San Juans', '4.3']",http://www.banksanjuans.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About the Role:
We are looking for a Facilities Maintenace individiual to help in maintaing all of our locations. This position will be responsible for the proper maintenance and upkeep of all division office buildings and equipment and to ensure that all facilities are kept in good repair, are functioning properly and provide a safe environment. This is done by overseeing or performing periodic inspections and upkeep/repairs of a more complex nature to buildings, facilities and equipment. Oversees janitorial services, groundskeepers, and other service providers needed to ensure all facilities are maintained to enhance the appearance and productivity of the company. This position will works with our various Branch Managers and other office tenants regarding problems related to office spaces and building services. Performs or schedules repairs with outside contractors. Is responsible for assisting with access controls and building security systems.

Bank Happy. Work Happy. Right Here.





About You:




What We Offer:",23d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_71b3758b&cb=1668241080157&jobListingId=1008217829356&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-0b6bf83f4ce54c02--6NYlbfkN0ChLCiOuNGrx4_ai2JshhAcY0kmDiCHw3ENZF0JWBkwJHVg26pJBQw1ssJwfE6BBnw5cD0fj89uaZbCJ343fhFigmDxxarsL3nYZbD_ZNXBRf1cH04ZPkzWPQfwnXmTZwHaX4H95JZ2x9xkgPT0zjQqqIsLOi2h9Wnb4PARqwLhY9wURZM5VOkD1Tsgy1fS5XthciJX5ScCautMx6qNczEoEjdZq-OuxojVTyIuzIwm7BTh9vZhrhzIlvsbCn8HzBOM4rHblrTgCSEUYz3DCoDVEdwXxK9HA4uDpOeDhopw5t-eXmqIU-xDQoWi-zGsbvfRE_ArSxrdcO536a4zQTBRUcNwNTMJwLC2kIp8jPMBXkh8IiqFSu3K08-p01k7gCFIJeCHxyY2yicJidoGJ7KCJajoKr6GiKs706FdGs20ZIKOl_r_58nWchYO6N3lAeJvBdEZcFGgfaNTdTdSDysBiIsWp4sg_hYsisHldTnoO2n7uGT3z6TmpBbpASAPre-pbIXi9ieB5VAPrQ1AvyFJT8RHCYjO-sNK6Zye34bGS5dITQjweUu36PUNtDfQEvs70-bNYRRoeak3Y_GV5crBE2WbNAM5ZT8srbjd8wIl1VY69tYN4SDGiTSP9A6JLuqxBm4_LPdPaagibel88W3Q30m3_0O9kfu1aiBLsFemPwPOfHeTmnNTC8HFsm6dLlQ3bOS9l1WphgLyearfEtc2D0L3PVlOMZs%3D
"['Glacier Bancorp', '3.8']",http://www.gbcijobs.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About The Role

The Solutions Engineer is accountable for designing technical solutions that meet business requirements. Partners with key roles (e.g. project managers, business analysts, solution architects, technology SMEs, technology managers, etc.) to create solutions which are aligned with architecture principles, and leverage common solutions and services. The Solutions Engineer must have a comprehensive understanding of the company’s technical architecture and be responsible for implementing solutions that are in line with the strategic vision.

The Solutions Engineer must have a well-rounded background that encompasses the entire technology stack (software, hardware, network, hypervisor, OS, & cloud) which can be called upon to solve challenging problems. The Solutions Engineer must be motivated by taking on new challenges and problem solving. The Solutions Engineer will require a flexibility to take on different types of engineering projects as no two will be the same.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_42576b13&cb=1668241084112&jobListingId=1007967398603&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-3d1fb5ad099b8d63-
"['Glacier Bancorp', '3.8']",http://www.gbcijobs.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About The Role

This position reports into an Audit Manager that is responsible for executing on the audit plan covering Glacier's Technology risks. This individual will take a lead role and will be responsible for the completion and execution of Technology audits with limited oversight and management.

This is a Corporate position which may be located at an available bank division location across our eight-state footprint in AZ, CO, ID, MT, NV, UT, WA, or WY. The midpoint for this position is $85,855.87+ / per year (calculated for Kalispell, MT). All compensation offers are analyzed individually and take into consideration multiple factors including but not limited to geographic location, years of experience, and educational background.

Duties and Responsibilities
Description",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bcd5abca&cb=1668241088278&jobListingId=1007955575162&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-c0abeec95e146e57-
"['Collegiate Peaks Bank', '3.2']",http://www.collegiatepeaksbank.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About the Role:
Summary:

The Quality Control Monitoring Specialist performs quality control for all retail and business branch documentation to ensure compliance with policy, division and GBCI standards. They are responsible for reporting exceptions to supervisors and staff in a spreadsheet for tracking purposes and to monitor corrections. In addition to the above, they will provide monthly reports on outstanding exceptions, the percentage of exceptions each month and report any trends to the Senior Operations Manager.

The compensation minimum within the wage range for this position is $21.52- $28.69
hourly and will vary depending on what city the applicant works in. All compensation offers are analyzed individually and take into consideration multiple factors including but not limited to geographic location, years of experience, and educational background.



About You:







What We Offer:",21d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c8a1cfaa&cb=1668241091586&jobListingId=1008223573961&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-d8fed6a3479762e8-
"['Glacier Bancorp', '3.8']",http://www.gbcijobs.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About The Role

This position reports into the Chief Auditor and is responsible for overseeing and executing on the audit plan covering Glacier’s Compliance risks. This individual leads and manages the team responsible for the execution of Risk and Compliance audits.

This is a Corporate position which may be located at an available bank division location across our eight-state footprint in AZ, CO, ID, MT, NV, UT, WA, or WY. The midpoint for this position is $125,482.43+ / per year (calculated for Kalispell, MT). All compensation offers are analyzed individually and take into consideration multiple factors including but not limited to geographic location, years of experience, and educational background.

Description",22d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b305ed8c&cb=1668241093464&jobListingId=1008222799000&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-35bda57cd4c84479-
"['Glacier Bancorp', '3.8']",http://www.gbcijobs.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About The Role

Summary:

The Quality Control Monitoring Specialist performs quality control for all retail and business branch documentation to ensure compliance with policy, division and GBCI standards. They are responsible for reporting exceptions to supervisors and staff in a spreadsheet for tracking purposes and to monitor corrections. In addition to the above, they will provide monthly reports on outstanding exceptions, the percentage of exceptions each month and report any trends to the Senior Operations Manager.

The compensation minimum within the wage range for this position is $21.52- $28.69
hourly and will vary depending on what city the applicant works in. All compensation offers are analyzed individually and take into consideration multiple factors including but not limited to geographic location, years of experience, and educational background",22d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c8ddfcd9&cb=1668241095562&jobListingId=1008222798993&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-5c64318f5f70cc50-
"['Glacier Bancorp', '3.8']",http://www.gbcijobs.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About The Role

If you want to ACHIEVE YOUR DREAMS and help others in ACHIEVING THEIR DREAMS come and join our team. The HR team is looking for a Full-Time Human Resources Gneralist to join the team.

The Human Resources Generalist is responsible for creating and maintaining the culture of Bank of the San Juans while performing HR-related duties on a professional level and works closely with the HR Manager. Assumes responsibility for the effective performance of various human resource functions, including recruiting, interviewing, hiring, compensation, employee relations, training, payroll functions, and for insuring division wide compliance with EEO, ADA, FMLA, and other governmental regulations. Ensures Human Resource activities are conducted in accordance with established company policies and procedures. Support the VP Human Resources Manager to meet the division’s challenge to become the employer of choice in each of its market areas.",22d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ea0fa391&cb=1668241098466&jobListingId=1008222798992&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-6f0625d21b245bdb-
"['First Security Bank Missoula', '5.0']",http://www.firstsecuritybanks.com/,HR Generalist,"Pueblo West, CO",$22.41 Per Hour(Employer est.),"About the Role:
Position is responsible for managing construction loans from initial set up to full repayment, along with performing and managing applicable administrative duties. Primary role is to manage all facets of Construction Lending (both residential and commercial), including but not limited to developing a thorough understanding and working knowledge of the ‘BUILT’ software, entering budgets and draw requests into the software; reviewing and monitoring construction loan data for completeness and accuracy; exercising good judgement within defined procedures and practices to determine appropriate action. Other roles involve supporting loan and underwriting team with complex commercial construction inspections and expertise on questions about the construction process. Additional duties include a team approach to engagement, working closely with lenders, borrowers, and contractors.



About You:



What We Offer:",22d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846aea9286a13e7fa59c6e41ec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e91d7ce&cb=1668241101398&jobListingId=1008220734749&jrtk=3-0-1ghlel4ltklsu801-1ghlel4moghqn801-ca5ceccaffae670a-
