Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Job Summary
The Operation Research (OR) group within UPS creates software and algorithms that model and refine business processes within the company. The cross-functional team of developers and research analysts strives to identify new technologies and approaches to improve the efficiency, reliability, and profitability of the UPS transportation and delivery network. The group achieves its goals through technical expertise paired with strong collaboration and creative problem solving skills.
The Senior OR Analytics Developer (Senior Applications Developer) works as a member of the OR team to build both applications and components to support our goals of implementing optimized solutions to impact UPS business goals. Developers within OR participate in the full SDLC, requiring the abilities to: analyze, design, code, test, and prototype proof-of-concept programs ranging in all levels of complexity. This position has the opportunity to work in .NET, developing Windows, .NET Core applications using C# in a Windows as well as Linux environment and building back-end components for local servers. The Senior OR Analytics Developer may confer with other business groups to gather requirements, understand required data sources, and other items needed for a successful outcome.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7db860cd&cb=1668241388294&jobListingId=1007797982853&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-e6c65c910ad68ff1-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"TForce Freight - Application Manager
Remote – Mid Atlantic region
About this role:
The Application Manager leads the analysis and design of quality technical solutions. He/She leads development teams, business stakeholders, vendors and consultants through all phases of the software development lifecycle. This position participates in component and data architecture design, technology planning, and testing initiatives to meet business requirements. This position develops and leads project development and integrations and collaborates with cross functional teams. He/She is responsible for the work of others, resource allocations, and decision-making affecting the success of assigned projects. This position provides consultation, training, and subject matter expertise for applications’ development, maintenance, and support.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",6d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_24788485&cb=1668241390191&jobListingId=1008259575243&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-dedd1dedb7e803cf-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Software Quality Engineer
We will consider candidates from the following I.T. locations: GA, NJ, MD & KY
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Quality Assurance at UPS Technology:
Our Quality Assurance (QA) team provides world-class automation and quality improvement. They rise to the challenge of testing multiple unique releases, impacting UPSers and customers alike. Our QA teams find and remove any glitches that could jeopardize our integrity. On our QA team, you’ll be at the forefront of keeping our software sailing ahead smoothly.


UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9db83b17&cb=1668241394007&jobListingId=1008002117749&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-d9629c4cd587cbf3-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Applications Development Manager
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_98660981&cb=1668241397912&jobListingId=1008115720759&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-653a8cfa79e3bbaf-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Software QA Automation Engineer
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.


UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",24d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_709f73db&cb=1668241401831&jobListingId=1008216123290&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-04c99e33aed2588f-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Senior Applications Developer - Remote Position
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done…our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",13d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d512a8c1&cb=1668241403558&jobListingId=1008242711600&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-5bc2a59a02fff1c9-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Applications Development Manager
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2d66132b&cb=1668241405517&jobListingId=1007942503299&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-26b5b68c29cf254e-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Applications Development Manager
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5252653c&cb=1668241407376&jobListingId=1007870106154&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-7a5085b8736ee46a-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Senior Applications Developer
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",14d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_52f251e3&cb=1668241409212&jobListingId=1008241463749&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-06357390bae13aac-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Senior Software Developer - Remote,"Atlanta, GA",$90K - $131K (Glassdoor est.),"Senior Applications Developer
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done…our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846aef4dd6ba6383e39d241db9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f3f7efba&cb=1668241411162&jobListingId=1008088950286&jrtk=3-0-1ghleujfvi6jk801-1ghleujgni171800-59b7c94a9320e041-
