Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Pixelberry Studios', '4.7']",http://www.pixelberrystudios.com/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"Pixelberry Studios is a top mobile games developer, creating fun and engaging games with heart for over nine years. We’re a division of Nexon, one of the Top 10 largest gaming companies in the world. Our studio is 3-for-3 launching games into the App Store's Top 25 Grossing chart. Our market-leading, award-winning mobile game, Choices: Stories You Play, broke into the Top 5 in the App Store. Our vision for success is based around innovative game design, diversity, and putting our players first!

We've seen firsthand the positive impact that games can make. Because of that, we leverage our commercial success to make a real difference: we have partnered with numerous non-profits, saved actual lives with our games, and donated hundreds of thousands of dollars to charities. Players love our games’ focus on racial, gender, sexual, and identity diversity while holding us accountable when they expect more.









This is a remote position.",30d+,
"['Berkley', '4.0']",http://www.goberkley.com/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"Company Details:

Carolina Casualty is a member company of W. R. Berkley Corporation, an insurance holding company that is among the largest commercial lines insurance writers in the United States. We specialize in writing liability, physical damage, cargo and other insurance solutions for fleet trucking, public transportation and other commercial markets. Our culture emphasizes inclusion, collaboration, innovation, and team.

Our culture is one where your work is recognized and appreciated.
Responsibilities:
Software Developer will support the business in the development of new software applications, database analysis and application programming which align with the business goals and objectives.


Qualifications:

Additional Company Details: The Company is an equal employment opportunity employer. Additional Requirements: Must be fully vaccinated and remain fully vaccinated against COVID-19. *,unless prohibited by law. *Per the CDC, fully vaccinated means at least 2 weeks after (1) a second dose in a 2-dose series, or (2) a single-dose vaccine, and this status and definition applies to COVID-19 vaccines currently authorized for emergency use or approved by the U.S. Food and Drug Administration.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a12dbc0955956b80d2eccd1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b804c3b6&cb=1668226945117&jobListingId=1008146285525&jrtk=3-0-1ghl15mvakuh6801-1ghl15mvr21v4000-952e7f55f726e497-
"['Pixelberry Studios', '4.7']",http://www.pixelberrystudios.com/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"Pixelberry Studios is a top mobile games developer, creating fun and engaging games with heart for over nine years. We’re a division of Nexon, one of the Top 10 largest gaming companies in the world. Our studio is 3-for-3 launching games into the App Store's Top 25 Grossing chart. Our market-leading, award-winning mobile game, Choices: Stories You Play, broke into the Top 5 in the App Store. Our vision for success is based around innovative game design, diversity, and putting our players first!

We've seen firsthand the positive impact that games can make. Because of that, we leverage our commercial success to make a real difference: we have partnered with numerous non-profits, saved actual lives with our games, and donated hundreds of thousands of dollars to charities. Players love our games’ focus on racial, gender, sexual, and identity diversity while holding us accountable when they expect more.




This is a remote position.",30d+,
"['Vendia', '5.0']",http://www.vendia.net/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"Vendia is seeking a Senior Full Stack Engineer to leverage their expert knowledge of web and cloud technologies to deliver critical features across Vendia's real-time, data cloud platform.
This role interacts closely with our Product, Design and Marketing teams, creating an immersive experience for Vendia's customers. You'll be responsible for the developer experience across multiple clients, as well as customer facing serverless infrastructure. You should possess a strong customer-centric, product-oriented background, as well as deep knowledge of full-stack languages and frameworks, including GraphQL. As the company grows, you'll help recruit, mentor, and scale the client engineering team.
Engineers at Vendia enjoy working on a team, contributing back as much as you learn from others while acknowledging no job is too small or too big. You are relentlessly self critical and data driven, holding yourself to the highest standards. You love all aspects of software development, but you are especially passionate about building tools and platforms that our customers can leverage.",30d+,
,http://www.grubhub.com/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"About The Opportunity:
We’re all about connecting hungry diners with our network of over 300,000 restaurants nationwide. Innovative technology, user-friendly platforms and streamlined delivery capabilities set us apart and make us an industry leader in the world of online food ordering. When you join our team, you become part of a community that works together to innovate, solve problems, grow, work hard and have a ton of fun in the process!

Why Work For Us
Grubhub is a place where authentically fun culture meets innovation and teamwork. We believe in empowering people and opening doors for new opportunities. If you’re looking for a place that values strong relationships, embraces diverse ideas–all while having fun together–Grubhub is the place for you!

More About the Role
The Impact You Will Make:
What You Bring to the Table:

And Of Course, Perks!:",1d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a12dbc0955956b80d2eccd1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2b698bb1&cb=1668226953631&jobListingId=1008270737329&jrtk=3-0-1ghl15mvakuh6801-1ghl15mvr21v4000-06e0b297d74a79d8-
"['Amazon.com Services LLC', '3.8']",http://www.amazon.jobs/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.
2+ years of non-internship professional software development experience
Programming experience with at least one software programming language.

Job summary
The Supply Chain Optimization Technology (SCOT) manages inventory under uncertainty of demand, pricing, promotions, supply, vendor lead times, and product life cycle. We optimize tradeoffs among customer promise, Fast Track in-stock, sourcing cost, transportation cost, holding cost, inventory obsolescence, FC capacity, and FC location. In addition, SCOT automates and optimizes Amazon's global supply chain for physical goods.

Automated Inventory Management (AIM): AIM’s primary objective is to maximize long-term free cash flow (LTFCF) improvements for Amazon by auditing SCOT systems and improving inventory outcomes. We drive improved supply chain outcomes through automated mechanisms and tools that inspect across the supply chain and identify defects and improvement opportunities. We are auditing the gap between successful team specific SCOT enterprise metrics and changes in desired business outcomes that are not necessarily defect based. We scale our defect repairs through fixing root causes with functional owners first and then moving to direct automated short-term repair where possible. Some defects may need an application change to be planned with the source team for the long-term repair, and in this instance, our automated repairs will provide interim support until the change is implemented.

Forecasting: Topline Forecasting enables and drives decision making on Amazon’s long-term business growth investment. We provide the aggregate forecasts, insights, and decision support products, in the form of automated solutions and strategic guidance. Topline Forecasting is used to drive hands-off-the-wheel financial planning and operations planning processes, producing long-term predictions of Prime membership, Prime Member Ordered Product Sales (PMOPS), ASIN selection, Average Selling Price (ASP), and ultimately shipped units and GMS at a daily grain over a five-year time horizon. Topline is a primary input into Consumer-wide OP1 and OP2 plans, the monthly/quarterly Finance R&O process, Consumer’s annual long-range plan (LRP), Operation’s medium and long-term topology and capacity planning, and Transportation planning. The forecast covers Retail, FBA, and Marketplace Fulfillment Network (MFN) channels across nine marketplaces, 60 unique product groups, 1000+ unique categories, and various segments related to Prime status (e.g., Free Trial versus Paid), customer tenure and B2B/B2C customers.

The ASIN Forecasting team produces ASIN-level probabilistic forecasts of unconstrained customer demand for up to 1 year in the future for 400M ASINs WW sold through the retail and FBA channel as well as stores such as Prime Now and Whole Foods. For a specific ASIN, start date and end date combination, a cumulative distribution function (CDF) of forecasted total demand units in that period is produced. Forecasts are produced at multiple region grains (country, zip2, stores and aggregation of countries). In addition to production forecasting models, the team owns the Forecasting Distribution Service (FDS), a Tier-1 service with a P90 SLA of 40 milliseconds, which can be called over 4 billion times on a single day. This service has over 50 unique customers, made up of various teams and business groups within and outside of SCOT such as Inventory Buying, Optimal Inventory Health, Inventory Placement, Selection Economics, FBA and S&OP. One of these customers, SCOT Continuous Buying, uses these forecasts to trigger the buys of over 4 billion units WW.

Fulfillment optimization: Fulfillment Optimization focuses on delivering items to customers quickly, efficiently, and reliably. We own a suite of Supply Chain products and services that forecast the need for transportation resources, optimize the network set-up/configuration, determine the operational capability (warehouse, fulfillment and transportation), map the inventory and transportation resource capacity/availability, and accordingly provide the best delivery promises to customers. Once the promises are made, we identify the cost optimal fulfillment plan and orchestrate the shipments making sure that the promises are met and CX is preserved.

Inventory planning and control: The Inventory Planning & Control group determines how much of a given product is needed at each location in our network in order to ensure product availability, while maintaining minimal inventory levels at each storage location. This includes strategically placing vendor orders and moving inventory between nodes of our network to serve customer demand at the lowest cost. The network topology plan will include locations for capabilities such as fulfillment, sortation, customer returns, inbound prep, cross dock, vendor flex and drop ship.

Optimal sourcing systems: Optimal Sourcing Systems (OSS) designs and builds systems that measure and manage Amazon’s supplier capabilities, identify and react to supply disruptions, and prioritizes inbound freight for our global network. OSS software is used by every country Amazon services, and is a critical link to ensuring Amazon offers the products our customers want, at the lowest possible cost.

SCOT science: SCOT Science provides the science behind SCOT systems. Our community is a diverse group of scientists spanning a wide range of disciplines (applied math, operations research, statistics, economics, computer science) and job families (data scientists, applied scientists, research scientists) - all working on the most complex challenges in supply chain optimization. We work closely with our SCOT cross-functional partners, collaborate with other scientist throughout Amazon and are actively engaged with the external scientific research community.

· 3+ years’ full-time experience in software design and development. · 2+ years’ experience as a lead developer on at least one project. · 2+ years’ experience mentoring and coaching others. · Experience with distributed systems, relational databases, map-reduce solutions. · Ability to effectively articulate technical challenges and solutions to non-technical audiences. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a12dbc0955956b80d2eccd1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d100eff4&cb=1668226957450&jobListingId=1007880315861&jrtk=3-0-1ghl15mvakuh6801-1ghl15mvr21v4000-7deed8b708963e55-
"['Heirloom Hospitality', '2.6']",http://heirloomhospitality.com/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"Heirloom Hospitality is a team of coaches, developers, and leaders who are willing to learn and teach. As General Manager, you must be ready to live and breathe this daily, along with all of our Heirloom Family Values with your team.
You are responsible for cultivating and managing the hospitality experience throughout the restaurant for both guests and staff. Your focus should be to coach and teach your staff, to constantly find ways to improve the guest experience, and to develop and mentor your management team. As the General Manager, you will also be maintaining fiscal responsibility and have a thorough understanding of the restaurant financials and inventory systems. Furthermore, you are responsible for upholding company policies and family values to the highest level by remaining accountable, firm, and consistent. Your job requires working well with all team members and displaying strong managerial judgment always.
Your immediate goal as General Manager is to fill important open managerial and hourly seats with candidates of quality and integrity. You will also be responsible for overseeing training and development to ensure a successful opening, this is done by your commitment to understanding and mastering our steps of service.
More detail about Heirloom Hospitality part of Heirloom Hospitality Group LLC",11d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a12dbc0955956b80d2eccd1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_105bdb56&cb=1668226961268&jobListingId=1008247826918&jrtk=3-0-1ghl15mvakuh6801-1ghl15mvr21v4000-c273a507e1aba2ee-
"['ControlExpert Inc', '3.9']",http://www.controlexpert.com/,Senior Product Manager (Core Web),"Mountain View, CA",$130K - $140K (Employer est.),"Do you want to change the world for generations to come? Join ControlExpert! Creating culture and innovation to transform the industry
We are exploding in the US market to disrupt and deliver a digital ecosystem of products focused on transforming the interactive experiences for Insurance Claims industry. We have chosen the Silicon Beach as our home offering a great place to work and an even greater place to enjoy life.
We are seeking startup / agile minded Senior Full Stack Engineers / Architects who are passionate about changing the world positively via technology. The roles will work with our web/platform/mobile applications including existing technologies and innovations still-to-be-created.
This is both a “ground up” and “reboot” position, so a unique combination of early stage startup and mature but evolving business. The candidate needs to be entrepreneurial, a self-starter, great at working with others and leading by example with best practices in digital full-stack development engineering.",30d+,
"['Dotdash Meredith', '3.7']",http://www.dotdash.com/,"Team Lead, Front End Development","New York, NY",$138K - $173K (Employer est.),"About Your Role:
Dotdash Meredith is looking for a Team Lead, Front-End Development with a demonstrated track record of mentorship, innovative thinking, and technical excellence. You will work in a collaborative Agile environment to support and expand the website of one of our flagship brands.
As the technology leader on your scrum team, you will be responsible for helping to set technical direction, holding high standards for best engineering practices, realizing your ideas in code, and collaborating cross-functionally to deliver high performant features on our brand websites and make an impact on millions of our users.

About Your Contributions:

Pay Range: $138,000 to $173,000",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a1365ee9ea4bb1f1f819927&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8220b1b3&cb=1668226976144&jobListingId=1007684334917&jrtk=3-0-1ghl16phokujb801-1ghl16pi9gajs800-0b9810412db0c9ff-
"['Pixelberry Studios', '4.7']",http://www.pixelberrystudios.com/,"Team Lead, Front End Development","New York, NY",$138K - $173K (Employer est.),"Pixelberry Studios is a top mobile games developer, creating fun and engaging games with heart for over nine years. We’re a division of Nexon, one of the Top 10 largest gaming companies in the world. Our studio is 3-for-3 launching games into the App Store's Top 25 Grossing chart. Our market-leading, award-winning mobile game, Choices: Stories You Play, broke into the Top 5 in the App Store. Our vision for success is based around innovative game design, diversity, and putting our players first!

We've seen firsthand the positive impact that games can make. Because of that, we leverage our commercial success to make a real difference: we have partnered with numerous non-profits, saved actual lives with our games, and donated hundreds of thousands of dollars to charities. Players love our games’ focus on racial, gender, sexual, and identity diversity while holding us accountable when they expect more.









This is a remote position.",30d+,
