Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Union Pacific', '2.1']",http://www.up.com/,C++ Developer CADX,"Omaha, NE",$52K - $76K (Glassdoor est.),"Seeking C++ Application Developer to join the Computer Aided Dispatching (CAD) Technology Team, creating technology solutions at the heart of our Railroad Operations. The CAD product is the software that enables UP Dispatchers to move trains safely and efficiently across our rail network by controlling the switches and signals in the field.
Accountabilities
Collaborate with Operations Department, Business Analysts, Engineers, and QA to identify, understand, and implement requirements
Develop enhancements and bug fixes in C++ code base using Agile methodologies
Create quality, unit tested code based upon requirements provided
Comply with coding standards, testing standards, and documentation standards",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b4b41ebaed4a1745f746721&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_adf52a3f&cb=1668247414321&jobListingId=1008266562404&jrtk=3-0-1ghlkmggpm6q7801-1ghlkmghc21v4000-ca13171ddcccbb0e-
['Pacific Aerospace Consulting'],,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"PAC is an innovative, privately-owned company delivering high-impact operational capability to our Defense and commercial partners. Our trusted team of engineers, operational experts and technical specialists share a passion for the capabilities we support - always ready to go the extra mile to ensure mission success. We look for people who value integrity, flexibility and professionalism - these values set the standard for everything we do.
Our culture allows the unique opportunity to make - and see - an impact. We enable autonomy, value professional curiosity and decisiveness, and - above all - cultivate collaboration. Our dream candidate doesn’t just ‘fit’ our culture - they add something unique and enhance it.
Our team is seeking a Senior ALQ-99 “I” level Maintenance Instructor in the Whidbey Island, WA area. Anticipated start date for this role is Jan 2023.
Assignments will vary, but you will be responsible for providing the following professional services:",14d,
['Springfield Utility Board'],,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Springfield Utility Board is recruiting for an Applications Support Analyst 1 - 2
DIVISION: Management Information Services
REPORTS TO: Director of Management Information Services
STATUS/HOURS: Exempt / Non-Union / Full Time / M - F / 8:00 – 5:00
SALARY RANGE: $6,394.28 - $7,479.34/month (Range for Applications Support Analyst 1-2)
Position will start as an Applications Support Analyst 1 ($6,394.28/month)
POSTING DATE: Friday, November 4, 2022
CLOSING DATE: Friday, November 25, 2022 at 5:00 p.m.",7d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b4b9e58b31edf9bed549220&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3da26eae&cb=1668247443578&jobListingId=1008258531505&cpc=2CAED5C921A5F994&jrtk=3-0-1ghlkn7k2m6q7801-1ghlkn7kkh4f9800-51756668754933b7--6NYlbfkN0DTbNZ9V3NIiaccn5wSdTn9ZLpl0gEe8NWzXq_0hc7kzCpAZ9uDMkBd8eKlyfNyjoP9brWsDV797_mYgXk-X8XPvFxalp85n7LCIch1DraxDgFKBmZ0FKHYSqFiNySehVIKBZstNxwjkfXqmKgWB1SccMO6B9wcCh5iLjxHo_L10_HMzcb0uiQa6T2R7WkcIucJ4SpEestpMSrg5lyKVz9-ZFLujOQgLafY6twaVnklDvuznzfK4lAi6ltJMhd2f3_09FfSP8p9M6vIjYhs6rUgWmD8bP5BiGL5ScK2WtM4lNbhxiTH9qhslHhrn5ab79R2nUpAIgzHgkECrq5He7tYEzAmjYxGlJFB0Hp43isZbla0wApYGxdMutb9W9mGoss2-3JIqYvd0w7xoorPXAI7ffQcLs9BwxqtJXjq3OrX2RoPYvB3slJe5CYmHzlfofzt72rY1J50ws6eGoqQvfL42RyFe14qDsz_wJ1aISIm_Xen6oHpGiQj
"['Pacific Service Credit Union', '4.0']",http://www.pacificservice.org/,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Working for Pacific Service Credit Union

We put people first. That includes our members, our employees and the communities we serve. We hire energetic and enthusiastic people who want to work as part of our team.

What’s in it for you?

Health insurance coverage: We provide our employees with 100% premium employer-paid medical, dental, vision, disability and basic life insurance for full-time employees and a low monthly premium for eligible dependents.",30d,
"['UC Davis Health', '3.5']",http://www.ucop.edu/,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Department Description


IT Registry
The Data Center of Excellence Data Access and Delivery Team provide UC Davis Health with reports, visualizations, data extracts, and access to EMR data.
Job Summary
Final Filing Date
11/30/2022",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b4b9e58b31edf9bed549220&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dd3013c6&cb=1668247449307&jobListingId=1008158559993&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlkn7k2m6q7801-1ghlkn7kkh4f9800-7d329f48c23cac24--6NYlbfkN0Dme1ire5XGAR_OpkpKYBwkae0ngguLCmcvGnywcyDFcvnnjWrdNJ267LeeZjicdMhD6I2d1-V_jGXVx1Sb7bUHux5clJdI5K9keY6X_lO8NvTV-nEZ5jkvBL6fKkJhRW2LOm9jXJYfcepSV5fH3fv3PT-ZaX_xzp1NfMwIwHiz2dCcXfqvNb1qarym969fmf0w-qf-IJ-QB5pBEG43D_ThesCwLvK7hRCHGywowPyiCDqFDvAVXY5875F2nt_Oux0SCpqaNQdiZLhYh6j1PwCJ62ow-s9c-D_VSXwcu6HMcTEuf8r1qHH9C0S_mvsRQB_VzDq4I5ZW4TyNSir4IAjpk3vz-w61zuT-OrjmKWmJmiOrxsJT97D4XgCTHgxAF-3yaXOp-bYPWRBuLhIKLLlTygZvqKIqeRNrjYPCCdH1rnU1XPcno10ba9_2ipmoXi1s4F-Zl3yA7UCxe-egvXf2XxtUn_z19wAgZNnNsQ9mmaijdaa5XO3JtpfjQJiu5aqiDyQZpvVXGfemG8H2P4edxErA1_vVLFNCqD8bRAcTJ_BO5l8AbIhrJ4jaVMhqaEH_zavJ8oAzi-aEclZKhKK0DLlxqqgwq8B_hAfmJ01kveigA_1SdMi0fZJ-weBds92S1dOpAlIrLD0pT6y2-Fo6LDb5Y1c0lEZyHhWVyF3O_PFZK7189x_3WPI-wDvb5007EFQY8qztZSNLjDlYSGvC88AT_BEdRQMhHqo3ElaGqupaqkziAWRx
"['Pacific Service Credit Union', '4.0']",http://www.pacificservice.org/,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Working for Pacific Service Credit Union
We put people first. That includes our members, our employees and the communities we serve. We hire energetic and enthusiastic people who want to work as part of our team.

What’s in it for you?

Health insurance coverage: We provide our employees with 100% premium employer-paid medical, dental, vision, disability and basic life insurance for full-time employees and a low monthly premium for eligible dependents.
401k: We contribute 3% of your base salary to your 401k account regardless of whether you contribute or not. In addition, we match 75% of your contributions up to the first 3% of eligible compensation beginning after your first day of employment and up to 6% after three years of service.",30d+,
"['State of Colorado Job Opportunities', '3.6']",http://www.colorado.gov/,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Department Information
STATE OF COLORADO RESIDENCY REQUIRED: OPTION FOR REMOTE WORK IN STATE

NOTE: This announcement may be used to fill multiple openings.
This position is term-limited through March 31, 2024.

The Department of Health Care Policy & Financing (HCPF) oversees and operates Health First Colorado (Colorado's Medicaid Program), Child Health Plan Plus (CHP+), and other state public health programs for qualified Coloradans. Our mission is to improve health care equity, access and outcomes for the people we serve while saving Coloradans money on health care and driving value for Colorado.

We are committed to increasing the diversity of our staff and providing culturally responsive programs and services. Therefore, we encourage responses from people of diverse backgrounds and abilities.",10d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b4b9e58b31edf9bed549220&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cfaace8c&cb=1668247456242&jobListingId=1008251022559&jrtk=3-0-1ghlkn7k2m6q7801-1ghlkn7kkh4f9800-f69a72b353a242e2-
"['AZAD Technology Partners', '3.9']",http://www.azad.com/,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Join AZAD Technology Partners as an Operations Analyst and that will collaborate with Information Security and Compliance Subject Matter Experts and provide business process development and support aligned organizational goals, priorities, and any Key Strategic Initiatives (KSIs). This individual will focus on collecting and analyzing data, examining workflow, and developing information to support process analysis and decision-making framework for regulatory compliance and audit review.

The ideal candidate will possess the minimum qualifications:

A degree in Business Administration, Management, Organizational Development, Accounting, Engineering, Computer Science or a directly-related discipline is preferred.
With an applicable Bachelor's degree, 8 years of experience is required.",4d,
"['City of Pomona', '3.9']",http://www.ci.pomona.ca.us/,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Salary
$70,116.00 - $85,224.00 Annually
Location
Pomona, CA
Job Type
Full-Time
Department
Police
Job Number
22-MA/2
Closing
11/13/2022 6:00 PM Pacific",17d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b4b9e58b31edf9bed549220&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e3a4385a&cb=1668247462350&jobListingId=1008233757457&jrtk=3-0-1ghlkn7k2m6q7801-1ghlkn7kkh4f9800-28f397f5cecaa23d-
"['State of Colorado Job Opportunities', '3.6']",http://www.colorado.gov/,Senior Program Analyst - ALQ-99 SME,"Oak Harbor, WA",$100K - $125K (Employer est.),"Department Information


STATE OF COLORADO RESIDENCY REQUIRED: OPTION FOR REMOTE WORK IN STATE

NOTE: This announcement may be used to fill multiple openings.

The Department of Health Care Policy & Financing (HCPF) oversees and operates Health First Colorado (Colorado's Medicaid Program), Child Health Plan Plus (CHP+), and other state public health programs for qualified Coloradans. Our mission is to improve health care equity, access and outcomes for the people we serve while saving Coloradans money on health care and driving value for Colorado.

We are committed to increasing the diversity of our staff and providing culturally responsive programs and services. Therefore, we encourage responses from people of diverse backgrounds and abilities.",3d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b4b9e58b31edf9bed549220&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_35aaf3b7&cb=1668247465163&jobListingId=1008266042503&jrtk=3-0-1ghlkn7k2m6q7801-1ghlkn7kkh4f9800-82ec0382d1cf2d3e-
