Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Pasha Hawaii Holdings, LLC', '3.6']",http://www.pashagroup.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"About The Pasha Group
Serving customers since 1947, The Pasha Group is a family-owned diversified global logistics and transportation services company. The Pasha Group’s Mission is to be a leader in providing customized, cost-effective and profitable value-added services to the automotive, maritime, and relocation industries through the integration of Pasha’s network of global logistics entities and strategic partners. Our continuing investment in our employees, technology, facilities and equipment enhances our productivity, leading to increased quality and profitability, for Pasha and for our customers, whose satisfaction is fundamental to our business. Our name stands behind every move.
Why work at The Pasha Group?
Our culture fosters individual talent, mutual trust and lifelong learning. We support our people so they can master their career journeys, go further, reach higher, and realize their greatest potential.",18d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846ac74648a2ee8ce0e6659b79&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fd3114f4&cb=1668238763957&jobListingId=1008230624370&cpc=6193B0C32834B022&jrtk=3-0-1ghlcehjjm6rq801-1ghlcehk5i9iu800-4dae1e5d28a33c2c--6NYlbfkN0DzsXCk1Jwcl4WrsaDc5eOY791dNffNycdIBnOug35Y7Yez4QOcZEuXd9PAzUake3r5LVaIUzPhG2OouwfO6gqRoJq58jtNZu5SCmeZef01JSJ7aqYQbRpDoVeky9s_89aL1JasjxMPwso8bk5qBfC37LhkyqcesYKIgDGrgxufaW-qnVanmouLJHpxk6NjK1TR8aMQ4HqA-6mzZ1MKrL57cEt_jTVZnVEGY78BxAMvLB2ExGwba4Ke8I_emEIWw7sCY0sewVOE4D-M1vVO6nvnCBr5IxfoRBvLboIrx3OABNN8YQ_1r61b_nkmpaq1_U4vMUBdHX1d0ygN_RWO5mTZI2Sl05TYYTmi9eZyHEqK2e0Qx7pKs9qhq5xxE2iJaGiOgqPjr_PQdPsE6ATUIkXKVriOdYQfvJOsM5Zh1PkQjA945Rg-OeOqtnqjmA5q3AaYo2H78pmzeVTUJmN2T-0fbuOkFWvte9HhgND5-b6PrRmK2c52LXNy
['Reyes Holdings - Easy Apply'],,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Position Summary:
The ETL Architect is responsible for designing, developing, and supporting data ingestion and transformation solutions that will be utilized in reporting, analytics, or within other applications. The position will also perform data analysis, construct technical designs, communicate with team members and business stakeholders, and support existing data ingestion and transformation pipelines. This position will also coordinate and review the work activities of offshore development and support resources.
Position Responsibilities may include, but not limited to:
Responsible for the design, development, and support of data ingestion and transformation solutions.
Perform data analysis and create data models for peer review.",30d+,
"['Santander Holdings USA Inc', '3.6']",http://www.santandercareers.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Country: United States of America

WHAT YOU WILL BE DOING

The Associate Application Development is responsible for designing, developing, implementing and updating electronic data systems in accordance with the needs of the company. Activities include evaluating, scheduling and resourcing development projects, investigating user needs, writing, testing and maintaining computer programs, and preparing systems documentation. Executes technical plans, system analysis, detailed design specifications, development, unit and component testing.

Responsibilities:
Develops or modifies complex software that is optimized for performance.
Maintains software across multiple business units.
Develops high-profile, high-performance solutions using cutting edge technologies.
Contributes to application software reporting initiatives.

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


Bachelor's Degree in Computer Science, Software Engineering, or equivalent field


5-9 years Knowledge of Systems Development Lifecycle (SDLC).
5-9 years of relevant Business Intelligence and Reporting experience.
Demonstrated experience with SQL or BI reporting and knowledge of data extraction and manipulation.
Demonstrated working knowledge of tools for data analysis, such as SQL or Power Query and business intelligence products such as Power BI or Tableau.
Strong proficiency in Excel, Access, and SharePoint.
Experience using MS Power Platform (Power BI, Power Apps, and Power Automate).
Experience using data visualization tools (Excel, SAS Visual Analytics, Tableau, Power BI, Qlik, etc.).
Experience working with data warehousing.
Strong proficiency with database structures and reporting tools.
Experience with Agile Scrum (Daily Standup, Sprint Planning, and Sprint Retrospective meetings).
Experience with Waterfall and Agile project methodologies.


Able to analyze and resolve complex issues and problems in a sound and timely fashion.
Able to assimilate research data from a variety of sources, analyze, and recommend appropriate courses of action to take.
Able to build solid, effective working relationships with others.
Able to coach others in the development of their skills.
Able to constructively work under stress and pressure when faced with high workloads and deadlines. Able to design applications using new or existing methodologies.
Able to adjust readily to change and adapt as needed.
Able to express ideas clearly and convey necessary information.
Able to identify areas of risk/concern in area of responsibility.
Able to identify needs and opportunities and develop action plans.
Able to interact effectively with all levels of management.
Able to prepare/analyze appropriate reports and other business correspondence.
Able to think strategically and tactically.
Able to work independently with minimum supervision.
Possesses strong organizational and time management skills, driving tasks to completion.

At Santander, we value and respect differences in our workforce and strive to increase the diversity of our teams. We actively encourage everyone to apply.

Santander is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, genetics, disability, age, veteran status or any other characteristic protected by law.

Frequent Minimal physical effort such as sitting, standing and walking. Occasional moving and lifting equipment and furniture is required to support onsite and offsite meeting setup and teardown. Physically capable of lifting up to fifty pounds, able to bend, kneel, climb ladders.

Employer Rights: This job description does not list all of the job duties of the job. You may be asked by your supervisors or managers to perform other duties. You may be evaluated in part based upon your performance of the tasks listed in this job description. The employer has the right to revise this job description at any time. This job description is not a contract for employment and either you or the employer may terminate at any time for any reason.

#LI-PP1

Dorchester, Massachusetts, United States of America

Massachusetts-Dorchester

Santander Bank N.A.",2d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846ac74648a2ee8ce0e6659b79&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_09be8746&cb=1668238771837&jobListingId=1008268131331&cpc=FAE5E775D180B2FB&jrtk=3-0-1ghlcehjjm6rq801-1ghlcehk5i9iu800-b9741f9837363fb6--6NYlbfkN0DfLPOF3Q9sY2FxloGVGNTAdX268E8EDPBKA_kClzyeMM9JnjuVrOkRjuBHbmPRDE_8NMKcBF2BG77VEvHo_00mAARWUOcC__1d2V3q6OmJgYwHhEastE_D7jG4o-KNb7Isyg8kyUcAQZcRSoL8mA2Nl7U-Tytuh5TJaCNV6s6ujR-x5LYQRFyIqyrz6UKDKQWCKfXAE_eJdkSt7iQi-Vf2wZmzzG3mL3nxm6c3ynoOwSnMT8kyLc_p2QCf_78qz8_xvsO8kyKK-JwauEw326WSWUSNqPwjVSQKi1SJSdVCEP_pnQFfElUA1MISeMPuMXHmFEC9I_NONRYl3XR6moS4LPh9p_BXOJnqB5nqPHlcY7-XWliMp5c0TonPCO8jk4L-J_0WOnu9JdKlpIR5Zu2jG8LKiUDDLHkNtgqCXSzWYcYkz9MYOyvCAvUJsZjgVGDD-2CUDB-BAqb5AhZjsVkx
"['Santander Holdings USA Inc', '3.6']",http://www.santandercareers.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Miami, United States of America

WHAT YOU WILL BE DOING

Summary of Responsibilities:
QA Automation Engineer Associate is a senior level engineer on the QA team responsible for designing, developing, and maintaining automated & manual tests. Should understand business fundamentals on the assigned project, support team and ensure quality standards are maintained and best practices are demonstrated; have technical and communication skills to be able to lead and mentor junior test engineers.

Essential Job Functions:
Analyze the Requirements from BRD & FSD


At Santander, we value and respect differences in our workforce and strive to increase the diversity of our teams. We actively encourage everyone to apply.

Santander is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, genetics, disability, age, veteran status or any other characteristic protected by law.

Frequent Minimal physical effort such as sitting, standing and walking. Occasional moving and lifting equipment and furniture is required to support onsite and offsite meeting setup and teardown. Physically capable of lifting up to fifty pounds, able to bend, kneel, climb ladders.

Employer Rights: This job description does not list all of the job duties of the job. You may be asked by your supervisors or managers to perform other duties. You may be evaluated in part based upon your performance of the tasks listed in this job description. The employer has the right to revise this job description at any time. This job description is not a contract for employment and either you or the employer may terminate at any time for any reason. Bachelor of Science (BS) English

Miami, Florida, United States of America

Florida-Miami

Santander Consumer USA Inc.",15d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846ac74648a2ee8ce0e6659b79&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_01122c72&cb=1668238775745&jobListingId=1008239166243&cpc=4F748F1840550ABC&jrtk=3-0-1ghlcehjjm6rq801-1ghlcehk5i9iu800-fa8c96b71a4ab94d--6NYlbfkN0DfLPOF3Q9sY2FxloGVGNTAdX268E8EDPBKA_kClzyeMM9JnjuVrOkRjuBHbmPRDE-hCdkJwBtSebrg_paHJygEZxPZcJdULVic6v61C7caNVEpUtumZ97PIwrSDcxna9uYToKSNgsXIroCTEUYoTLNOjuPV2VKVY2rvPzo61ec8hAvjCj34dZnRBiKevbMn-UIb3O6MyvUZEE6uwrfudOi0KOvB7dXDfaBfqsiLmTvewLorxUBaWHpZEEKs6ZzrEspf8LFzZJRI3j22sH8rA9TfdiOpzLUPsairNuQr46cTlpHRf-JzJ-oOSdOz8QGlQ0ISPS2ukqAwNJDfbFCJTUMhnuoC9jkofN2_4NxBRr7heSAaUh6xmK3aPdImOjerInjVNqUI1vlm_Y81ZR0tk35IFMZ7lQNOgkQMBTkAHqxFLISOfqP9RBTxLfMSmIRRJAiD9rgqIR-KIcS4ZC6k3tA
"['Santander Holdings USA Inc', '3.6']",http://www.santandercareers.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Country: United States of America

WHAT YOU WILL BE DOING

The VP, Infrastructure Projects and Change Operations - Corporate & Investment Banking (CIB), leads and provides direction and guidance for a wide array of activities associated with project planning and management to ensure that all projects included in the Infrastructure annual book of work are completed on time, within budget and to client specifications. S/he manages and oversees the end to end project management activities such as project reporting, project planning, issue / risk identification and tracking, scope management, estimation, client management, relationship management and other project documentation preparation for projects of medium to high business complexity (involving multiple systems interfaces that are highly visible to the organization).

The incumbent directs and controls all work performed within the framework of the Work Structure. Manage, end to end, the all the projects included in the Infra annual book of work. Develops detailed project plans and schedules application/infrastructure projects, including goals, risks and resource allocation. Monitors project results for significant deviations. Manages vendor and client relations to ensure that service expectations are developed and met. Maintains regular contact with clients and coordinates and reports on project progress and accomplishments. May provide input for (project) team member performance appraisals. Works with all required Information Technology functions and groups to effectively plan and execute the project. May coordinate resources across organizational boundaries. Serves as a liaison between clients and internal technical groups to ensure delivery of projects on time, within budget, and to specification. Manages communication with the business at a detailed functional level and discusses/resolves issues. Manages client expectations and ensures project delivery in conformance with company software development life cycle methodologies.

Project that could we included in the infrastructure Book of Work are related with end user technologies, network, third party connections, obsolescence, technological efficiency projects, IT tools, public/private clouds, hardening enhancements, asset management, disaster recovery, back-ups and restores, operation migrations, Hardware, etc.

Job Description
Oversees, develops and analyzes policies and practices related to project management and the project management office. Develops, analyzes and oversees project quality assurance and resource allocation. Enhances program and project management capabilities and operational oversight. Develops, edits and executes project plans to manage the lifecycle and operational aspects of projects. Defines, develops and deploys standardized project management tools and templates to ensure projects are completed efficiently.

Manages and implements internal or external IT projects or programs with a defined start and end. Leads team members from various job families through a defined project life cycle. Plans, develops, coordinates and assists with project activities through all project phases (e.g., project planning, execution, communication, financial management and issues/risk mitigation). Allocates, obtains and manages resources and project management tools to achieve project objectives. Creates and implements assessment processes to enforce timely completion of projects in accordance with standards and requirements.


Develops detailed project plans and schedules application/infrastructure projects, works closely with business analysts, developers and QA to execute the project.
Manages the project lifecycle of the Infrastructure annual book of work.
Manages and resolves risks, issues and dependencies.
Leads and provides direction and guidance for a wide array of activities associated with project planning and management to ensure that projects are completed on time, within budget and to client specifications.
Manages and oversees the end to end project management activities such as project reporting, project planning, issue / risk identification and tracking, scope management, estimation, client management, relationship management and other project documentation preparation for projects of high business complexity (involving multiple systems interfaces that are highly visible to the organization).
Monitors project results for significant deviations and works collectively with Information Technology functions to address incidents and high priority defects.
Maintains regular contact with clients and coordinates and reports on project progress and accomplishments.
Manages client expectations and ensures project delivery in conformance with company software development life cycle (SDLC) methodologies.
Serves as a liaison between clients and internal technical groups to ensure delivery of projects on time, within budget, and to specification. Manages communication with the business at a detailed functional level and discusses/resolves issues.


To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


Bachelor's Degree or equivalent work experience in management information systems, computer science or equivalent.


Experience with technology or financial services industry is strongly preferred., 9-12 years


Ability to understand, analyze, and communicate technical designs, project issues, and project status is required.
Experience supporting customer facing, high-volume, mission critical applications strongly preferred.
Demonstrated ability to effectively manage project commitments to achieve quality solutions.
Demonstrated experience in CMDB, ServiceNow, obsolescence programs, compliance tools such as Ansible/Qualys, Datacenter networks and TPI inventories, OHE, etc.
Demonstrated ability to manage and lead project resources.
Proven ability to adhere to software project management best practices.
Demonstrated excellent written and verbal communications skills.
Ability to facilitate work groups with a high degree of professionalism, work ethic and integrity.
Ability to incorporate technical and business knowledge in the analysis of customer solutions.
Demonstrated ability to work productively with diverse teams.

Language
Fluent both in English and Spanish

At Santander, we value and respect differences in our workforce and strive to increase the diversity of our teams. We actively encourage everyone to apply.

Santander is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, genetics, disability, age, veteran status or any other characteristic protected by law.

Frequent Minimal physical effort such as sitting, standing and walking. Occasional moving and lifting equipment and furniture is required to support onsite and offsite meeting setup and teardown. Physically capable of lifting up to fifty pounds, able to bend, kneel, climb ladders.

Employer Rights: This job description does not list all of the job duties of the job. You may be asked by your supervisors or managers to perform other duties. You may be evaluated in part based upon your performance of the tasks listed in this job description. The employer has the right to revise this job description at any time. This job description is not a contract for employment and either you or the employer may terminate at any time for any reason.

The base annual salary range for this position is $130,000-$165,000. The exact compensation may vary based on skills, experience, training, licensure and certifications and location.

English

New York, New York, United States of America

New York-New York

NY Santander Investment Securities Inc.",10d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846ac74648a2ee8ce0e6659b79&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_eabc1b6b&cb=1668238779568&jobListingId=1008249946377&cpc=334ABAF5D42DC775&jrtk=3-0-1ghlcehjjm6rq801-1ghlcehk5i9iu800-a431151ed0826f11--6NYlbfkN0DfLPOF3Q9sY2FxloGVGNTAdX268E8EDPBKA_kClzyeMM9JnjuVrOkRjuBHbmPRDE_0YtC0qIf5kmzittEyIHYMP3Wh5UnSpfn1zU8jshH794bOO4B98XJ2_LlM1ZC2r4RImWAljGGfmEUv-iR-2nSlgp7LC6xvnGwhF9Ewgp9qIlqa511uz2jqL9LP-gNJ9CjqAekBN9y6TJxRLsgGX_wlf5-o475YQeyzSbXio9azmSXBDWiuQhJM2vz_W_PPIjNxJFagA7a_WAtsKn6HToL0NNE3KSkWAMadkpvZqYBx3bl5jIk2PxpZL_7mT8-b6ERY5g7O59TOHdsCxekf3J4HCgeNuUAMguXjgM_M-TWnXT_0x3mPLby5xIHc5CB4gYrX2FqdrFyBa-ivQiz-f3bO7ABXNTV_w7m1WIdj0HhcpUHCAV-0bMSx7OjbPzGoHTSAEPNq-MY71A%3D%3D
"['Elevate PFS Holdings', '4.2']",http://www.elevatepfs.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Elevate Patient Financial Solutions has an exciting career opportunity available as a Senior Software Developer.
The purpose of this position is to perform full stack Software/Web Development functions including: architect, design and develop new software/web applications, maintain critical business applications, enhance existing systems, perform unit and system testing, perform support and help desk tasks. The position is intended to work in Agile and collaborative DevOps environment. It also requires defining and adopting best practices for each of the software/web development functions.
Essential Duties and Responsibilities
Following best practices, develop Single-Page Web Applications with HTML5, Typescript, Aurelia",30d+,
"['TKC Holdings', '3.8']",http://www.tkcholdings.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Overview:
Are you looking for a career with premium benefits and the potential for growth?

At TKC Holdings, we’ve created something special, a better place to work and grow. Many employees start just expecting a paycheck but end up with a rewarding career. We provide exceptional training and a clear career path.
About This Position:
Lead architect in the design, development, and implementation of software to address new business requirements expressed by customers, including designing and developing the database structure to support software solutions and writing technical documentation describing the final solution, architecture, and design.
Analyze and estimate solutions complexity of software proposals in terms of amount of time, skills required, and recommended tools.


What You'll Need:
Benefits:
EEO Statement:",24h,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846ac74648a2ee8ce0e6659b79&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8f4e3e8f&cb=1668238786607&jobListingId=1008275144276&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlcehjjm6rq801-1ghlcehk5i9iu800-9321001a2cdd4f3e--6NYlbfkN0CHF777JMbBS31vyNRnw_BOjNTZPbhh6Ck66bbdRPxS2wci0_IInTm-nfyxvtj8s-CrW5y1T-rADFSnthcl4D8M3sk4xwiK7RtL-FjTEufPu1Jp6p6Didp0B4ueGw24yi2kJkNCOKJC-CfeVdnLaF8JFDGAb_N6bmYXOa_V18Jpq4D66DgO-bZJ8-_j9tCFxgPagxBshsk18awv6KjaKPSVDDHeeuk-6Cs5joqrey70LRlGMjLCa11ToFktEl223UVkEyX5AtjR8ITX1kB2QoRgoD2g_m_hMATixRCrafIHA1-4aaX6i6wIMALBFUczMflEQRG4-eev9kunttbeQ1U7H_oKUvTEV-uNvMAGsvVSGgUTzxruMYa8f305NzOCR9VK6aZvmalnIWe9BEJCpJus2ITrC2o7woxa7vOlDnxHmwuw20vGdQN2zNmUnJU2BnxmJ0oNRhtiWZ33ctdPup77dN5UkrEU0XtN-ynkBZfxTv3Rx-FeJVycJz73bJwNcs56Zn3zDQiyaPuKb9utgfkGF9DjOelnfmp-oeygOu09uFg0y44VLCbkwhXId65gBNkyvYdRdTxTas8nhZHU8_HjmW-8ijKSGCvRHToeNTSoUjkwSbR-ZOVsy4iterRtwMb7XfOoh6nIAVwiZWyW9U4ZRK1z4rF28rnlXX2M3Ks38I1RMa3HbnUuERmQWSSfeKucpPl4KijRex7C7G4a8bDqbAb3HbbyGH4EM9FJXnHMkJXsn5jrKu8_
"['Longevity Holdings, Inc', '3.9']",http://www.itm21st.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Job Posting
Position: Software Engineer
Location: Minneapolis, MN (remote)
ITM TwentyFirst is seeking a software engineer who has a genuine interest in learning, implementing and solving complex problems. Our ideal candidate is someone with three or more years of experience working on software applications. We need someone who can adapt quickly and add value to our fast paced, growing business and also someone who can contribute collaboratively within our software development team.
Through our suite of internal and external web applications, APIs and proprietary calculators we handle valuable information on behalf of our clients. The technologies we build allow us to scale the expertise we have established over more than a decade to effectively manage the massive datasets modern business leaders face. We value engineers who are excited about technology and how it can improve workflows, reduce resource consumption and be used to creatively solve problems. As a team, we strive to raise up engineers at all levels through mentorship, training opportunities, and challenging engineering problems that are beneficial to the company and our employees’ career goals.",22d,
"['Braviant Holdings', '4.6']",http://www.braviantholdings.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"At Braviant, we believe in hiring great talent and offering them the flexibility to achieve great results unbounded by geography. Braviant is offering a fully remote option for anyone in the U.S. who wants to join our team and help us grow. We also have an office space in the heart of downtown Chicago for those who prefer to get out of the house and collaborate with some colleagues in person.

Who we are:
Braviant is a leading provider of tech-enabled credit products that combines breakthrough technology and cutting-edge machine learning to transform how people access credit online. Our next-generation approach to lending reduces credit barriers and creates a Path to Prime to help millions of underbanked consumers build credit history, reduce their cost of borrowing, and take control of their personal finances. Braviant has been named multiple times to the Inc. 5000 list of fastest growing private companies and has been recognized as a Best Place to Work by Crain’s Chicago, BuiltIn Chicago and American Banker.",30d+,
"['Cayuse Holdings', '4.3']",http://www.nativehawaiianveterans.com/,Software Engineer,"San Rafael, CA",$125K - $150K (Employer est.),"Cayuse Commercial Services (CCS) delivers fresh solutions to business challenges in the technology and business services environment. Services available are application development, business process outsourcing, data services, and professional services. Cayuse helps clients to achieve impactful outcomes such as improved efficiency, reduced cost, increased profitability and accelerated time to market.
Required Qualifications:
This position is located on-site in Atlanta, GA. Must be willing to work on-site.
Bachelor's Degree, a Master's degree is preferred
7+ years of software and development experience in Java/J2EE in an Agile environment.
3+ years of strong 12 factor application development experience using REST API's",30d+,
