Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['TechSmith Corporation', '4.3']",http://www.techsmith.com/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"About TechSmith:
TechSmith is a software company in one of the fastest growing markets of video/tutorial training and communication. Our products have been named by G2 as the top in Screen Capture and Video Capture Software. Working at TechSmith gives you a chance to hone your skills in an open, collaborative, and innovative environment where you can be excited to come to work every single day. With great products and maybe even better people behind them, we are always looking for passionate, fun, and hardworking individuals who truly enjoy coming to work and doing what they love. Sounds like you? We’d love to chat.
Position Overview:
As a Software Engineer at TechSmith, you will work within an agile team, developing in a supportive, collaborative environment. Your work will directly impact our world-class products. You will have the time to advance your skills, as we dedicate entire sprints to innovation and make space for professional development year-round.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a5add6986bc022c2c5748d6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_aa6ad7e8&cb=1668231660391&jobListingId=1008094119527&cpc=F41FEAB56D215062&jrtk=3-0-1ghl5lnci24hn001-1ghl5lnd3ghqu800-d09cbbebf22d4ff8--6NYlbfkN0B0pNf9RvBD2gDGLcDV8gtbzMwraKClCy0uApU3wAQFAFuAYTcxMYweDW2Mo2Qe4XbgxAlwsaDIUJ3No5ROyk1WKvc-t0NgLN_pcEA_FqCYlZcTLxqrmQqj4FzQy-4ZsQv4bPBQz2y1gUyXQ8eO8aJZagYDA3zAbqQp0JjavF5hofnEKzBQNs35w0Bbdd0N9oXi-e67AxOczcmonCKlAIM2PFWQelswQCI-2r-I2uUC0QDEWJjDitg_aXDXGkqaEQpIJytaZGLv3XUCKAQPHnvSd0KaDVX0CWlK5br-o2H1m3O1sIqJd1ueFBTYdT8R-GL8G7i1Gi4FrQQEkqpuzqucKMv692g5M0VkHfh-iPXHEPwms7wxLocVG6oAopzNXG-NZUiqj4j6CqbCoi7r3w1jm16u5rGm90RT6GBpGf0HkTWwedYRl4Hz55G00PSBAkZKEmDlvbVbKlNWmIRv6UfUL-l4NOrkSB9s1fxZapW6429w6BpDGT8dwU3uFtUnQ0A%3D
"['Serva Health', '3.5']",http://www.servahealth.com/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Compensation: Depending on related experience and professional level
Location: Full-time in-office role at 1000 Bishops Gate Blvd, Mount Laurel, NJ 08054. Relocation assistance is available but not visa sponsorship. This is not a travel-heavy role (up to 5%).

Applicants must be eligible to work in the United States without the need for future sponsorship. We are not looking for contract (C2C) or consultant hires at this time.

Serva Health’s Benefits Offering:",3d,
"['Serva Health', '4.5']",http://www.hoopshr.com/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Compensation: Depending on related experience and professional level
Location: Full-time in-office role at 1000 Bishops Gate Blvd, Mount Laurel, NJ 08054. Relocation assistance is available but not visa sponsorship. This is not a travel-heavy role (up to 5%).

Applicants must be eligible to work in the United States without the need for future sponsorship. We are not looking for contract (C2C) or consultant hires at this time.

Serva Health’s Benefits Offering:",4d,
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"If you are a Software Engineer with experience in Metrology , Emerson has an opening for you! This position is based in our Marshalltown, Iowa location where you will provide functional analysis related to design, development, and implementation of software systems for the organizations products.
As a Metrology Engineer, you will be responsible for the following activities as part of the metrology firmware team:
Interpret industry standards (AGA, API, ASTM, ISO, etc) for calculation of flow and physical properties of oil and natural gas (e.g. AGA 3, ISO 5167, etc.) and attend industry conferences and participate in working groups for the development of such standards.
Implement calculations in embedded firmware for flow computers and remote telemetry units (RTUs) using C++.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846a5add6986bc022c2c5748d6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8aadcb3f&cb=1668231667136&jobListingId=1007991319921&jrtk=3-0-1ghl5lnci24hn001-1ghl5lnd3ghqu800-c2a12d94532bb995--6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdD_11uILkb3EmTaScldtNK2-WC7-C5DCDigjxlixf1vXJQPVvwl0WWcRngzQdPv809vnAS-Iu9h3jrmPoLBtxG5_fVcc566vwhRRdLa6v4997B_NwrxyrjYPO4YdpWG2OVrAQUCcvTKSOcRLJQS_PFdgrnNjiPdxp4F4uCI9ShPlEqc_ov7FiOwYMgQgRxVkIlYvclkTeX6u9dZz2EAxJfeqUxcmANf5HJEHiIMc-0eqH_jCuSODe0Xy_Q-CPs8onrrGSC58yeiEvy4nq3KTMQVGXKYV2Y9gFn0YW8Yd6WbFjcDUPsMGpovNGHOfDyZHR8_9STg6hdeeYygKp_eXBqr-w-7PsuohmpjCZ9Wz2xY75a8yuYhfeIjN7MaP2hHpT_sPj9X413rICAKL0EniEw0NxHj2vDWl0UF9ke1SwJtbRkGhVmdvhuObkHfvhFRNGnIXKb7BpSQO29iDhTWefo1PRxq4rvxASeSfZ7pWO4-rTacx5B-KfYHYXetwSPJtzXSjmAX97G_S6TMeCI2s-MQvltpKeugL4NHM1Zoh-rC9utEqjBNSjSGY6rwYuw2Oxg%3D
"['Sound Agriculture', '4.7']",http://www.sound.ag/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Why you should join us:
At Sound Agriculture, we believe our food system can nourish consumers, farming communities, and the planet. Through a deeper understanding of plant and microbial biology, we are leveraging the natural power of plants to make agriculture more agile and resilient. Our work focuses on developing nutrient efficiency products and modernizing plant breeding to improve the way we farm and the food we eat. Sound is a Series C startup funded by leading investors in food and agriculture such as Leaps by Bayer, Northpond Ventures, S2G Ventures, Fall Line Capital, Cultivian Sandbox Ventures, Cavallo Ventures and Syngenta Group Ventures.
What you'll do:
We are hiring a Senior Data Scientist to accelerate development of the methods, analyses, and digital workflows that comprise the heart of Sound's discovery engine for epigenetic traits and agronomic active ingredients. Come help refine the epigenetic methods we use to develop nutritious and resilient crops – far faster than gene editing – and help us optimize our discovery pipeline for active ingredients that sustainably improve crop performance. Our aim is to unleash the power of plants to create a more agile and resilient food system, and we've gotten a great start: our product SOURCE, already being used on more than 1 million acres, stimulates already-present soil microbes to fix nitrogen so that farmers need less synthetic fertilizer. We are saving grower costs, boosting yield, and making agriculture more sustainable.
The Senior Data Scientist will help grow the organization as a combination of a hands-on developer, data architect, and expert data science practitioner with authority to make strategic decisions and lead development. The Senior Data Scientist will design, develop, enhance, maintain, and use data architecture including cloud compute services, knowledge discovery platforms, and advanced experimental automation. We currently work across AWS services (S3, Nextflow, docker), on-site genomic data generation (Oxford Nanopore), SaaS LIMS, and ML models running on custom high performance computing, with increasing levels of automation and abstraction. We democratize analysis using custom microservices, jupyter notebooks, and stats/viz packages like JMP. This role will help determine what's next.
The Senior Data Scientist role reports to the Director, Data Science and will interact with functions across the company as a project and team lead. This role is a hybrid onsite position based in our Emeryville, CA headquarters.",10d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a5add6986bc022c2c5748d6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d0cbbaa1&cb=1668231670100&jobListingId=1008250612569&jrtk=3-0-1ghl5lnci24hn001-1ghl5lnd3ghqu800-baeab97c6a1472a1-
"['Hormel Foods', '3.7']",http://www.hormelfoods.com/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Staff Systems Engineer/Systems Engineer


Hormel Foods Corporation

To save time applying, Hormel Foods does not offer sponsorship of job applicants for employment-based visas for this position at this time.

ABOUT HORMEL FOODS - Inspired People. Inspired Food.™

Hormel Foods Corporation, based in Austin, Minn., is a global branded food company with over $11 billion in annual revenues across 75 countries worldwide. Its brands include Planters®, SKIPPY®, SPAM®, Hormel® Natural Choice®, Applegate®, Justin's®, Columbus®, Wholly®, Hormel® Black Label® and more than 30 other beloved brands. The company is a member of the S&P 500 Index and the S&P 500 Dividend Aristocrats, was named on the ""Global 2000 World's Best Employers"" list by Forbes magazine for three years, is one of Fortune magazine's most admired companies, has appeared on Corporate Responsibility Magazine's ""The 100 Best Corporate Citizens"" list for the 12 years, and has received numerous other awards and accolades for its corporate responsibility and community service efforts. The company lives by its purpose statement - Inspired People. Inspired Food.™ - to bring some of the world's most trusted and iconic brands to tables across the globe. For more information, visit www.hormelfoods.com and https://csr.hormelfoods.com/.



This position works on the Database and Middleware team with a primary focus on Microsoft SharePoint administration, architecture and deployment strategy. Additional job duties also include administration of purchased department and enterprise applications, middleware, and cloud solutions. The role will require working some nights and weekends to perform upgrades and installs during non-production hours as well as provide third level support.

Level of position will be determined based on previous experience and qualifications.





Required

Preferred

Flexible location. Remote arrangement available.

Hormel Foods offers an excellent benefits package. Competitive base salary plus bonus, annual merit increase performance reviews, medical, dental, vision, non-contributory pension, profit sharing, 401(k), stock purchase plan, relocation assistance, paid vacation.

Travel may be necessary 10% of the time

For immediate consideration, send apply online at: www.hormelfoods.com/careers",2d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a5add6986bc022c2c5748d6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_892ddd2e&cb=1668231672955&jobListingId=1008267836314&jrtk=3-0-1ghl5lnci24hn001-1ghl5lnd3ghqu800-8c603d36db2de9ee-
"['UNFI', '3.3']",http://www.unfi.com/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Who We Are
We're pioneers who every day deliver new choices that shape the foodscape. We discover what's next. Bold ideas and new possibilities that drive the industry. Better food. Better future. Our teams are a highly innovative group of talented professionals; laser-focused on making a difference and having fun while we do it.
At UNFI, we're inspired by the unexpected. We look at things like our unmatched distribution network and full-store assortment through a new lens. From gourmet and ethnic to fresh, prepared foods to specialty cheese - we cover everything in the store and your kitchen. Energizing tomorrow, guiding a healthier road ahead.
We believe that:",29d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a5add6986bc022c2c5748d6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1fbd9dd4&cb=1668231675819&jobListingId=1008205365928&jrtk=3-0-1ghl5lnci24hn001-1ghl5lnd3ghqu800-cac397881a4ebaab-
"['UNFI', '3.3']",http://www.unfi.com/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Who We Are
We're pioneers who every day deliver new choices that shape the foodscape. We discover what's next. Bold ideas and new possibilities that drive the industry. Better food. Better future. Our teams are a highly innovative group of talented professionals; laser-focused on making a difference and having fun while we do it.
At UNFI, we're inspired by the unexpected. We look at things like our unmatched distribution network and full-store assortment through a new lens. From gourmet and ethnic to fresh, prepared foods to specialty cheese - we cover everything in the store and your kitchen. Energizing tomorrow, guiding a healthier road ahead.
We believe that:
Freedom of food choice matters
Discovering what’s next keeps us vital",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a5add6986bc022c2c5748d6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8b4218a6&cb=1668231679804&jobListingId=1008169197768&jrtk=3-0-1ghl5lnci24hn001-1ghl5lnd3ghqu800-5e78958aa46dbb1b-
"['Sodexo', '3.4']",http://www.us.sodexo.com/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Unit Description:
As a natural problem-solver, you thrive on challenges.
You’re also an expert at implementing solutions.
Do you enjoy a high energy, fast paced environment?

Sodexo, a world leader in quality of life services, has an exciting new opening for a Senior Application Architect - Consultant to join our team. This is a remote position; candidates may reside anywhere within the United States.

This position is a critical member of the Retail System team with a primary emphasis on Sodexo’s Healthcare Patient Dining Application and required integrations. The ideal candidate will assume full ownership of the application managing all IT related activities. Working with the business, this individual will build out and execute the roadmap, document requirements, and complete writing workflows. Perform continuous gap analysis and provide recommendations. Perform trouble shooting. Create test and change plan documentation.









Position Summary:
Qualifications & Requirements:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a5add6986bc022c2c5748d6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_71fe56d2&cb=1668231687781&jobListingId=1007957818820&jrtk=3-0-1ghl5lnci24hn001-1ghl5lnd3ghqu800-9b0c1c82d2f38b70-
"['Amwell', '3.7']",http://www.savingcranes.org/,"Audio Software Engineer, Experienced - Hybrid or Full Remote from MI, FL, IL, NC, or TX",United States,$80K - $130K (Employer est.),"Company Description
Amwell is a leading telehealth platform in the United States and globally, connecting and enabling providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. Amwell believes that digital care delivery will transform healthcare. We offer a single, comprehensive platform to support all telehealth needs from urgent to acute and post-acute care, as well as chronic care management and healthy living. With over a decade of experience, Amwell powers telehealth solutions for over 150 health systems comprised of 2,000 hospitals and 55 health plan partners with over 36,000 employers, covering over 80 million lives.
Brief Overview:
We're looking for a Group Product Manager to help us deliver on our bold mission. If you want to change the way healthcare is delivered… if you've geeked out on the possibilities of telehealth or how the storm of new virtual care delivery models can transform the way patients receive care… if you're looking for an opportunity to build world-class enterprise telehealth products… then this is the job for you!",23d,
