Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['United States Steel', '3.6']",http://www.ussteel.com/,"Coated Products Automation Control Engineer, BRS",United States,,"U. S. Steel is committed to fostering an inclusive workplace culture and celebrate the diversity of our employees.
This position is an automation technician responsible for troubleshooting, improving, and maintaining the Level 1 Automation system in the Coated Products area of the Big River Steel facility.

1) Responsible for department wide overview of Level 01 PLCs, HMI systems, VF Drives for the Coating Area of Big River Steel.
2) Work directly with all maintenance and operations personnel in a fast paced environment to help develop a safety focused and productive Coated Products Team and support electrical teammates to help maintain a positive and efficient work environment.
3) Provide continuous improvement of operation and function of Automation Control Systems and the Assigned Process.
4) Perform Failure Analysis for Automation Control Systems of assigned process.
5) Train others in the Electrical Department on the function and maintenance of Automation Control Systems.
6) Support plant operations and work with the Quality/IT departments to help attain production goals.
7) Manage the design, development, implementation, and procurement of hardware and/or software for Automation Control improvement Projects and provide support for other disciplines’ projects.


1) Demonstrated safety focus and willingness to proactively apply it in a team environment.
2) Quality and detailed oriented with superior problem solving and communication skills.
3) Highly Motivated, self-directed, hands-on approach, and willing to put in extra hours or on-call support.
4) Minimum 5 years of automation experience in the metals industry.
5) Experience with server and network device configuration and maintenance.
6) Siemens S7 hardware and software using S7 CFC,SCT, SCT and other tools.
7) WinCC development, runtime, and redundant server and client applications.
8) Fluent with IBA Analyzer for Troubleshooting and adding signals.
9) Computer/Electrical Bachelor degree or equivalent training/experience is required.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b9e0af9b1627ec1b66146b9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c1338ab6&cb=1668252838361&jobListingId=1008023076477&jrtk=3-0-1ghlps2p8mbhi801-1ghlps2poi39u800-0e3b0e34f9d0ac97-
"['Ardent Eagle Solutions', '4.0']",http://www.ardenteaglesolutions.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"RESEARCH ANALYST/EVALUATOR I PARALEGAL
Ardent Eagle Solutions
Washington, DC
Contract Labor Category: RESEARCH ANALYST/EVALUATOR I PARALEGAL
Clearance: Current Public Trust Background Investigation
ABOUT US:
Ardent Eagle Solutions (AES) is a dynamic and growing small business supporting the Federal Government,",7d,
"['Northrop Grumman', '4.0']",http://www.northropgrumman.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Requisition ID: R10078168
Category: Engineering
Location: Chandler, Arizona, United States of America
Citizenship Required: United States Citizenship
Clearance Type: None
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 10% of the Time",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c36a2939&cb=1668252866291&jobListingId=1008152438083&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-20e500ccf680b821--6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL-Sh9PGJR7MUDokFPkx8KWx-y2FaHf1QzpdwXHGEnPDqhdrkNISDAS8YMQSSWt8CnL-J7fdsTxep-lFBXvhnCohFbzfd2hoeeruNjp8bVgsWnHMWBPmMYvJNQgBXZCkzHVnc8EgHo0V6etkXWIBm4Oevkt-YrisXHKOR09uHZefC0zKKGFQCpRiKJe-f6B1UNMHwLrYNS77PB70-zLHW0ZviLx9lzkInRijADGeOa4KyCQ2rcVFEINCBmX7CstNUo5c0-aANpnWPAh1sDAEE32-RG6t4Cnl2e2HpP_GbeItCd6dMQn3756EBFT8U1ngInIGU2bXyLNjpl-HwUYeUuZdcySEb0ElztYjqUbYcwgbg-9dOZUEBdXk3t9bi-Hary8dcrcw2I2lgIQzZ2yHnYTF5-CnyvT8xypD6kphrg0GNVviUB-h7O5D8TME2FqbiA9m1cZUDbGstomrq3514qgtys9N2MryaY-G_mMkYjr4p43UVMl5YxHoi-L_Q6Epx1DcdnZXkQh3jHMH_PUlXN4NWzN7YKFiRGTpeAB2Cpj6VZ4yloNQcklkIRoz7w1EWYsBr3AcPV_LjrjgbRXmYDza7PDbY5_JVzkdDb8_Ox8CXm6cU3_hh7n-jmuIjqG8rmek-ORDuEKjRy_sNNSQK-Ij3FL0wh5C209kQK_6vItGz_TJMHh0137uF6ACg6Af1kbQTA8yPQkRnSqnb35Xygobc0lO_lLlOuFqO5ODr9n8qJPdohTkZ3yc1X9k6FRFvKxhr5IuaHL8dWBL1H4Qdou-ZV_r-aNeu6T_djiwbgG5d
"['Northrop Grumman', '4.0']",http://www.northropgrumman.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Requisition ID: R10080331
Category: Engineering
Location: Oklahoma City, Oklahoma, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: Yes-May consider hybrid teleworking for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 10% of the Time",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2fb92d98&cb=1668252869370&jobListingId=1008273124933&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-fda57a20178ac493--6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL1Y8qrIFm8r4V_b1C--AHd3VvbHYY9xG0BDzzfJTUmVi0AtnQtC0ufG8cmKWf8HOrIIuXUxTVMKxky4uT3Hhp0zxQ_EvWG1rxgESt6F9H-6bYGKgyy1ziVQZh2gT-pRXC3rtGvz_JsdH3xVuJNlWTfJiilLv7fNsPPfr7Oc4cBfAt6sjoS9JI4KPU0wXf3v9lOozx2S3fQoYmHQ640A5rjbpFUyA2wM7s9mkqC17rFntTfrJMcJcVSH3V2D3rhQmytjle3AQFDhjUFPQhDwrOt_BlO2V_0MRIlSUm5iP9j4pWCh7SygM8hfmwbQ2yuJ6FWA2UpgCaaJbeZz8W1XRu_1GR1XBtp2UtOGY_9scOhDbUwtFMv-ft-iRcmYSz6fJBzH-cFmCDRTYtsU9tsxzP-9cnp371th3HNGAYwrc7cExPLDs4KBFSt731j-Rnt7g3BOpWWLewgv_tDazKniaghpgBrGiJHnLt_AwM2fMDFYsWyRkdHNMluz6MewG196uPE8dSvV0ZB2fZjMhOm2takVt9mljIdWmm3QzCynWHuMO7NF7FOEJFp44AT3nzdgl6O7CMaIosiuD7_aLce_dTdpejLZMi7JVSz1ICkunYyUDbRROjnGgUPJs0QrE_3XGNqLW_DF4Kd7uqkxc7SvWupQXJGcBs9WMhPdk0ps9Hqis3NCxmsE7LLCEXNmAy4wH2a_L1SBgiCbVx-qBoFrstrC2esdptLvq-jGdxziuWoL2wp3W_1qGOYijo62fWNb9n0nucyNIKaHS850D8HBPPJbD_kFW9TI-Sgp2lO154L4JsT7mQOc1A0_WXo5xyo0rGYqQMqON9FAPOLHPj2x1DokEQ0Y7xJZFRBk70_JSh0E_Hv5XtXoxQ6IDkl1yci4N9QPvFw_mIU28
"['Northrop Grumman', '4.0']",http://www.northropgrumman.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Requisition ID: R10074301
Category: Engineering
Location: Chandler, Arizona, United States of America
Citizenship Required: United States Citizenship
Clearance Type: None
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 10% of the Time",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c18f8071&cb=1668252872167&jobListingId=1006804394648&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-d3e9c96e5d4f836e--6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL-Sh9PGJR7MUDokFPkx8KWyOtY2n7qaFBNYpCW0H_vW4Hq3o5jdpCIk7kdNl8qzRJfxUvvG40rH09Ws_0764k1MvvHEd_u-OGlr52BS9Li2lU8sapeS_0aFXfVGv6OFjsPJVNrQxlZChZLMPahvyVVK_5-QtLHtoO8DbqDvUwYa2lTz2qFDLB_AKFdS3jadkQygKsKhEWN7EFHI0HwFdh61AB0OYShaAWXijzNz5KefXx7y6hl1BMjfa6XoeYZTBVWQQlsKJes_uGieDJD7fp85lETve7CG7SMO6O98KMw24mZVVk-kZyLry4PRHFicADWDyh5K2UZOi74FCRxAQviUki9cP2Z0PIjpp9g6ib6PpfL7zLacls7w28eutOD3c3Re1xgrh-vqBZqRt26Qyq8IXpRBNguBw_TGkKQV7xBWz2pDmZ1dVxNDZc2P60RNiitLW8UsQNvM2aT6IwBVw0ko2oGa5EMGFcypBD_W8PrTsnTbfG3CWLddizFiWwNJJA2Xc1sqBdn2pLlrXUoHDs7m31zKPzlLAmy8wWgszT_e_m_2zoGmIJOF7I5qLJAVrrl-cS-D4ngBrybrDQYytEwStdJ0hbATaejyo5xQ5rkleu8kuSHGcb9G8SEMISIc6-jWOKdMCvNzvccVPCOd7-BvqiDnSdsGApDOphcuD3DqIKFVubBE9KSRXrg6F9qGXlMJemLX99sIKCkutV8QLVbaFn8_TkUwJI521FEraCX_JGp7Jxt73MpvmEFHV81g9rw%3D%3D
"['Peabody Energy', '3.4']",http://www.peabodyenergy.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Network Operations Analyst

Short description:
Peabody is currently seeking a Network Operations Analyst at our St. Louis, MO Headquarters.

About the role:
Reporting to the Sr Manager, IT Services. The Network Operations Analyst is responsible for responsible for managing the technical operation of Peabody’s production network as well as developing tools and processes to improve network performance. Operate as a direct point of collaboration between Level 1 Managed NOC and Level 3/4 Network Engineering groups. Drive operational focus as it pertains to Peabody’s network components. Oversee Service Management activities and ensure continued process improvement and that SLAs are adhered to.",11d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_37cfde04&cb=1668252874091&jobListingId=1008247121262&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-5d03ef2a985b5a84-
['Ardent Ragle Solutions'],,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Overview:
BACKGROUND AND PURPOSE:
In 2017, the Department of Commerce (DOC) was asked to conduct an investigation into the impact on our national security from imports of steel mill products and from imports of wrought and unwrought aluminum. These investigations were carried out under Section 232 of the Trade Expansion Act of 1962, as amended. On January 11, 2018, the DOC formally submitted to President Trump the results of the investigation. On March 8, 2018 President Trump announced Presidential Proclamations 9704 and 9705 ordering Section 232 tariffs on imports of steel and aluminum. The Secretary of Commerce has the authority to grant exclusions from the duties, “if the steel or aluminum articles are determined not to be in a sufficient and reasonable available amount or of a satisfactory quality or based upon specific national security considerations.” Individuals or organizations using steel articles in business activities or supplying steel to users in the U.S. may submit exclusion requests with respect to the Proclamation. In addition, any individual or organization in the U.S. can file objections to exclusions. The DOC’s Bureau of Industry and Security (BIS) has the lead on national security analysis. The Enforcement and Compliance (E&C) unit of the DOC’s International Trade Administration is responsible for providing technical analyses for product exclusions related to the proceedings and submitting a recommendation to BIS on whether the technical merits of the request and objections warrant approving or denying the exclusion request. Currently, E&C does not have sufficient staff resources with the expertise required to evaluate the exclusion requests and objections to requests. Information on the exclusion procedures can be found here: https://www.bis.doc.gov/index.php/232-steel


Responsibilities:
Qualifications:",2d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_84d02302&cb=1668252877131&jobListingId=1008268502075&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-4f93cac7ca07f46b-
"['US Library of Congress', '3.4']",http://www.loc.gov/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Duties
The Research Manager leads the Transportation and Industry Analysis Section on issues include transportation and industry policy and implications in key areas including institutional, economic, and regulatory issues related to transportation and transportation infrastructure issues, industrial market structure and regulation, and sector-specific analysis of industries ranging from steel manufacturing to music streaming.
Duties include:
Ensures that the work results in objective, authoritative analysis with which the Congress can assess the consequences of legislative/policy options;
Proactively establishing relationships with committees of jurisdiction, building long-term relationships with clients, and taking initiative to seek out new congressional contacts for CRS;",3d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5a23d4d8&cb=1668252878840&jobListingId=1008265485699&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-ab75e827ca591189-
"['Peabody Energy', '3.4']",http://www.peabodyenergy.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"SAP Business Analyst Sales & Distribution

Short description:
Peabody is currently seeking a SAP Business Analyst Sales & Distribution at our St. Louis, MO Headquaters

About the role:
Reporting to the Senior Manager, Finance & Marketing Applications. The SAP Senior Business Analyst is responsible for providing functional support for SAP Sales & Distribution at Peabody. As a member of the team, this person will work closely with end users in the US and Australia on support issues, enhancement requests and projects. This is a global role in the areas of SAP Sales & Distribution including Coal Trade applications.",11d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c44db335&cb=1668252881881&jobListingId=1008247119556&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-60ec37d1e9d467c0-
"['Zekelman Industries', '3.7']",https://www.zekelman.com/,Research Analyst - Paralegal - 2022-1084,"Washington, DC",$55K - $84K (Glassdoor est.),"Job Description:

Do you want to work for a stable, growing organization that reaches back more than 130 years? Our steel tube and pipe products have helped build landmarks and buildings in North America; Come build your career at Zekelman Industries!
Zekelman Industries Inc. is seeking a highly motivated Senior Applications Analyst to join our SAP Support Center (SSC) team at our corporate headquarters in Chicago. The candidate will report to SAP Support Manager and must bear a strong SAP Application Support and Consulting expertise to gain the exceptional customer support experience. Primary activities include triaging and resolving of production tickets for our SAP end users in multiple SAP ECC 6.0 instances across multiple business units and functions. This is a permanent direct hire role, and desired candidate will have a demonstrated mastery in SAP Sales & Distribution, and Logistic Execution area.",23d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b9e606392d4104ed1ebec6f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8938e640&cb=1668252883795&jobListingId=1008220734965&jrtk=3-0-1ghlpso54mbhi801-1ghlpso5og2ec800-166af757e687f99b-
