Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

You’ll enjoy the flexibility to work remotely * from anywhere within the U.S. as you take on some tough challenges.",6d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d0c1ec88&cb=1668219077426&jobListingId=1008259232370&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-de2f26af262a8ff4--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FOycHcR50Ta-CQORLM6vDVcc2tQexU_Qx1yS0Fjs6RiWCmFTG-usD9eOFcAjSC-kAlAnD1x_QLiQ9c9PV5BGue5uERAXuSFYfZmesKt23CjNvklfNJEsttchQixhNE511JlXmCC_lhCyH8jgsAlgJdaSejcNOm816Pbg_ZnPPq1ly7CzVLeOKX59hS1gwj91bEWAlmCoEQwoq8Z3PXndDGjbyYPhpq9TY7TBdL9FZ4iSkqpPWXZ5VaLYGeSTIqhzAKmQ8fayCT6RULzryQVBi1pm3yiaN4uPoba7sNP39CDj7YKzOFg8VySs2ZWna7FnM9wuzJPDOu9mzfJyvGTO6hwU-WUDM89Vzjh8C-8m_l1RVQCk8VcvTyJMed8lbLERdhBh5t12lBol
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

You’ll enjoy the flexibility to work remotely * from anywhere within the U.S. as you take on some tough challenges.

Primary Responsibilities:

As an Engineering Leader you will lead, inspire and manage a team of world class software engineers",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1e662b55&cb=1668219084324&jobListingId=1008261919836&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-0b803d9153c8842c--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FHZnh79vXwAKgfp2bL6zrIb9yYTt2Rs03yarDroXakaJzUPTaPWvcAvfuRa_pGPYv7eCE0_w_eTwNyieP9jGQvhmNBizjh81s1gPg92wQbSqGIgH4l6_9aSBWFFKUdS36X2I2XoHuokaOXgn8mHflwbbD9mu4HxAiM4uut7cIwjwiLuMOi9byc4BuI3_KBGEWRD1D2iBcrGajTQTkTm2XXu3uSCXLdwG9RSX6STViArhhtQ3TgTliRTFbf9BRiPFzuO8CxvjKOfjFyjLKYuizB9xFma4nggUKP5UuItuVrgvXN-1CDZDFAp20IZdV-HL0-D0hMqamsEAWCbWgjBsdCRwGX5wcz2WHZteBjfoFBmCE68KZraO0bXElYGOBC9NKk6L2N_uo1Os
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

As a Software Engineer, you will be responsible for executing the technical initiatives our product counterparts. You will be hands on and involved in the delivery of key product initiatives for the OnePass product. The OnePass team delivers a health product that tailors to the individual's needs, enabling users to take charge and make the most of their fitness experience. Working within a team comprised of diverse skills, you will build engaging user interfaces and develop internally used tools to deliver content across several web platforms.",4d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_318cb0d1&cb=1668219088190&jobListingId=1008261919761&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-0ae1c4b0e46fd5da--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FHZnh79vXwAKgfp2bL6zrIb9yYTt2Rs03yIValGRtooYsm-YW3GhAeGuQ-SbI7q5Rwd5cvZOjDydOtJtUab2ZtX1uCR7E5NtFzyuPgV-7EpJkbsy-yVz0w_MBJSSmXU6h8iMM1bxMPRPUaUKjGQLegytc8UXSn9rlWY8l5q4mcXSj4hWqdo5MnCBTEKpJHa8W1bWlA6VS80gqQkY0vN53uzfDZDWuJsXTHhh_tOGLKEbE-qsUdG7xYmoJr6H9TBBxTOvbfdi8zUJC4tzTfFXmUU8B3VEYd_ONmJMNvUR2BFRmlMcpD-HDw_j4jUvPyAvPUnGJZ3Px_8KzF8TK1XtshXWFhz5fv0EV5Euzi4q5tmXS-xCkVggs5CSPWFcb5wGZRomXfJlKkU2
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

As a Software Engineer, you will be responsible for executing the technical initiatives our product counterparts. You will be hands on and involved in the delivery of key product initiatives for the OnePass product. The OnePass team delivers a health product that tailors to the individual's needs, enabling users to take charge and make the most of their fitness experience. Working within a team comprised of diverse skills, you will build engaging user interfaces and develop internally used tools to deliver content across several web platforms.",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c7228add&cb=1668219091071&jobListingId=1008261919862&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-5dd762b6445b2534--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FHZnh79vXwAKgfp2bL6zrIb9yYTt2Rs036Z8kajTdxv-p5DEs9KV8QjbhjVBEFyNkKlvAmD99oq-QNbNcLw2aNfKxJTiv79lzCFuu35M51NYTZ3tbFuxkaGrITyqoVasTchw3Qh2gLU8hTZCglUE7-LfrJ-zfNz5GIjqWXhKkiYci_NdTtimGRy_vXVeVuFPhz5oPnDRFEWg31HrL3sCbYE_HoE2PZSHkdBSJH0QcJN7lk9k9YQru99N8GBfkNhe06mnW7n1G3vxFHL-PTZudwuEKNoZLMcnVgUO53OpiTw-Un_1Q4AneF5tDEzgtZZFIL2dVwpuMp7n0mmdTZ8mwgbtFKHPhjsi-lZ0egPO-XE6Vrb5qKZzJyWfm_US2h68KxlApIySl03J
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

The health solutions marketplace is hungry for new ideas, innovative products and software that drives elevated performance for the business and the customer. The UnitedHealth Group family of businesses is feeding incredible solutions to that marketplace every day by bringing out the best in our software engineering teams. We serve customers across the health system. Not only do we have more of them every day, we also have more technology, greater data resources and far broader expertise than any competitor anywhere. We're out to change the way our businesses and consumers engage with technology. If you're in, you'll be challenged like never before. It's time to join this history making.",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5bf06ef4&cb=1668219093026&jobListingId=1008267917950&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-a33d24ecdbc010bd--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FHZnh79vXwAKgfp2bL6zrIZNW7KkZ2k4516OMajFomnAaXObXcWJWKkO0dWaufeljMZT-XGP8pXk3qVNdFwJEB9KKX3w2-Wx-ltvdFkBI_cN6kykhBr-7e9_P0xbWgOOyCDYniAEx7pzi_rn3vzXutGJnlYgzBm7wKRweLO6GMQb1CgTY_lI4HIdE7CvjstKfXvWu6X1pKBbSLlulSjK_Qj0M_y1JhW26nDYaqM_wiutjL57kHuMHlWZDYdrPFE5rKK2CXG2PGQpXiZp2zwgMCY24HTn4aXra20xPuzHXz8TYPI722JNo9q1Ijvv-nGS25HW2oqmRdrYyQLGnRgY7ZmWhgGltXJdw1ozAoYs3KAIt5uLKxVTLzEY2r4hPmdLjGcAdcPmzoLj
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

You’ll enjoy the flexibility to work remotely from anywhere within the U.S. as you take on some tough challenges.

Primary Responsibilities:

Demonstrates ability to quickly learn and appropriately apply new technologies to solve engineering",3d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7508fb3e&cb=1668219095870&jobListingId=1008265372972&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-51c0ddf517d0113f--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FHZnh79vXwAKgfp2bL6zrIZRsZRaC2HjBnEWU8K_QGaIIdU7DSAkJpVsAfS9uOvndNbw2eIDpgHCShTxTl5lSVJiGn34gQOl-h2PvUxKin046li79ssDwxd_oqlO7qu4wzzpPMmqJo166NbvWnshlc5-G8Uo9CVD-BB9HBckluFh4BZLxza6jocabQzWoAJizcvHbVRZ5v2BDgJSFqevqm4czMGakWShCHQY_FdAOzu6T7gEhfZ3PDm42mTq_C1uyTCgW0K_RY0z6kZGhNJuJq_UHyU3ZGFPP-Xlnwi3Ybd5Vd37nyvDlqz8GWNVaqKjZ0B1QEHSaQXj2blntBgd5WFDiCQO2htTXkzncIblgccw292fmVnQ-hLJOUOFQxZoIrr8MvkXrMrj
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

You’ll enjoy the flexibility to work remotely from anywhere within the U.S. as you take on some tough challenges.

Primary Responsibilities:

Demonstrates ability to quickly learn and appropriately apply new technologies to solve engineering",3d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_186ffe7b&cb=1668219099609&jobListingId=1008265372949&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-999f944c451cb4be--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FHZnh79vXwAKgfp2bL6zrIZRsZRaC2HjBrRhWRGfqFGIZEMRR1qvZBq4hgE25a2S8AQlSB-BOQ-GxkJ0AhVIiU55YbwRRi9HZ81N1oLD4_5W3wAEcGZ3q1mkOH93gvnfX7t4NbChZJhTzlFHz0CYomMmwIwd7PPPdxHA3SWnfD7__HrCFH21o-3vgNiTx4FS8793qzUE0aOsGJqZ8Rp_htzuaQZeIjbhcLJmzKBZMzIBaIH79Goqb3_kgSQBURhW_wV6oSbCuJhZw9GLd5nQgZoQBrBAEJdaR2cP7_hnpvbVzgPrZ8oATThpDTJReHaonu9ATo77OOiMjDEa8Ia5ur2vPR7WmqsiGbYii1qugsgl4bpsM2sYePMpbSf-IKoPWaxqpaSxNHNh
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.

Primary Responsibilities:

Actively involved in hands on development using Core Java technologies, using Spring Boot framework, Jenkins pipelines and Cloud enabling with API’s",2d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c2728e0b&cb=1668219101743&jobListingId=1008267918250&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-52d3e2a1f440ebd8--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FHZnh79vXwAKgfp2bL6zrIZNW7KkZ2k458pTTGynZoe3O4oxGvJDDSxFaujRCo5FU3IUaZ9fgCjMz8ItqiFVJCXpssAyUn2gU5EIHx8LC-YNiq63YDzSUPrrA-xB_dmCjO8hb4j36ykAYtUhChKaKfvFGwPlWuIkisp5bmRgZPpznv7KD1LI9eBSlfjy2MP9ypMJlMaaDpsokSVxsvCsGchbZYOh9IG2sYjEJ1tWTAtnOZARSaiR8pIVKyRUxWll7V2WVWHWPIQtSc_gXjj7zsHMynHHauvux1CZxmKf9pf0TNA4Xq8rjfXCA-fgK3jgnG3YIIMKAXAzcIRisxE9ad8U7FQlzNbksNSUsCG9AsiUW2FCBKnDg3KVxzNnY94Hvfi18YbAnahc
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Surest™, a UnitedHealthcare Company, (formerly Bind) provides a new approach to health benefits designed to make it easier and more affordable for people to access health care services. Our innovative company is part tech start-up, part ground-breaking service delivery-changing the way benefits serve customers and consumers to deliver meaningful results and better outcomes (and we have just begun). We understand our members and employers alike desire a user-friendly, intuitive experience that puts people in control when it comes to the choices they make and the costs they pay for medical care. At Surest, we pride ourselves in our ability to make a difference, and with the backing of our parent company, UnitedHealthcare, we can operate in the best of both worlds-the culture and pace of an innovative start-up with big company support and stability. Come join the Surest team and help us design and deliver a cutting-edge health benefit that changes the face of health care.

The Senior Software Engineer in Quality Engineering will work within Bind’s Platform to write automated tests (functional, system, integration, unit, performance, security, data integrity) to ensure a secure, performant, functional software platform.",24h,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bb56e935&cb=1668219105299&jobListingId=1008274297906&cpc=451933188B21919D&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-f81e857b5a8bf57a--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FMAvYeXKDPN-nfF3PqegTJW0JLZlkznciwPiVbkm4nikNe2ilLqaYKKhDL6pP2AeRw2vKb9XYJ3pykTQlbFkaZH_p9qEPNS_EX2uL9-P2v7nwfId3QDnb2TTWEuqJdx8bM26MdnBeoUOfbmqDnpQsRvdzPju0tvvNttsAjg6wCODIcMveehJF77IRhFDvaF-oi7j7wHVsbeIdWEZppQ41EUl1rHeDHJ2h9eSzjvwTl4Qdy5rH6Hhwg6maXCtB5Xrs-LjD5bXon4nPKNmdtFvgnYLpxOymnox_4wSfp3GbgYbIblqNr39pWQRJBYtRlnFhWuAY4ffLaFs6X_JxJcXbNuxXLMaq_wp0FZRU6wxFMxBXzcZkuQ6Pup9AWZzhG3jMw-zRcDY06l3KuGeRjJuIq4%3D
,http://www.unitedhealthgroup.com/,Software Engineer - Web Applications - Remote,"Eden Prairie, MN",$80K - $105K (Glassdoor est.),"Careers with Optum. We built an entire organization around one giant objective; make the health system work better for everyone. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on an elite team. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.(sm)

You will enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.",24h,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000184699afb70b9033d0fefc324ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_20ca11f8&cb=1668219107194&jobListingId=1008274297646&cpc=8795CF9063CD573D&jrtk=3-0-1ghkpluvi2ap5001-1ghkplv05h4f9800-3f6896dfbe38970a--6NYlbfkN0C8O9VKdOj_1Zh75e9_CvYhSsWVxS1Pvi5WUWhsf4w7FOycHcR50Ta-CQORLM6vDVeYgCDnDJeOcvlsJByVSnD3aKi4b1XzUWzRkODHm2U2usHxCvAR7kbA49W151KxL9rOjzkaVVjZ0wMoh9lXM46F2eN-6WIvTaV0CJbpdUxUSlZ00ne6XjfzAB_voAR38VBUUd0Ac5MjVj3F7KiE4t41tA2y7-NOtEI7CobB0uoa6FJHIjFtgjnzuoZ5iY6nwnoY1_LzxVfpCOZQqXzxoTrVtUp9fkSQpFNTSHmkFWz-JJSNQpkHcf8-ex9b523n93sTMN8STwvZUzCA2xNGUulnlr0lGB4i0us2IHpSyDkPRIRvdcyW-nJsHBNk-sbs0sFGLYx4qT_2fwYeSBuZRck2XCnJNd5fePnonZuS6VxVx6lPEJmik4Ii
