Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['Lofty'],,Software Engineer,Remote,$80K - $90K (Employer est.),"Description
If you like an exciting remote workplace with passionate client-success-focused doers who deliver quality work to help our clients succeed, then this is the job for you. To be considered for this position, please apply at www.hirelofty.com; your resume will not be considered if you apply through Indeed.
We are looking for a trustworthy, focused, communicative team member to help us grow our engineering team. This position will be responsible for developing high end software products working in agile teams on behalf of our clients. Lofty is a consultancy that builds data heavy applications for customers in the Engineering, Agriculture, and Energy industries.
About Lofty",24h,
"['Akytech Consulting LLC', '2.9']",http://akytechconsulting.com/,Software Engineer,Remote,$80K - $90K (Employer est.),"Title:: Senior System Engineer/Web Developer
Client:: ATIS
Job Type:: Full Time (Initial Remote)
Location:: Fort Eustis, VA
Full-Time Senior Software Engineer to support the ATIS mission in Fort Eustis, VA, to develop and maintain Java and NodeJS web applications. Our software engineers work closely with our project managers and other development team members to analyze requirements and develop solutions in an Agile scrum environment.
Essential Duties, Responsibilities, and Requirements:",30d+,
"['Smithsonian Astrophysical Observatory', '3.7']",http://cfa-www.harvard.edu/sao,Software Engineer,Remote,$80K - $90K (Employer est.),"Science Software Developer (IT Specialist)
Chandra X-ray Telescope Data System
(2 positions: 1 Algorithm focus/1 UI-tools focus)
This is an opportunity with the Data Systems division of the Chandra X-ray Center, which is part of the High Energy Astrophysics Division of the Smithsonian Astrophysical Observatory in Cambridge MA. One of NASA’s Great Observatories, the Chandra X-ray telescope has been observing for over 20 years and continues to have a positive impact on the scientific understanding of the universe. We seek 2 software developers to contribute to the continued success of the mission.
Join the Chandra X-ray Center and become part of the team working to support and maintain the science tools and user interfaces of the Data system software development group. Each individual will work with the existing software development team to extend system capabilities in response to operational and scientific requests, design and implement new algorithms and or user interfaces in collaboration with scientists, maintain existing tools through system upgrades and migrations, and support the software system through all phases of the software development cycle.",18d,
['10X Health System'],,Software Engineer,Remote,$80K - $90K (Employer est.),"POSITION SUMMARY
The Director of Technology will streamline the deployment of critical systems that will transform and automate 10X Health’s processes. The role will serve as the lead architect for our Technology team. The ideal candidate will have at least 3 years’ experience in designing and implementing new systems, and work alongside the Operations team to ensure a smooth transition and anticipate any potential roadblocks. The Director of Technology will have the opportunity to recruit and develop an engineering team. This position is challenging due to the highly-regulated nature of healthcare, and more specifically high-volume, e-commerce focused nature of a Grant Cardone business. Selling healthcare services to groups of tens-of-thousands of physical, in-person customers or virtually to millions of Grant’s followers poses really unique challenges to a healthcare technology health stack.",4d,
['NS804'],http://www.ns804.com/,Software Engineer,Remote,$80K - $90K (Employer est.),"NS804 is looking for an experienced Full Stack Engineer who loves working with the latest technologies. You’ll join one of the top custom Software Development Companies in Virginia, where you can expand your skill set and take on new challenges. We are a small team that thrives on daily challenges and enjoys tackling complex problems. We have a heavy focus on native mobile app development along with our web-based platforms.
What you'll do
Push tech daily.
Keep up to date with best practices in programming.
Always learn
Deploy proper Q/A procedures and practices.",8d,
"['Clarity Ventures', '3.8']",http://www.clarity-ventures.com/,Software Engineer,Remote,$80K - $90K (Employer est.),"Do you want to be a part of something big? Are you a creative Web Developer? Do you operate well in a fun, high-energy environment? Are you a Team Player? Clarity is a profitable, growing business with customers ranging from small businesses to billion-dollar enterprises. If you are passionate about developing and designing websites, then we want to hear from you!
Responsibilities
Clarity is seeking a Front-End Web Developer who will be responsible for developing and updating dynamic web sites for our clients. You'll be joining a team that is creative, focused on results, and works together to achieve goals. This team member is responsible for working with our marketing team to enable and deliver on progressive improvements to our corporate marketing presence. Being that we're a web development company by trade, you'll learn from the best in the class and benefit from senior developers who you can work with and learn from while taking responsibility for and owning much of the corporate marketing site work directly as you grow. This includes implementing HTML, CSS/SCSS, JavaScript, some light C# (full stack/back-end) as well as assisting in QA testing and the actual deployment of our marketing site updates.",30d+,
"['Trinity Solar Careers', '3.8']",http://www.trinity-solar.com/,Software Engineer,Remote,$80K - $90K (Employer est.),"The Software Developer will be responsible for developing, testing, documenting, and maintaining new and existing applications to support the Business. He or she will develop back-end components, connect the application to other web services and assist front-end developers to ensure integration with the application.
Job Category: Entry to senior level positions available.
Work locations: In office, remote, hybrid schedules available.
Salary Range: $60,000 - $200,000 commensurate with experience and education.
Roles & Responsibilities
Responsible for writing structured, clean, reusable, and testable code using Python.
Will implement well-designed, high-performance applications for the server-side.",30d+,
"['EAI Technologies', '4.4']",http://www.eaiti.com/,Software Engineer,Remote,$80K - $90K (Employer est.),"Discover the feelings of Camaraderie and Family while being technically challenged to grow!

Responsibilities:

Design and develop dynamic Enterprise Web and Mobile applications Cyber Security, Supply Chain/Logistics, or Finance for a variety of clients like Verizon, Capital One, and Cardinal Health in small teams. Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of your work on a daily basis.

Desired Skills/Traits:
Computer Science, Math, or Engineering fundamentals.
Proficiency or ability to quickly learn JavaScript, APIs, SQL/NoSQL, and New Technologies.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846ab90190ab154c2113d8a441&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b23c9607&cb=1668237847819&jobListingId=1008014763929&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlbi0e2khp8801-1ghlbi0eli6hj800-0860149dd6858c35--6NYlbfkN0BkyVyI3uzmcA9Hk0QF97k2oWtllSQatNLZYd8AAWoe559QnPaKmvibeNo04_kIpnkvHMc_JAi6FFMS22P5_lPVy8I_E_l0UyNi0JLlo053Ja98cHvhzDgDRlYaA20JWtp8BmvnAzCjzWsTnCXnio6zl2C0NVNuZhMuXHjHNih8JvQOecDUDkRIFh1QZZeYZ-enTgHB6LzwycMQmrpq8-1mm5cGuRbpHQNSY4K3J52a_QvxUiwOyXpwrEU01EPnhcr64Bx0mwdqT5U0gqbKwkcHkIOrAj5JJ63h2Tb_XqzEmYdUr0If6FZ1ZuhHQ6TMEw_D0iOmOlmtr-HGx7EUNS8ieSaRsbJEiEbblkn8xwO4zYbmuJUc3AaQgn8d3Bx_hOuHy3R8_T_xTqblLavAznb1fmukVpbNZJLXwjciOkTOqC5cru9rEL-5I8CO0KUbtjbHXMhsFdgVKRvX-uCLwFt73dTZhWpDd1qbDZlsKNZIZm2SqhHyXeSQXx3CagLggvE1tzoYNtef9_uB6Vgtxcn7UbP6_XaxPZu6wf1Mex4-iai2eeQMtM9IwvBeCdo-utEKoAib2vHItp2CO7b0T6VbpcDqWUl9ARDEH_RmQ49bfbDrJ3moRpHm3ZORpdw1oeuAyR6V0T6pXuXRwEwHXn9IAAao5TaXYGvUA1bBI5aWOxvBzODWw0RneN6366D4xKz6Qc_8dg_4JPa0MwtmvrMnnJcZLendsmlofoiaJqjewG_hCUopan9f
"['Comcast', '3.9']",http://www.comcastcareers.com/,Software Engineer,Remote,$80K - $90K (Employer est.),"Comcast’s Technology, Product & Experience organization works at the intersection of media and technology. Our innovative teams are continually developing and delivering products that transform the customer experience. From creating apps like TVGo to new features such as the Talking Guide on the X1 platform, we work every day to make a positive impact through innovation in the pursuit of building amazing products that are enjoyable, easy to use and accessible across all platforms. The team also develops and supports our evolving network architecture, including next-generation consumer systems and technologies, infrastructure and engineering, network integration and management tools, and technical standards. We offer a flexible working environment to balance the need to work independently wherever you choose, with days that require collaboration at one of our offices. Our roles primarily reside inside or around one of our Tech Hubs (Philadelphia and surrounding suburbs, Denver, Austin, Silicon Valley, Washington DC/N. Virginia). Some roles can work virtual full-time if they are not near a Tech Hub, but that is dependent upon the needs of the position and amount of collaboration required.
Job Summary Responsible for planning and designing new software and web applications. Analyzes, tests and assists with the integration of new applications. Documents all development activity. Assists with training non-technical personnel. Has in-depth experience, knowledge and skills in own discipline. Usually determines own work priorities. Acts as a resource for colleagues with less experience.
Job Description
Do you have superior interpersonal skills?
Independent, Personable and Initiator?""
If the answers are an excited ""Yes"", then Comcast has your next opportunity!

We are looking for a top-tier Python Developer with experience using AWS and serverless technologies. Candidate must have a strong understanding of python standard methodologies, background in writing well structured code including unit tests and integration tests. Willing to work with programmatic tools for CI/CD deployment pipelines following a microservices architecture.

The role will include responsibility to create new microservices, adapt current microservices, and work with front and back-end clients from design through implementation, deployment and production support.


5-8 years programming experience

3+ years Python experience (preferably used as the primary language in last job)

Has created and deployed serverless services


AWS (ECS/ Fargate , Lambda, DynamoDB, API Gateway, EC2, Kinesis, ELK)

GIT/ Github

CI/CD (Concourse and Jenkins)

Docker


Adaptability - Adapts to change, handles pressure, and adjusts plans to meet changing needs

Initiative - Deals with problems as they arise, focusing energy and resources on those situations until resolved; identifies new opportunities and takes action ; takes on new responsibilities when needed

Results Focus - Can be counted on to meet or exceed goals; pushes self and others for results; is a detailed worker who can be relied upon to handle unforeseen obstacles

Customer Focus - Meets internal and external customer expectations; delivers upon commitments; build customer confidence; follows through on requests gaining trust and respect

Ethics/Integrity - Is seen as a direct, candid individual; adheres to appropriate core values at all times ; acts in line with those values; rewards the right values and disapproves of others; practices what they preaches


Understand our Operating Principles; make them the guidelines for how you do your job.

Lead the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our tools and services.

Know your stuff - be hardworking learners, users and advocates of our pioneering technology, products and services, especially our digital tools and experiences.

Win as a team - make big things happen by working together and being open to new ideas.

Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.

Get results and drive growth.

Respect and promote Diversity, Equity and Inclusion.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Comcast is proud to be an equal opportunity workplace. We will consider all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other basis protected by applicable law.
Education
Bachelor's Degree
While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience.
Relevant Work Experience
5-7 Years
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846ab90190ab154c2113d8a441&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_79c5fd08&cb=1668237849814&jobListingId=1008090945277&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghlbi0e2khp8801-1ghlbi0eli6hj800-6f29e2cceaf6e5c4--6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZlTAgGmdtIUzoKTi6fK6WvZr4m_A9xSfY6Q5E5H5JMO4aA6n_17PDC3NdNzZYpV6cqNlwwMwXwFSq4-Gtvhv5OWAyxtdm4ZXobcsVIvcRJa8YlAs7yon62rKkAS6fMAmxZo051Xc30_WPvwI1ebyFxunWr5Zydv-lXNTerzXDMGIyGG61ZfW3rCAL71BrgHizsXW-myCZ2_i3Xj97S4TzEo_5itmU1R1lZCg5rlqjNBei6Ldjek52KzfDTSuzgoaW5w2sLw7zION-wc2IQcS-DdbDRm6UDDvw1o-x2D0tKJUAuhC3YitoozanwoL6IxeRXJk_nWyE1wnQ-SD1yro_f0vukj4CjD2vtJiLxssBsXEe-XksR5qP9VfeZfm7alXB0o5--ju-XERlbBQzkC9WSdyhsl9nRB1FI5KutuKwuikogWRDmwizJeyvYEMUKABXwWMhmOX3qAIsgR_wXUQyt7Lq5sqtqKSoaTJ1v2aTIfG2M7axI4cZ5n7JXiJE7JnFjjFbqiPs1SblTkG2mPpp0uK0bpEKhRENZnT8L35sG49tsUuMJNqhknyxWKnjoDmqjOzZaAQJ6i6WDLLdAjzwqryPpY41YZJytwtopatpVo0itXOtG7V5AkB2MYpLp9EnOfwDLZyQZqc2lfamAav4vUnbQE9hOF4DzzVqAIxHsKX6eE3PPTP2TLkeNaVckh9JDbzOFS70bX91-AJqkgzWmrfH65Z44OAW3mofuv-U9ySqI9IVslO-gkNeTO8zVvJMrrBg_ji2p9AYLOmdR1yn3BobMSFMYsO2WAmhyF9o4v8EL60V0UHAaKL_sTZLW_kDcOH4oFdbyOx7hgJo6PDYoXdYJ0EmAO8uWo01eJQ6DYdAQlaxh5YKREhY7UyWvlzOyyeDWWtodkpgeA5BGRa-yZ0sP-_jl623YXidt7lkmecn3Lcql2dtqAFGyyxCjSbwSRS9YFlrsDPXpg03p4L5aaPADdmbyw_8xRpPtXZ8A7hR-eeZEl9rZhvGaT3SuJAzp3ISLragw8yn_w5G5h8bRXifi1ggn_5N3z7h6FWRVF7VNmK33sbyOe6A07NcQpNG960lDy2poQRFd_LXg4TKvtkYpVIzZgEVV7FBzkMW-tgjBsxs6zX51b6VCwNN2b4zGHMtmTIzzqCB2ZmYEg2aKOeBtWM8IG986_kVVcvcpzW
"['EAI Technologies', '4.4']",http://www.eaiti.com/,Software Engineer,Remote,$80K - $90K (Employer est.),"Seeking PHYSICS or MATH graduates with a minor in CS or software technology bent that can learn/grow.
Discover the feelings of Camaraderie and Family while being technically challenged to grow!

Responsibilities:

Design and develop dynamic Enterprise Web and Mobile applications for a variety of clients like Verizon, Capital One, and Cardinal Health in small teams. Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of your work on a daily basis.

Desired Skills/Traits:
Math, Physics, or Engineering fundamentals.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846ab90190ab154c2113d8a441&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_34ac6a70&cb=1668237853801&jobListingId=1008014763926&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlbi0e2khp8801-1ghlbi0eli6hj800-441168fa3d326189--6NYlbfkN0BkyVyI3uzmcA9Hk0QF97k2oWtllSQatNLZYd8AAWoe559QnPaKmvibeNo04_kIpnkvHMc_JAi6FNX1eByFuQNmrGVV2Jw1K6Kz11If5clr00IUTibIZfqoyKLhccAIxLrl7cIthaSJUul9XxI4sMXIh-0Zq0yJldPaRK8tK3yLM-bwhjeYNYe-Dp1sW5p-ohsV7iwzBHjHAUgHrYThD5UZr-T3yv_A6Ot7fDWvZxyakbuNOCKUHgp7CN311LNAJlTDv37CFDbDX2-CVanPE4DcvGKSdb66vqWnNj86uoNYceSpoULx0wcyNUasr14IcDFWQpZUYbX1SSnSU5k1CTHEYug-01GRiVq6rbcrNUnGFQrTGSkMJCdS-YNwAnXKRekkqqat5aFw46RSBl9JYkLoxOwOBrqsDexxkQD40bT4yC3egD0EyTWj2N5wvc3Pu14sHB0mQuvLJ1-Ksm-lt1iutN8lBhOugIErZLOs6YHkaCxZDrI-FLqXAhJnBgAUwdeXQ1XVJGXDWbJqoNIrx2Qv77DmMIE97KCGXgsqXsmeiS3DKbUVkBN7Jww2hakjoL1sz0ePzDakHz0wFsnHXKhJC6GQZc3hDbWFg34PXK0dcYZqDd_7gx4rZ0zUVmnxWlg2RW979NXXxLo3pqVF_Fkt9cH4UOuzBSJU6ImabJ3SsN9NZCxIgvzrJkgf69eQwMcuCLLXHa2zOhKPQ89gdnqksR1qoIj33S7xqNIqsQgWuEGl3v-Nmpd4VMPvZpFJIAntOk02l1KcWItvAHceMwvV
