Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Wesco', '3.6']",http://www.wesco.com/,Business Intelligence Developer | Power Platform (Remote),"Glenview, IL",$71K - $112K (Glassdoor est.),"WESCO is seeking a Business Intelligence Developer focused in Power Platform and design. In this role, you will report to the Business Intelligence Manager who is responsible for tools and technology supporting the company’s profitability initiative. You will be responsible for creating Power BI reporting and design, PowerApps applications, SQL table design, automation tooling, and possibly machine learning models.
Responsibilities:
Develop and maintain PowerApps for the business
Develop and maintain new and existing Power BI reporting
Work with SQL databases to create new tables and views, along with querying existing data",8d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c6848c7ab5507389318e961&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04de71aa&cb=1668266094165&jobListingId=1008255017381&jrtk=3-0-1ghm6gi8k2hig001-1ghm6gibbirl2800-383a538dafc736b7-
"['Wesco', '3.6']",http://www.wesco.com/,Business Intelligence Developer | Power Platform (Remote),"Glenview, IL",$71K - $112K (Glassdoor est.),"As a Senior AEM React Front End Developer you will be the Adobe AEM CMS lead. You will be responsible for executing, driving, and owning assignments through all stages of the development lifecycle to completion. You will function as the technical expert on complex applications, work assignments, and business problems. The ideal candidate has a proven and deep understanding of React and AEM web development engineering principles with respect to responsive web engineering, as well as the ability to provide guidance to developers within her/his scrum team towards the development of guest-facing experiences.
Responsibilities:
Participate in the implementation of Adobe Experience Manager, including design, definition and development of AEM/React content type models, workflows, templates, and components, and permissions.",8d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c6848c7ab5507389318e961&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_03b4c286&cb=1668266097010&jobListingId=1008255016866&jrtk=3-0-1ghm6gi8k2hig001-1ghm6gibbirl2800-e7515c20aef517e7-
"['Wesco', '3.6']",http://www.wesco.com/,Business Intelligence Developer | Power Platform (Remote),"Glenview, IL",$71K - $112K (Glassdoor est.),"WESCO Global Intelligent Automation COE is looking for an experienced UiPath developer to implement the automation pipeline. As Senior Developer, you will own and perform end to end development from solution design to implementation, user acceptance, and production monitoring. You will also be guiding and assisting citizen developers with design and/or implementation of the more challenging parts of their automations. Additionally, you will be responsible for executing, driving, and owning assignments through all stages of the development lifecycle to completion.
Responsibilities
Works directly with SME, as well as with project managers, and business analysts to translate business requirements and technical specifications to actual automations.
Maintains a culture of open communication, collaboration, mutual respect and productive behaviors.",8d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c6848c7ab5507389318e961&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_50a84d83&cb=1668266098841&jobListingId=1008255016887&jrtk=3-0-1ghm6gi8k2hig001-1ghm6gibbirl2800-1b7b2be56e942019-
"['Wesco', '3.6']",http://www.wesco.com/,Business Intelligence Developer | Power Platform (Remote),"Glenview, IL",$71K - $112K (Glassdoor est.),"As a Senior Architect - Solutions you will be responsible for gathering business requirements and designing the system per business needs. You will work with Business leaders and IT teams to come up with best optimal solution in a particular domain while ensuring the impact on other business domains. You key activities include developing business cases, conducts analysis and recommends effective solutions to meet functional, technical and meeting business needs.
Responsibilities:
Responsible for assisting in the establishment of an IT Architecture practice, and the adoption of an architecture and standards methodology.
Manages activities that take place during solution ideation, solution design, and solution implementation.
Conduct Well architect reviews and create physical deployment architecture recommendations for workloads.",8d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c6848c7ab5507389318e961&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3cc41dc9&cb=1668266102767&jobListingId=1008255017343&jrtk=3-0-1ghm6gi8k2hig001-1ghm6gibbirl2800-22ce9c0cd43e0e90-
"['Wesco', '3.6']",http://www.wesco.com/,Senior Developer (Remote),"Pittsburgh, PA",,"As a Senior AEM React Front End Developer you will be the Adobe AEM CMS lead. You will be responsible for executing, driving, and owning assignments through all stages of the development lifecycle to completion. You will function as the technical expert on complex applications, work assignments, and business problems. The ideal candidate has a proven and deep understanding of React and AEM web development engineering principles with respect to responsive web engineering, as well as the ability to provide guidance to developers within her/his scrum team towards the development of guest-facing experiences.
Responsibilities:
Participate in the implementation of Adobe Experience Manager, including design, definition and development of AEM/React content type models, workflows, templates, and components, and permissions.",8d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c689affbf5cb72f3b4f1964&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0fcd1a5a&cb=1668266113894&jobListingId=1008255016866&jrtk=3-0-1ghm6h6qmm6qq801-1ghm6h6r8i9iu800-e7515c20aef517e7-
"['Wesco', '3.6']",http://www.wesco.com/,Project Manager I (6497),"Norristown, PA",$67K - $111K (Glassdoor est.),"We are seeking a Project Manager I. In this role, you will manage and oversee all aspects of a project to ensure it is completed on-time and within budget. You will have overall responsibility for managing scope, cost, schedule, internal staffing and outside vendors. You will prepare reports for upper management regarding status of project. You will work on projects/matters of limited complexity in a support role. Your work is closely managed.
*Responsibilities: *
*
Provides support with project development from beginning to end
Assists in defining project scope, goals and deliverables to support business goals in collaboration with senior management and stakeholders
Assists in developing full-scale project plans and associated communications documents",30d+,
"['Wesco', '3.6']",http://www.wesco.com/,Project Manager I (6497),"Norristown, PA",$67K - $111K (Glassdoor est.),"As a Project Manager II, you will manage and oversee all aspects of a project to ensure it is completed on-time and within budget. You will have overall responsibility for managing scope, cost, schedule, internal staffing and outside vendors. While preparing reports for upper management regarding status of project. You will gain exposure to some of the complex tasks within the job function while occasionally directed in several aspects of the work.
Responsibilities
Directs and manages project development from beginning to end.
Defines project scope, goals and deliverables to support business goals in collaboration with senior management and stakeholders.
Develops full-scale project plans and associated communications documents.
Communicates project expectations to team members and stakeholders.",30d+,
"['Wesco', '3.6']",http://www.wesco.com/,Analyst - Credit and Collections (Remote),Remote,$94K - $161K (Glassdoor est.),"We are seeking a Credit and Collections Analyst. In this role, you will be responsible for, working under direct supervision, collects and maintains basic credit information. You will assist in review and verification of overdue accounts. You will contact costumers to confirm outstanding payments and renews credit information to help minimize outstanding debts.
Responsibilities:
Monitors past due invoices and make a high-volume of collections contacts via phone, e-mail, or customer portals.
Works with the customer to determine root cause of dispute for unpaid or short-paid invoices. Identifies and documents detailed reason.
Performs customer account reconciliations, including research of unapplied cash, and credits and unearned discounts.",9d,
"['Wesco Aircraft', '3.2']",http://www.incora.com/,Analyst - Credit and Collections (Remote),Remote,$94K - $161K (Glassdoor est.),"The Sr. Manager, Strategic Contracts is responsible for managing sourcing and pricing responses to contract bid opportunities: reviewing incoming bids with the Bid Management team, assigning value and strategy, distributing items and packages to be sourced and priced by their team members, ensuring that packages are priced competitively and reviewed for completeness before delivery to the customer.
The Sr. Manager, Strategic Contracts will lead and develop effective strategies and tools in support of incoming customer requests. Collaboration with Bid Management, Sales, Procurement, Quality, Finance, and Operations is an essential aspect of the job.
The Sr. Manager, Strategic Contracts will review incoming business opportunities and provide sourcing and pricing support in response. Through their team, the Manager, Strategic Contracts will provide pricing information based on current and projected market dynamics, market opportunities, knowledge of in-stock inventory costs, industry supplier pricing trends and structures, and the use of internal analysis applications and tools. Upon request, the Manager, Strategic Contracts may perform research to validate sales quotations for accuracy and sustainability of profits throughout the life of the contract and will assist in all areas of the department. Ultimately responsible for the timeliness, completeness, quality and attractiveness of the sourcing and pricing completed by their team and submitted to Bid Management.",9d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c6929339ee0ef4691eda5c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_01adc86a&cb=1668266154764&jobListingId=1008253664017&jrtk=3-0-1ghm6iaauk635801-1ghm6iabii9iu800-0f326bd44beae7d7-
"['Wesco', '3.6']",http://www.wesco.com/,Analyst - Credit and Collections (Remote),Remote,$94K - $161K (Glassdoor est.),"We are seeking a Senior Analyst - HRIS. In this role, you will process and analyze employee information by using Human Resources Information Systems (HRIS). You will design, implement, and analyzes reports to determine the overall trends of the organization. You will ensure systems integration and upgrades by collaborating and communicating with other colleagues.
Responsibilities:
Acts as liaison between business, human resources director and process owners, and 3rd party development vendor for all HRIS system?s needs.
Mentors business representatives through software development lifecycle and supports new functionality and process improvement initiatives.
Provides technical, operations, and training support to users of HRIS through documentation processes, and delivers end user training in an understandable context for all levels of users, and communicates changes to business requirements or enhancements or production issues to IT, payroll, human resources and other affected parties.",8d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c6929339ee0ef4691eda5c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8e8aee0d&cb=1668266157398&jobListingId=1008255016924&jrtk=3-0-1ghm6iaauk635801-1ghm6iabii9iu800-56e59c2f17157d59-
