Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['The Walt Disney Company (Corporate)', '3.9']",http://www.disney.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"Job Overview :
The Enterprise Technology mission is to provide technology solutions that align to business strategies while promoting enterprise efficiency and promoting cross-company collaborative innovation. The Enterprise Technology organization drives competitive advantage by enhancing our consumer experiences, promoting business growth, and advancing operational excellence.
The Business Automation Platforms group is part of the Core Systems & Platforms organization. We manage The Walt Disney Company's business automation and enterprise service management platforms, including ServiceNow, Salesforce and Appian. We provide strategic technology solutions to support empowering the business, workforce, and technology communities through digital transformation.
The Staff Software Engineer is an important role within the organization, responsible for translating requirements and user stories into functional software that provides value to the business. They help make the impossible become possible through the design, development, testing, and implementation of complex software for use across The Walt Disney Company. We're looking for a experienced Software Engineer, with an understanding of the ServiceNow platform to ensure that that we are building the ""best-in-class"" products and maintaining and enhancing existing products to improve our competitive advantage.",5d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_751c1d06&cb=1668259224206&jobListingId=1008261441389&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-e657183291664a8f--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64coGPvukaKpfx46PE7HxXubamGHLIaL93ecY5_lYMRQMtgoDGVlpYZxerY5eo46AXdfNMLQmwI1ay-kjMpc5nDQZoKFqABRP-d4pZQ6GcXubJESNU7GJd743FwsHpd2Xv_oJz8sJhQtAMfgnKOAe5gtiX1tMMvhCq3KzLvs7jDym64_WmVboR7hNZxFS8xf3tgcdS5Q8KlhrNITYL-fuSqj_Xj-QFvrP_kzSaz0Q5PeSdnR9Q6KGkb5mgLeIo02bZjVVp0kMm4LVlTpv83zVzyPF1xYJxtRJ4cFozA2WHDM62vp5cFsQbY9g0j91WIysV-Hsvk28V0eHPJKjg1PBUaMMkCq3xXGrf9HBfJzdZyV09B09gN8T0ByXdLyRlSaxFh0%3D
"['Walt Disney Imagineering', '3.7']",http://disneyparks.disney.go.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"Associate R&D Imagineer – Creative Technologist
Walt Disney Imagineering makes the impossible possible, by combining innovation and storytelling to bring Disney stories, characters and worlds to life. Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt Disney Company. Its talented corps of Imagineers is responsible for the creation - from concept initiation through installation - of all Disney Resorts, theme parks and attractions, real estate developments, regional entertainment venues, and new media projects. Disney Imagineers are uniquely talented individuals that bring together the best aspects of creativity, innovation, and passion.

At Imagineering Research and Development, our mission is to use technology to build new experiences for our Guests and new tools for Imagineers and the Cast Members who power our parks. R&D is a team of engineers, designers, artists and scientists who share a passion for solving hard problems and building ground-breaking experiences. As a creative technologist, you use your unique combination of creative and technical expertise to design, visualize and prototype new experiences. You’ll work with cross-disciplinary teams to translate ideas into something tangible. Using a variety of medium, from drawings, diagrams or visualization to hardware and software prototype, what you build will inform and inspire.",5d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5a892919&cb=1668259227846&jobListingId=1008261441210&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-aa46d95b41c63b88--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UDqHItQTwke-NqpRZs2vWnrc88irThSEOFP3FlmAbR402sWUhouLsil5roOE7rCl6cz3T6YdUqsjyvcJIOYtOBefXO7A3nSvg9G7MZAQ581T7tZssbVnfwdei8kDGqGiajFKChO_qVFfADjWbMNsg6SRrUy1hUiRRiJ-65g6dliZlGiPeBawmKNWWz4AhzDA0nCqOFBT6_yCuGgoCsn4v3bRGXcVT-c5HFaVgZnM18mjt7gJ41fEBgRcrRpcl6NuqGUiigyf4p6KMzMlbfJBAw1M8cZjCu4tWy8vAwQJcBauvORX_PUK1v9NiKF_7B_4IXOj8Pxz0xmGuz_UXTkTH2c0NZS6CqvrJiO2O0ZnLv7-y7i6wnbdSL0ExcJMelwB6
"['Walt Disney Animation Studios', '3.9']",http://www.disneyanimation.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"At Walt Disney Animation Studios we have a deep commitment to the philosophy that creativity inspires technology, and technology inspires creativity. Engineers on our Production Technology team develop and implement new algorithms to solve challenging problems for all of our animated content. Through constant collaboration with artists and end users, Production Technology creates the tools, environments, and pipelines that our production teams use daily.
We are looking for a Software Engineer to join our Production Technology team, as a member of the team responsible for interactive visualization and real-time renderers at our studio. In this role, you will partner with artists, studio leadership, technical directors, cross-team software engineers, Disney Research, and other stakeholders across the Walt Disney family of Studios. Your work will focus on the design and implementation of innovative workflows, as well as state-of-the-art solutions motivated by our long term vision for Walt Disney Animation Studios.",5d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cf2a3009&cb=1668259231997&jobListingId=1008261441392&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-4db6f058657496f7--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64coGPvukaKpfx2GR4lXwsHoVVpdFlFDsFz56EDwQuahzym7yajCrDvGw_HeKjIJMJ1JKt0qn74Ja2ZbwNMlP-iARUwxpEHPrIUcHAgiFqrd_fVuY2JEd6WKlRQ9OEOTlBrykwViWllbkbCdD3DE5v88Osh8p6zzD8u_t-WTMu1XAbGWEVrmEAQdOyT9ZynRPeJvuQhCtwnFkMtfd9r81HdGxKea4QayMJz2CcWzyrnQSarqHc2g9_Pdhntw5hUTi21uRl5VEcJnxs69W8tRxFZ_lDy0wcT2ZUSdQmJFldScIJoHFEbmLE1jUjVnsngTynu1fIAayLeAVNiVTYHJ_ZzSQ1elTeRvGHbCpcy4yCxGPxLUscoZOzL1z8SmuuD5oj9I%3D
"['The Walt Disney Company (Corporate)', '3.9']",http://www.disney.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"""We make magic."" That's our motto at Walt Disney Parks and Resorts. And it permeates everything we do. At Disney, you will help inspire that magic by allowing our teams to push the limits of entertainment and create the never-before-seen!

Our team is looking for an experienced Software Engineer to be part of a data distribution platform team within the Corporate segment of The Walt Disney Company.
The role can be located in WA or FL states.

This team is responsible for building services that power experiences across many of Disney’s most recognized brands, including ABC, Lucas, Marvel and ESPN. In this role you’ll be an integral part of the Enterprise Data Hub (EDH) team within the Data Solutions & Platforms organization.

We are currently on a multi year journey to help standardize both Human Capital Management and Finance data sourced from Workday and SAP. If you have a passion for technology and delivering on impactful projects that make Disney magic happen, this is the role for you!",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_696d7bcf&cb=1668259233860&jobListingId=1008263948423&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-8df41e502b5d6798--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64comztV5lYQ2UH8frsrjPIVMzm0zRfnbIp4GvGaR0vooGP9-pciRndil0SEIpi_h__Uo9aOY2a8eDWNUQN-5Oi0NnyKNWopQ9NYsTxUgpEs-kNNBYxSd_f4T1Q4_vnXG8do6fSOdhVPr8lYFqM8z1XnYyeH9fNSSA-xfesyDhA1M70hWofPGR5B1S1A5zRNvI4J5fyLCVLRfbVTC7t_jjrnZcXLoki3qJP7WvYUacKi3uDYIZQ4hG4wc-RMDePemv7njhXwA9YDmUxHrSeyISjrXzq9yROf8mDIpCBiWSl7NbPuuY16cEuVulmsRe0-M6Ifeo37EcFraxuQJvH2u3HFprCK7HEKXSZPmxg5lpa9k3l3cBlG5AVdRlK3IivKHMqA%3D
"['Walt Disney Animation Studios', '3.9']",http://www.disneyanimation.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"At Walt Disney Animation Studios we have a deep commitment to the philosophy that creativity inspires technology, and technology inspires creativity. Engineers in our Production Technology department are charged with developing and implementing new algorithms to solve unique and challenging problems for all of our animated content. We do this working alongside a user base that shares a collaborative environment with us, and uses the code we develop daily.
We are looking for an engineer to join our Production Technology team, to lead the development of our animation pipeline infrastructure. The ideal candidate will enjoy a diverse set of challenges in building up and operating solutions which span the full software stack, from backend services and infrastructure to developing APIs and artist-facing tooling.
The ideal candidate is comfortable working with stakeholders to establish requirements, stays abreast of industry trends, and can advocate the use of applicable technologies or architectural patterns to peers and stakeholders. The diversity of projects will leverage the candidate’s deep understanding of the animation production process and expertise in contributing to the end to end stack of microservices based pipelines. In addition, the candidate can analyze existing systems to identify performance bottlenecks and/or architectural limitations in a data driven fashion, and develop solutions which can be quantitatively verified.",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3298722&cb=1668259235671&jobListingId=1008270089630&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-41cd549f6c2505de--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64cq2a_mhnD3M495Q0nIJ5DnDlWUW2akUOq_738vlWx802LYv-nv-gq4zHQOJRkBYgk1Hfll7znlx0CmyGPHKkKQXMXFNxPXH721sSpUS18xQWZ4gloBKFhxF2CeIhoaPaTgtUTL7oiMPPZw53BndXHoW1wuNiU21enE1K9miCt5UgeY-0c2P4b7JKY0TqO8NRWeAn9Nq_R3c07IFvxkLgdigzu804Ia8M6Ssa--24vhwO3C50l29JHAaVjSPaUVrzpsFzrCiHwBHgtSsLWGAFxQ8nul1nDtlT_BKagC00IccukZQaxEq9SILqD1tMNICJkwY4lsxbKiSD3yV58jA2WMWanYC176L1BZkvVRGoy4a2hoNBRuhwfVEN4-K-WtHeoA%3D
"['Walt Disney Imagineering', '3.7']",http://disneyparks.disney.go.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"Walt Disney Imagineering makes the impossible possible, by combining innovation and storytelling to bring Disney stories, characters and worlds to life.
At Imagineering Research and Development, our mission is to use technology to build new experiences for our Guests and new tools for Imagineers and the Cast Members who power our parks. R&D is a team of engineers, designers, artists and scientists who share a passion for solving hard problems and building ground-breaking experiences. As an engineer on this team, you will work on new ways to bring characters to life, build impossible magical effects in the real world, build immersive environments, and create interactive experiences.
We are looking for a principal level engineer who has a specialization and depth of knowledge in software systems, and a breadth of skills across hardware, controls, sensing and robotics they can use to jump-start small teams and quickly build prototypes. As a principal engineer on this team, you will work closely with experience designers, creative technologists and engineers of various backgrounds to concept, build, test and iterate on novel technology platforms.",3d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8a611b23&cb=1668259238715&jobListingId=1008266688333&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-930495ae555e03f7--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UDqHItQTwke-ZnyG1ZssPyrOyC8mimvFLM8x2WNImijlchXDnj6LSy8kn5r5Ct4JC3XAhJ8kIiaFJdmwl-hoZ-QzpS56nUHBNxSXds7D2ZQlWRKBa6K-NhH7upVJDyYyrhiOtqRJrqx3vnDf_82CSJR6PEiIOqu7yqp21Bm1tS36cKi9bZr9vIkGaXJvwxbgHZ6vt_GEiC87RhFvyen4fzT4Tdhdx3BioHTY0to-DpKP69v5UC_cJudE7-KCpFf1A9Q6q36qOQ5D7OlK8Afl9JKvRwn6mn_uXYw3SCM3K4y3_GshQPqhQOA5NcGdRbQTdLhbjoRrs2UYEqKLeZAiLs6PmyzM4ZAAxI4Zv_PQjbjA3Z7QLuKsloegHK7lRNoj0
"['Walt Disney Imagineering', '3.7']",http://disneyparks.disney.go.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"The Team
Walt Disney Imagineering is building a new AI Character Studio to allow Guests and our beloved characters to share new interactive experiences and stories. The unique team is comprised of a cross-disciplinary group of designers, writers, artists, and software engineers. Its charter includes developing a robust and scalable entertainment platform supporting interactive character experiences with up to millions of concurrent users. The studio develops mobile, VR, AR, Mixed Reality, and custom physical attractions and experiences on a core platform, independently and in partnership with 3rd party developers.
The Role
We're looking for a Senior Tools Developer to design, implement, and maintain a software toolchain for the creation of incredible new interactive character experiences. In collaboration with conversational designers at the AI Character Studio, you will define and create the software that enables our world class artists and designers to bring our characters to life and connect with our guests in new ways. You are highly collaborative, flexible, and scrappy, while ensuring a high degree of polish for guest-facing products and experiences. You are willing to take the time necessary to understand creative goals and propose and effectively communicate solutions. Members of the new studio are expected to thrive in a fast-paced, startup-style environment where ambiguity and building things from zero to one are the norm.",12d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_abd30d57&cb=1668259240514&jobListingId=1008244251973&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-8b0ded07ee76b55c--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiRd1qisRd4re16D_VG3-wzVfm5Ji4hUo93LNauVHa7BRpalagTUcsTQhMKRBZLS92YMy4M3S27ur88v-vfY1I2bgWMlcBILP3w6KnkmUzFMvD9Cmd1-bQ_mQv9Gj18UTJsw3jt92WUDr_9D4ieY1OOXKkbmWhU_u1WzcE5K5QEyJS_eCj1gFDn11otYW3f0zT8jDR8uZBhwps7kdVhAGHH3K3_cPamnC5Imc3NCc_EAcpTdL0PrdklI3SvYIJd8JMqDVpA4nXiOZuxp-BqdjsHFRSjEviByBaE7zpaI9D1pemLDLVYUohIq41MvMlmgQIeLDFa1xSDqw4ER6WPQepy-ECN9rzYtxo6cl-pnwgjnBSpPddIBCvNZ4p14iwwaEvFiwME40y5i3-dBXeDHm5GYF8gnfpkrS7w%3D%3D
"['The Walt Disney Company (Corporate)', '3.9']",http://www.disney.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"At Disney, we’re storytellers. We make the impossible, possible. The Walt Disney Company is a world-class entertainment and technological leader. Walt’s passion was to continuously envision new ways to move audiences around the world—a passion that remains our touchstone in an enterprise that stretches from streaming, theme parks, resorts and a cruise line to sports, news, movies and a variety of other businesses. Uniting each endeavor is a commitment to creating and delivering unforgettable experiences — and we’re constantly looking for new ways to enhance these exciting experiences.
The Enterprise Technology mission is to deliver technology solutions that align to business strategies while enabling enterprise efficiency and promoting cross-company collaborative innovation. The Enterprise Technology organization drives competitive advantage by enhancing our consumer experiences, enabling business growth, and advancing operational excellence.
You will be working in a complex, challenging, fast-paced and innovative environment, with other like-minded architects, engineers and product managers Our architects and engineers are diverse, smart, curious, innovative, solutions-oriented, respectful, highly collaborative and continuous learners.",5d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b34aa006&cb=1668259244360&jobListingId=1008261441180&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-42c1573dec67768b--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiYm3-7g-689UM0rgypL64coGPvukaKpfxwd7MSgi0w18_WTT9mznBcREZqHt8rmg6OqjiAPTzreCoGqqrvO8tkCOG_f6U-rXlyJOoLwPq1TzZ2JgQcXru8jhFIB5YVd4Hu-oz6aL90gT1hUof6Ldd1jlnkyFfuUVWB6G6GMHSYuSHeU1NA-Pk6zlMdRESgo1VbGm5UHLPwu71sga8h1ILvq3AAQNgmHwsVHVg_4qqBzdpjmaqx1nvuWtSNZZuTYhyfNUj4UPusaqGiEPJ6WdeNJhkkSkE5Ajon6M0d4-MFrgJlVPw3U5LiirsDqUsdJUKJuYyc4CBZQnlkuW5OxrVaMeSwUwdZJS-FjY5ppK7pxXzMdCCqBevaOQNONbYTZZKAr1Lf_d45BncyuCZ_2Wa2I%3D
"['Walt Disney Imagineering', '3.7']",http://disneyparks.disney.go.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"The Team
Walt Disney Imagineering is building a new AI Character Studio to allow Guests and our beloved characters to share new interactive experiences and stories. The unique team is comprised of a cross-disciplinary group of designers, writers, artists, and software engineers. Its charter includes developing a robust and scalable entertainment platform supporting interactive character experiences with up to millions of concurrent users. The studio develops mobile, VR, AR, Mixed Reality, and custom physical attractions and experiences on a core platform, independently and in partnership with 3rd party developers.
The Role
We're looking for a Senior Tools Developer to design, implement, and maintain a software toolchain for the creation of incredible new interactive character experiences. In collaboration with conversational designers at the AI Character Studio, you will define and create the software that enables our world class artists and designers to bring our characters to life and connect with our guests in new ways. You are highly collaborative, flexible, and scrappy, while ensuring a high degree of polish for guest-facing products and experiences. You are willing to take the time necessary to understand creative goals and propose and effectively communicate solutions. Members of the new studio are expected to thrive in a fast-paced, startup-style environment where ambiguity and building things from zero to one are the norm.",12d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0041872&cb=1668259248291&jobListingId=1008244252019&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-918df4ff1f09658f--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiRd1qisRd4re16D_VG3-wzVfm5Ji4hUo91Qf9v1ALLCw8_NJ2HdMbi9W24OdQuexgJflodngRY64FXBN-4jt435jeWSt5rrR52rV_1m9PPlUHmZMeeH32GIUVbsKI1ia2ugySIve782MBmLdHnNz2tKvIiHwF5mRNXapLd6R14T3e2cT6OQUvNDslUm8Ews_vw-Ymoq2jkYnx8NDr7Akk5scCE7-GGiycQezavFwpjFd7_p6ZdatmSe-qGgRMjXoj3McQwIu4iVjAWdoQqymO_caAA2lHZ40yQoewzvf02-B6NM7hIu6GSae0CqgQO1oDRZ-dhuoCKW2pINOYaPTOrqsNAJfciZ_gqjNbGgS-pqcOCNyUQp7J8dBBLBVi0RvDh1-l80n81UOrYYdZN24AaKptJ7CRmuUOA%3D%3D
"['Walt Disney Imagineering', '3.7']",http://disneyparks.disney.go.com/,Staff Software Engineer-Salesforce,"Celebration, FL",$95K - $139K (Glassdoor est.),"The Team
Walt Disney Imagineering is building a new AI Character Studio to allow Guests and our beloved characters to share new interactive experiences and stories. The unique team is comprised of a cross-disciplinary group of designers, writers, artists, and software engineers. Its charter includes developing a robust and scalable entertainment platform supporting interactive character experiences with up to millions of concurrent users. The studio develops mobile, VR, AR, Mixed Reality, and custom physical attractions and experiences on a core platform, independently and in partnership with 3rd party developers.
The Role
As a software engineer, you will design, prototype, and build software algorithms, components, and complex systems that weave together everything from robot hardware and dynamic show elements to AI algorithms and sensors, to realize the future of innovation for the Walt Disney Imagineering.",12d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846bff692a97a9ef3c477a6076&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3a258249&cb=1668259252217&jobListingId=1008244251753&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvuqapihng801-1ghlvuqbb209v000-f922d872d350fb4f--6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiRd1qisRd4re16D_VG3-wzVfm5Ji4hUo9z87_One4oYb-DtO2c_3Fj6otqONQvqolBCQbFuT3olCNi5jR1H2iANKFSXVhU6CJXnEswKuT89-pBQcPWo4WNz2y1UJOH96pxiOAWVg6N5zFjQmC2phERrfgWFjnwsIhuht-2K67tRi1OdKZ-83K3RWeCSEZglgwE4-QlwCXWubsTN_i92glpbInRpDGo5-L-riY6iEX254NdDQCpNy9AAChbMVShcdoV5dqlWPZAfbCymu20kmxADrXxBOwB8j3DcUEEY9r9YqJRxRPjLcwSfNiBSYNKX3p6mDzhTz3jCv1v2r8QxeUZxx5hbF3WU5-P95wXe3Ln6bs33WWLKsaVoN_khCWIvcqOGDDVYB4vN7MaV2FAiL_GC2awHOb91N5w%3D%3D
