Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Santiam Hospital & Clinics', '3.7']",http://www.santiamhospital.org/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Description:
POSITION OVERVIEW: The Cogito Business Analyst II at Santiam Memorial Hospital performs analysis, designs, develops, deploys, supports and maintains reporting and data extracts for the various business units and clinical stakeholders serviced by the Enterprise Data Warehouse (EDW). This position will provide consultation and support in the development, analysis, design, and management of Epic application reporting and data extracts to support the clinical process improvement and waste reduction initiatives. This position does not directly manage any other caregivers.
Responsibilities:
ESSENTIAL FUNCTIONS AND DUTIES:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846919545f9654651e77c77aa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cf6691d4&cb=1668210587827&jobListingId=1008174896377&cpc=6BBECBC74F3AC36E&jrtk=3-0-1ghkhil4fi169801-1ghkhil52irkn800-ff9919adc2e70032--6NYlbfkN0CReDoGVbcu558fYcZ8lpKUVSAgmsSslte3APhxbIvFATLdW8Jp9gLy1LM-miUX_gofL6kyc18FyVahMYqBciiBkrSMQp1OlKFeYk1tugHXtGSY7loSe5VoKP5mZhsiDSSAiwKpG1ExWXHrbbZmeOfT0ZHZNzh2WiEArpjD0KGmTqkCOPME3qOXCGT5z7jmTDDZOtHh1_xBsRqz2ueCOIz0dcxJJDRstfjcJ-rQ9Jpb2qiBOkQp4gI92syDFyMmd5a9w0sViS1wz_YWImWHZXGGA8esk8L8859O0l2Y-OgsHs1aMbReYoyfwq42RofycntwNfsRbb7aDKxZKxtl3KllDSejyrpe4SbsZuMinZll7w19RCHWnvC2Y4HIQqxmYU9jsHE4JQKoHPBYdkHFh3Gnja_K-x-OBkAWIxIDx2krzpU_x__tuOG3bGmogzpBRyoy8QFclQt2PggxLLDcsTIPH2k-fAV24_dWETMBcWhbE2MaDyPiu1hyeBxe-kfvthEYc3hBYJjnIuOVdjyIZi7ar4_GBG4xu5qISzZfCp6tnH9OE8woL16KCJtW6tjw5JuwrET8XuDtW6TT-cVFkDWv
"['Lumen', '3.4']",http://www.lumen.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"About Lumen
Lumen is guided by our belief that humanity is at its best when technology advances the way we live and work. With 450,000 route fiber miles serving customers in more than 60 countries, we deliver the fastest, most secure global platform for applications and data to help businesses, government and communities deliver amazing experiences. Learn more about Lumen’s network, edge cloud, security and communication and collaboration solutions and our purpose to further human progress through technology at news.lumen.com, LinkedIn: /lumentechnologies, Twitter: @lumentechco, Facebook: /lumentechnologies, Instagram: @lumentechnologies and YouTube: /lumentechnologies.
The Role
Senior Lead Operations Analyst provides engineering services level support and applies project management skills to develop and implement OSP network changes. The incumbent will be a technical resource working with other organizations to identify inefficiencies, develop solutions, and make recommendations to improve the way Lumen products & services are deployed, installed, and maintained. S/he will effectively analyze and modify the configurations of hardware and software utilizing systems and processes designed to achieve optimum performance, while maintaining service level agreements within corporate and budgetary guidelines.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846919545f9654651e77c77aa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95011836&cb=1668210591995&jobListingId=1008103059664&cpc=FD1C1DA32C38CFA7&jrtk=3-0-1ghkhil4fi169801-1ghkhil52irkn800-a837dfdfa25c811b--6NYlbfkN0BGKj2dVRoMy2japSZrYRM8IJNi6D13enLCCRY5KIhxiuh_sXSgGZCrHE3-yTlm2cvmwtlh4yMve_e2TBhwxdKIewPWaDtzNSNMCY2oFzAPeZyQk0Ci4t60WqFrCPM6rJQSrWnyfBIJxfT8w-MuN7HKlXz_2oy5F3ueYNJO5EHWwiN_VTmZqWsc_2_KE6_nJBxDI1mncm7wzR8wW964tvvC8uwmKNWekB-cImlwi4j7_mLvXSl5TJuHgwzeBJvXfPgI034o_ZkprX_KrislYgP4G4EIBijCx61cDnJb7U6FI5o66AErEtMsUSg70rlll7uBTJlDJAk-FWJ0NArh6f7K70AgUKQXrBp_uRBSZeU-lztqCW8Ja7BiTdii6QbY9ugDhPyUBymCcz92WsqITlAy8CDU6AKQe6FIMNyReKKyV8KY2CwvoGfQVuv-BFhcUI7LnX_em2fTi4H9IDOWT0YviXEUF1KDwK6QcekxdDjSesYgI_sh4J6PnBv8jfSl4kLh7q24mKE19ach53yVBcLqXJ0goRqvHRJ0KnHjKiXFmKV7mKtXbQSYvt9_vz6InRAr9MxbS5vbyo0plVRNpWDiUOzI8FBbBWzgjOMRnvwEqZXLq0nhS0_DWBDFAExws96T1DzjLiQqL5TybSG1U7ETOzZfOtSpSav6rcEgx4GlTyyVnAYYfIm2VTjlJzDo7u2Hj9fJrmT8ug4FJpkFFouaxf3Fd3h908Ih_TTOc0naygxtoPpVXsP2yT9d_G_79WuQ3qUddyF_lKJqkn2wPEEezIfSMF6y-LOI27FEm0GJAh57I4F8TMl3nAKrcb8BPgRp_RZXwKpQqCFnR33o70OB6arUisffEuxYcnwUKPwvtWCZn5fgrQvG9vLOr3b_D0UvPfkYrqdGjCecOj-QFMlFs5xpdX9d1JmcsI_1iobvkpPOo3RC3jGkyg_5pll9bjSkJyxj5dGPszj86C6isvE6OBmkLMxClDDpNIdbL_ZNT-ZjROcSj5CWEFnIlXqTqr19G-9oEiAW5Nkayt37WPCrccTfIp7TIZqd9BbLiMQ33PICq0beKpXiHaXHUaELei_0MOhce1CnI2KOr6yXncTlr3SjsBVSAeSRvOpRpE5c2JiOp3wIoQEFCfsYwizrzeh5QurMZCiKYQ%3D%3D
"['CPS Energy', '3.8']",http://www.cpsenergy.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

Deadline to Apply: November 28, 2022

Pay Grade",2d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846919545f9654651e77c77aa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3b5b3835&cb=1668210596034&jobListingId=1008267403885&cpc=F41FEAB56D215062&jrtk=3-0-1ghkhil4fi169801-1ghkhil52irkn800-2123dd50c18aa2fe--6NYlbfkN0DtQSW_IO5jJzjKNTLDN7v6QaDnQ6rz0l20G-nv_S0ZsqvR087peSr8nftQpBeQQ5-kFxZpZPQ5keeQXGD97v6DIO7Lb0DAFxYpObp-xC0o0vOi_7-6bHKpWPfZZtwhNCe1BOlzdpWwOxw2vppSuk0-RlDXiBXH2-apRP8i_afB4PaTSmvif1HnbbXGpK6rz2h030NiswISyC3IFx3cjs1gUZsC_vYm-31FgBYmj3qNkD-mjrDBZ8uMbVO6fuw03s_Y4SqHMKxvLARzv_4fUQvg55q5EfhI_jXtvVtoVKD2q_ziVLC83Tm15iO_T5BX7B3oYkO2H6yxZuV9GBg5d58u95hIU9WBpFWmB6c7eq7Hr0zchdsZLuqCtT9ILzqyL3rKx7qOhvz-kMG90oKG5Lprw6WjKGCU2iEWMmQnTxSyAFhRaaAwG8J1pMjZhH4yS8AKtiBWaUNMcA5ddysIQ1kuKAF7J31mvGZZ1VJtoWBlZuhDOMGo3iXmzEKbAanmzQMSuFLNenDxk0U2BgVYmQD2ZDO3VbGJnN4Vzt9IH_bqNZ65U31aulvWOWRIYcX3IJMwgqCvuKU1ffHY-Quciv-y-8mrTbqEUvuXj-LgVmiU4GlNBqHX5Mjs92R1HcHtKRE6RmZZsBCZLHSinM_fZwcLAWI380GdbSw%3D
"['Great Northern Corporation', '3.8']",http://www.greatnortherncorp.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"EMPLOYEES ARE OUR GREATEST ASSET

Privately held, Great Northern is one of the nation’s largest independent producers of corrugated packaging. For more than five decades, customers have turned to Great Northern Corporation for integrated, comprehensive packaging solutions in industrial, commercial and retail markets. Laminations, a division of Great Northern and leading producer of edge protective packaging is welcoming candidates for full-time Application & Development Engineer at our Appleton, WI facility.

Great Northern exists to live out the core values established by our founders - integrity, personal growth, entrepreneurial spirit, and a shared future.

Our vision, ""We help our employees win through personal growth and a shared future” is a call to action to deliver on building a people-centric culture, developing leaders from within, and sending people home fulfilled about their role and contributions. The ""win"" for everyone is a trusting and collaborative culture that helps us be at our best every day.

Our mission statement, ""We help our customers win by doing what others can't or won't” gives us a clear purpose and raises the bar for performance. Doing what others ""can't or won't"" for our customers is demonstrated by a willingness to serve customers, value-added partnerships and proactively developing innovative solutions to our customer's challenges.

We are excited that you are looking to join our great culture. Here are some details about the position.

WHAT WE CAN OFFER YOU
In addition to excellent wages, Great Northern has a competitive benefits package including medical, dental, and vision; life insurance; paid vacation; paid holidays; profit sharing and 401(k) with company match. We also offer our employees a safe, clean, friendly environment and room for growth!

SALARY
Starting wage will commensurate with experience.

REPORTS TO
Controller

POSITION SUMMARY
The Application & Development Engineer will be responsible for maintaining, enhancing, and supporting the technology solutions of Great Northern Corporation (GNC Laminations & Rollguard). The Application & Development Engineer ensures that specific systems (Infor Syteline) under their supervision are working at optimal levels and supports the development of new solutions to meet the functionality and security requirements necessary for operations.

ESSENTIAL DUTIES AND RESPONSIBILITIES INCLUDE THE FOLLOWING. OTHER DUTIES MAY BE ASSIGNED.
KNOWLEDGE, SKILLS AND ABILITIES REQUIRED
Requires a minimum of an Associate Degree in Computer Science or Management Information Systems. Bachelor’s degree preferred.
A minimum of five years previous experience in system operations, development, and support. Previous experience working in SharePoint would be ideal. Requires ability to work independently, be a self-starter, prioritize work and effectively manage time, exercise good business judgment in making daily operating decisions with long-term best interest of GNC in mind. Interpersonal and verbal communication skills with professional demeanor and appearance. Ability to interact with a wide variety of people and technical skillset levels. Ability to maintain confidential and sensitive data relating to customers and employees. Knowledge of system technical operations and toolsets to maintain efficient and effective systems for GNC. Three years’ experience with Microsoft .NET programming language. Experience with Microsoft development platform and integration with SQL/Power BI. Experience with HTML and mobile application development preferred.

WORK RELATIONSHIP AND SCOPE
Reports directly to location Controller. Works closely with the fellow IT personnel (locally, Senior Systems Developer and Business Analyst) and regularly contacts system users. Additional contact with internal corporate IT resources, external vendors, consultants, and clients regarding software/hardware needs and issues.

Great Northern is an equal opportunity at will employer and does not discriminate against any employee or applicant for employment because of age, race, religion, color, disability, sex, sexual orientation or national origin.",4d,
"['MEC Energy Services, LLC']",,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Company: MEC Energy Services, LLC
Job Title: Program Analyst Level III
Task 1: Provide up-to-date analysis of assigned areas or countries as it relates to CT issues and priorities.
Monitor developing political situations, terrorism threats, security sector dynamics, human rights situations, and issues of administrative management that may impact upon the ability of the USG to implement counterterrorism assistance and/or capacity building programs.
Monitor intelligence community reporting and analysis on political, security, human rights, and terrorism developments in assigned countries, including reporting on individuals and units that are beneficiaries or potential beneficiaries of CT assistance, which may impact the ability of the USG to implement counterterrorism assistance and/or capacity building programs",22d,
"['Tomra', '3.8']",http://www.tomra.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Company Description

About TOMRA Food:
TOMRA Food is a multi-national organization and a leading provider of sensor based sorting and processing technology for the fresh and processed food industries. Developing state-of-the-art technologies, optimizing customers' production flow, and helping to deliver consistent high quality output have been our strengths for more than 30 years in the food industry. Our US Food division is based in Sacramento, CA. and we are always seeking talented and passionate individuals to join our organization.
At TOMRA, we want people to innovate, exhibit passion in their work and be responsible. We encourage the freedom to innovate and take risks that result in breakthroughs that challenge the status quo. We thrive off passion that always focuses and commits to meeting success. We demand a responsible and safe mindset that takes care of our customers, products and fellow employees.",2d,
"['Chickasaw Nation Industries', '3.7']",http://www.chickasaw.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
THIS POSITION IS ON SITE IN CORVALLUS, OREGON.
Please note that CNI is closely monitoring Executive Orders and will be following any final decisions or mandates regarding the COVID-19 Vaccination as a federal contract provider.
SUMMARY
The Data and Logistical Support Technician provides clerical and administrative laboratory support for the environmental organic chemistry, inorganic chemistry and biology departments at the U.S. Environmental Protection Agency (EPA) Region 9 Laboratory. This position handles sensitive equipment, providing support in chemical rinses/treatment and preparation for short-term storage of upcoming sample analyses. Data and Logistical Support Technicians are responsible for reporting findings. Must have experience in data collection and interpretation, as well as storage and retrieval of samples in laboratory settings.",10d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846919545f9654651e77c77aa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_84748e0e&cb=1668210608619&jobListingId=1008250090740&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghkhil4fi169801-1ghkhil52irkn800-a5c70687042fa115--6NYlbfkN0CsKDMpqPkq8c-6atK3sm7usfFs6yRs65ZlRcv2lQXdAOCBUwNkP92VkL58r4jMa9NxpwD7K3qRySnjjtC4Iq9D9k5rq-kbQJbAt4pAQjwhRwGcq9r-k1TVN0wBaekIMGfMbT0T9O8Av4pFjXoib0fl0E_axvEm8grmlZzvVXFlm1AI4AAxyMsI1twVUW9vXA9gOf4krTuRLgPk3zebREVC-N3hGPLebXd3-TXcEwWwUz7QsHbt3VJi_a98-7aGKbGt372J9hAAXGFw4zKYDM-OyMPj8QnPV0reF848bnXykbKnvU1rbWC-BDqAisxlpU2uY12MC-JHa6fq2ThhLlW48JUZOl201ZgQhRZizAoQTje9Wrc0bJEp4VmvaROpvsroqgg6dmVparOV-Sv1KqbHS0bzPIJ3lM0CxgvJjIX6EgEAmfHkdLeWDu3MfeHpcMv2r8mHMo0S_PGQOYHVLlaXXCJT-YKp1NKcaW1m48JmqfIxJ4xdTblNhcft4A81R49kSP5gIWlloZMdMIwAy8KQihKL-QEiiKD-j4Gqbr0wPQduwHL6QzAl
"['State of Alaska', '3.9']",http://www.alaska.gov/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"JOB
NOTE: This position has been extended to allow for a larger applicant pool. If you have already applied there is no need to reapply.This position is open to Alaska Residents only. Please check our residency definition to determine if you qualify.The Department of Commerce, Community, and Economic Development, Division of Oil & Game Conservation Commission, is recruiting for an Analyst Programmer 4 located in Anchorage !What you will be doingThis job position will manage and improve the Alaska Oil & Gas Conservation Commission (AOGCC) website and related online applications, administer and advance the use of our Laserfiche image processing system, and assist users with the setup and use of their computers at the Agency.Our organization, mission and culture: The AOGCC is an independent, quasi-judicial agency of the State of Alaska that oversees all oil and gas drilling, development and production, reservoir depletion and metering operations in the state of Alaska. The AOGCC is responsible for preventing waste, protecting correlative rights, improving ultimate recovery, and protecting underground freshwater. The AOGCC serves as an adjudicatory forum for resolving certain oil and gas disputes and carries out statutory mandates consistent with the protection of health, safety and the environment. This position is dedicated to the priorities of the AOGCC and will ensure the timely and efficient processing of its information technology driven systems to carry out its mission.The benefits of joining our team: Work for an independent agency with a mature end-user staff that appreciates timely solutions with the freedom to learn and make a meaningful contribution. This position will work on information systems with minimal management.The working environment you can expect: The AOGCC offices are located in downtown Anchorage in our own building with free parking to employees. Each worker has either an office or a large cube where they have plenty of room to organize their work and be relatively free of distraction when needed.Who we are looking for: We are looking for an end-user focused computer technologist that is eager to build quality applications and help our internal users to quickly resolve issues. Their specific knowledge and experience will include: Web Technology: Knowledge of the principles and methods of web technologies, tools, and delivery systems, including web security, privacy policy practices, and user interface issues.Computer Skills: Uses computers, software applications, databases, and automated systems to accomplish work.Computer Languages: C#, JavaScipt, SQL, MS-Access VBA.Written Communication: Writes in a clear, concise, organized, and convincing manner for the intended audience.Conscientiousness: Displays a high level of effort and commitment towards performing work; demonstrates responsible behavior.To view the general description and example of duties for an Analyst Programmer 4 (exempt), please go to the following link: https://www.governmentjobs.com/careers/Alaska/classspecs Special Note: Requires working directly with end users both online and in the office.

EXAMPLE OF DUTIES
Four years of computer programming experience in a recognized computer language. One year of this experience must have been in a business application, scientific application, microcomputer or computer information management support specialty.Substitution: A bachelor's degree with a major in Computer Science (CS) or Computer Information Systems (CIS), or a related degree with (18) semester/(24) quarter hours of CS or CIS may substitute for one year of the required experience. An associate's degree in Computer Science or Computer Information Systems may substitute for nine months of the required experience.

MINIMUM QUALIFICATIONS
A copy of academic transcripts (unofficial are okay, please ensure that the institution name/URL is listed on the transcripts) to verify that you meet the minimum qualifications.The applicant must provide at least three (3) professional references with at least one (1) from a past or current supervisor; no personal references will be accepted.Copies of the applicants last two (2) performance evaluations. If performance evaluations are unavailable, please provide letters of reference.?Cover Letter must clearly describe, in detail, how you meet the minimum qualifications for this position. Highlight your knowledge, skills, abilities, education and experience as they pertain to the position in relation to the job description, as well as the supplemental questions.At time of interview applicants are requested to submit: The applicant must provide at least three (3) professional references with at least one (1) from a past or current supervisor; no personal references will be accepted.(if not already attached to application submission)Copies of the applicants last two (2) performance evaluations. If performance evaluations are unavailable, please provide letters of reference. (if not already attached to application submission)Please read the below information carefully. This applies to your application submission. COVER LETTERA professionally written cover letter is required and is key to an interview for this position. The cover letter must clearly describe, in detail, how you meet the minimum qualifications for this position. Highlight your knowledge, skills, abilities, education and experience as they pertain to the position in relation to the job description, as well as the supplemental questions. Your cover letter will be used as a writing sample and will be used with your applicant package to determine which applicants will advance to the interview phase of the recruitment and selection process.SUPPLEMENTAL QUESTIONSFor your application to be evaluated you must answer the Supplemental Questions. Be specific in your answers and tell us how you acquired the relevant experience. Please use complete sentences and proof-read your submissions when answering the supplemental questions. Your responses will be considered a writing sample and will be used to determine which applicants will advance to the interview phase of the recruitment process.EDUCATION To verify education being used to meet the required minimum qualifications, you must fill in the Education section of the application. If you have not obtained a degree, please indicate the number of units completed. Copies of transcripts are required to verify educational credentials being used to meet the minimum qualifications for a position and are required with each application. (Unofficial are okay, please ensure that the institution/URL name is listed on the transcripts). Transcripts can be attached at the time of application, provided at the time of interview or if not provided, transcripts will be required prior to appointment. SPECIAL INSTRUCTIONS FOR FOREIGN EDUCATION Education completed in foreign colleges or universities may be used to meet the above requirements, if applicable. If utilizing this education you must show that the education credentials have been submitted to a private organization that specializes in interpretation of foreign educational credentials and that such education has been deemed to be at least equivalent to that gained in conventional U.S. education programs; or an accredited U.S. state university reports the other institution as one whose transcript is given full value, or full value is given in subject areas applicable to the curricula at the state university. It is your responsibility to provide such evidence when applying. Omission of required documentation listed will result in an incomplete application and you will not receive further consideration. WORK EXPERIENCEWhen using work experience not already documented in your application, please provide the employer’s name, your job title, dates of employment, and whether full-or part-time. Applications will be reviewed to determine if the responses are supported, and minimum qualifications are clearly met. Work experience needed to meet the minimum qualifications must be documented in the application. If the application does not support minimum qualifications, the applicant may not advance to the interview and selection phase of the recruitment. A resume will not be used to determine that minimum qualifications have been met for the position in which you are applying. If you are currently or previously been appointed to a flexibly staffed position please ensure your work experience within a flexibly staffed position indicates the actual dates employed at each level. Ensure your time and any subsequent flex promotion(s) are documented as a separate position. This is required as there are minimum qualifications that require experience at a particular level in which the lower level may not be considered. If this information is not accurately reflected in your application this may cause the processing of your application for consideration to be delayed. NOTE: Attaching a resume or curriculum vitae is not an alternative to filling out the application in its entirety. Noting ""see resume or CV"" or any similar response on any portion of your application may lead to a determination your application is incomplete and removal from consideration for this job posting. The State of Alaska does not provide VISA Employer sponsorships. RECRUITMENT SCOPE This position is open to Alaska Residents only. Please check our residency definition to determine if you qualify. MULTIPLE VACANCIESThis recruitment may be used for more than one (1) vacancy. The applicant pool acquired during this recruitment may be used for future vacancies for up to ninety (90) days after this recruitment closes. Interested applicants are encouraged to apply to each recruitment notice to ensure consideration for all vacancies. APPLICATION NOTICEYou can ONLY apply for this position through the Workplace Alaska website or via hardcopy application. If you accessed this recruitment bulletin through a job search portal such as AlaskaJobs or any other database, you MUST use a Workplace Alaska online or hardcopy application to successfully apply. Instructions on how to apply with Workplace Alaska may be found on the Workplace Alaska ""How to Apply"" webpage, found here: http://doa.alaska.gov/dop/workplace/help/NOTICEQuestions regarding the application process can be directed to the Workplace Alaska hotline at 800-587-0430 (toll free) or (907) 465- 4095. If you choose to be contacted by email, please ensure your email address is correct on your application and that the spam filter will permit email from the 'govermentjobs.com' domains. For information on allowing emails from the 'governmentjobs.com' domains, visit the Lost Password Help page located at https://www.governmentjobs.com/OnlineApplication/User/ResetPassword. EEO STATEMENTThe State of Alaska complies with Title I of the Americans with Disabilities Act (ADA). Individuals with disabilities, who require accommodation, auxiliary aides or services, or alternative communication formats, please call 1-800-587-4095 in Juneau or TTY: Alaska Relay 711 or 1-800-770-8973 or correspond with the Division of Personnel & Labor Relations at: P. O. Box 110201, Juneau, AK 99811-0201. The State of Alaska is an equal opportunity employer. WORKPLACE ALASKA APPLICATION QUESTIONS & ASSISTANCEQuestions regarding application submission or system operation errors should be directed to the Workplace Alaska hotline at 1-800-587-0430 (toll free) or (907) 465-4095 if you are located in the Juneau area. Requests for information may also be emailed to recruitment.services@alaska.gov. For applicant password assistance please visit: https://www.governmentjobs.com/OnlineApplication/User/ResetPassword

SUPPLEMENTAL INFORMATION
For specific information in reference to the position please contact the hiring manager at: Michelle HansenAdministrative Officer 2Phone: (907) 793-1239Fax: (907) 276-7542michelle.hansen@alaska.gov",11d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846919545f9654651e77c77aa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7d5e1876&cb=1668210612796&jobListingId=1008247314865&cpc=2CAED5C921A5F994&jrtk=3-0-1ghkhil4fi169801-1ghkhil52irkn800-5614d6cf512e70be--6NYlbfkN0AC6SQMfAkHCondRquBNcE2ntt1snCy3fyoZRReqai0Oc6uh1cQ6sGCULMDVf7_tCJFoT7iRNZ6I0ief0dx3EPl71DNcOQ63gCVl_Z65SNLY6svvYCGX2eWIZ9xmc0ER2cpgh-opaL3G8G-bWFSQlUa1FGXVsa15ghwEy6mKd2KCYnbFj3jaqQsxfn4CfqD07h2bF2MH2BYQUR06hD2lP2otd9W_0zGuK2AfaaIXSX2nyuB6TvDgutVeq2zlP9Ko3GS1jyIinjTyAc1Dq8s0eFGNns-aoFeRA6lZFpV_g76RrVWJ0iT-a1G_uczJFWH5VjbqWEMomFng3ir0ohhdzulH1Cr--HEf9zzh88ZGPb37abA4IUTom4uLS07LdHIQaD3iGMaBTbT_QUIT1Wtuc3zXJX0ndCBtRMPCUbzb1m4GVrIayOasZDH2tIqnn-58YkCTwxpu9JMBLzTloZ3FgtZLebGCPFAieVANGIHpk1M09QXfpq2naiSMV0cbxBgW7laXIIZcmO0l3zPxd03EjUqlFRKch8hP7w5Qn_6PRalT37NZX_ztaZOwokICWhaBa7-FuX7QocjjZvvF1PE2q-Yzc1vu4Ux14pvCFWhRYbnxDJkxXy865Ts0N6E8jwfE1skdZQ0tFd2ojkzmGTf5V6YpSxzSdmo9E6DfBZGwhWTjX6ef8zYJPh8ERb5ZR6hI4hpMKuC-c6dI2P723SSa3xij3DycC9-L08Do0498DEYXZO2ZaEKuq0vyFCTrsA7SrPdh8Ud1FReG_sYJFMbz0FW3Q-jzapVILOmRWfk8kShE5NTcTMo5ktqnz0tahslIK6DL4Q6vIR2iRxHtcPHM-5OTso4DgeoTn1fjAogmYtTsB99SmWlgonxXrwJxP3m2Fc-ixA7bQLvsoSBvhzafwRGGxWOSXbq14yNL9pZG3yVnjXZ5N6xfIawZTZXocw7pFm31-EqTbfVyw_vI6XZxX3zqoVzQhzXuv8-bT3ZypXvEcuso8yor94QTxJwGMyQPOimcPxLOrJIr-sR8zghR5FrHHZ5g2UXURLA505XNXm_i9mESEvbMoDsMH4xfXTz7U0%3D
"['MATRIX Resources', '4.3']",http://www.matrixres.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Rebuild Americas Infrastructure with Our Fortune 200 Materials and Logistics Client
Position: EHS Data Analyst
Location: Dallas, TX 75201
Term: 11 Months

Day-to-Day Responsibilities:
Provides functional support to our EH&S Corporate functions and those platforms used throughout our operations.
Provides support for various SAP modules including configuration and enhancement requests from the user community and company management.
Implements configuration changes, redesigns, new releases and updates to the systems environment in an effort to optimize the use of Information Technology.",11d,
"['Rhode Island Quality Institute', '3.3']",http://www.riqi.org/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Description:
Are you seeking an innovative opportunity to make a difference while delivering high-integrity, high-value clinical and operational data to support health and health care? At RIQI, our staff is committed to improving health and healthcare in the RI Community by providing and protecting trusted data and information. Consider joining our dynamic team today!

WHAT WE DO:

The Rhode Island Quality Institute operates Rhode Island's Health Information Exchange (HIE) and is the state-designated Regional Health Information Organization (RHIO). We are a center for collaborative innovation that enables the best healthcare in Rhode Island making available trusted data and information. With a wide array of services available, we facilitate improvements in health and healthcare through initiatives that support care coordination, reduce medical errors and waste, advance quality measurement, and engage patients and families in their care.





Requirements:",1d,
