Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

The future. It’s on you. You & Western Digital.
We’ve been storing the world’s data for more than 50 years. Once, it was the most important thing we could do for data. Now we’re helping the world capture, preserve, access and transform data in a way only we can.
The most game-changing companies, consumers, professionals, and governments come to us for the technologies and solutions they need to capture, preserve, access, and transform their data.
But we can’t do it alone. Today’s exceptional data challenges require your exceptional skills. It’s You & Us. Together, we’re the next big thing in data.

Western Digital® data-centric solutions are found under the G-Technology™, HGST, SanDisk®, Tegile™, Upthere™, and WD® brands.",24d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_52d1bbd8&cb=1668224442452&jobListingId=1008214434971&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-13d99a3f724739aa-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",29d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8db64d7d&cb=1668224445327&jobListingId=1008203684519&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-d494e2e67838e6e4-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",9d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_aee8ed58&cb=1668224447299&jobListingId=1008252353848&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-ae8b4da5d8ff3228-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_eb535b9a&cb=1668224450111&jobListingId=1008016118710&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-719f04bdfba83f36-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dac477d9&cb=1668224452213&jobListingId=1008124754945&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-1357bb9583c1086d-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",9d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fe144eae&cb=1668224455830&jobListingId=1008252352622&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-da35e61aa6bddc5f-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",9d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95d7238e&cb=1668224458690&jobListingId=1008252335854&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-8b07f41f2ca477fe-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",9d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7e246c86&cb=1668224460584&jobListingId=1008252378132&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-4202ee273eec3b41-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

The future. It’s on you. You & Western Digital.
We’ve been storing the world’s data for more than 50 years. Once, it was the most important thing we could do for data. Now we’re helping the world capture, preserve, access and transform data in a way only we can.
The most game-changing companies, consumers, professionals, and governments come to us for the technologies and solutions they need to capture, preserve, access, and transform their data.
But we can’t do it alone. Today’s exceptional challenges require your exceptional skills. It’s You & Us. Together, we’re the next big thing in data storage.",1d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_42bc3dbc&cb=1668224464350&jobListingId=1008270064225&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-e8a12a7b6ccb6f03-
"['Western Digital', '3.8']",http://jobs.wdc.com/,"SHPE 2022 Attendee, New College Grad Engineering","San Jose, CA",$60K - $92K (Glassdoor est.),"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.
At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.
We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018469eccc8d88fb1452a1833251&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_14597c4b&cb=1668224468260&jobListingId=1008080084249&jrtk=3-0-1ghkupj5kmbgq801-1ghkupj64grgj800-2cb04a1d5ff39d64-
