Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Whirlpool Corporation', '4.1']",http://www.whirlpoolcorp.com/,Android Software Engineer (Remote),"Chicago, IL",$72K - $96K (Glassdoor est.),"Requisition ID: 51805
Whirlpool Corporation (NYSE: WHR) is committed to being the best global kitchen and laundry company, in constant pursuit of improving life at home. In an increasingly digital world, the company is driving purposeful innovation to meet the evolving needs of consumers through its iconic brand portfolio, including Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, Indesit and Yummly. In 2021, the company reported approximately $22 billion in annual sales, 69,000 employees and 54 manufacturing and technology research centers.
Whirlpool Corporation is consistently recognized by FORTUNE as one of the World’s Most Admired Companies. Our values are the driving force behind everything we do. Integrity, Respect, Inclusion & Diversity, One Whirlpool, and Spirit of Winning propel our teams to excellence. Get to know us and see what it's like to be part of a company that is in constant pursuit of improving life at home.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b48a276810a5b2ef2fc1f08&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_57e97761&cb=1668247244760&jobListingId=1008175612164&jrtk=3-0-1ghlkh8l7ma7b801-1ghlkh8lqii2f800-02b952567bf2c986-
"['Whirlpool Corporation', '4.1']",http://www.whirlpoolcorp.com/,Android Software Engineer (Remote),"Chicago, IL",$72K - $96K (Glassdoor est.),"Requisition ID: 51805
Whirlpool Corporation (NYSE: WHR) is committed to being the best global kitchen and laundry company, in constant pursuit of improving life at home. In an increasingly digital world, the company is driving purposeful innovation to meet the evolving needs of consumers through its iconic brand portfolio, including Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, Indesit and Yummly. In 2021, the company reported approximately $22 billion in annual sales, 69,000 employees and 54 manufacturing and technology research centers.
Whirlpool Corporation is consistently recognized by FORTUNE as one of the World’s Most Admired Companies. Our values are the driving force behind everything we do. Integrity, Respect, Inclusion & Diversity, One Whirlpool, and Spirit of Winning propel our teams to excellence. Get to know us and see what it's like to be part of a company that is in constant pursuit of improving life at home.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b48a276810a5b2ef2fc1f08&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3c3f2bcd&cb=1668247247387&jobListingId=1008053681765&jrtk=3-0-1ghlkh8l7ma7b801-1ghlkh8lqii2f800-eaaf1538ff3aca3c-
"['Whirlpool Corporation', '4.1']",http://www.whirlpoolcorp.com/,Global Consumer Design Associate - UX User Experience Researcher / Designer,"Benton Harbor, MI",$48K - $73K (Glassdoor est.),"Requisition ID: 54737

Whirlpool Corporation (NYSE: WHR) is committed to being the best global kitchen and laundry company, in constant pursuit of improving life at home. In an increasingly digital world, the company is driving purposeful innovation to meet the evolving needs of consumers through its iconic brand portfolio, including Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, Indesit and Yummly. In 2021, the company reported approximately $22 billion in annual sales, 69,000 employees and 54 manufacturing and technology research centers.
Whirlpool Corporation is consistently recognized by FORTUNE as one of the World’s Most Admired Companies. Our values are the driving force behind everything we do. Integrity, Respect, Inclusion & Diversity, One Whirlpool, and Spirit of Winning propel our teams to excellence. Get to know us and see what it's like to be part of a company that is in constant pursuit of improving life at home.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b48f6a892a577b9ab21cdfa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e9a228b4&cb=1668247265044&jobListingId=1008135570135&jrtk=3-0-1ghlkhtmoim9a801-1ghlkhtnbg4es800-06e7ec9aad12b9cd-
"['Whirlpool Corporation', '4.1']",http://www.whirlpoolcorp.com/,Global Consumer Design Associate - UX User Experience Researcher / Designer,"Benton Harbor, MI",$48K - $73K (Glassdoor est.),"Requisition ID: 54737
Whirlpool Corporation (NYSE: WHR) is committed to being the best global kitchen and laundry company, in constant pursuit of improving life at home. In an increasingly digital world, the company is driving purposeful innovation to meet the evolving needs of consumers through its iconic brand portfolio, including Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, Indesit and Yummly. In 2021, the company reported approximately $22 billion in annual sales, 69,000 employees and 54 manufacturing and technology research centers.
Whirlpool Corporation is consistently recognized by FORTUNE as one of the World’s Most Admired Companies. Our values are the driving force behind everything we do. Integrity, Respect, Inclusion & Diversity, One Whirlpool, and Spirit of Winning propel our teams to excellence. Get to know us and see what it's like to be part of a company that is in constant pursuit of improving life at home.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b48f6a892a577b9ab21cdfa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_66b1c601&cb=1668247268046&jobListingId=1008175204075&jrtk=3-0-1ghlkhtmoim9a801-1ghlkhtnbg4es800-b621d62e6caa96dd-
"['Winwire Technologies', '4.2']",http://www.winwire.com/,Cyber Security Architect,Remote,$76K - $114K (Glassdoor est.),"Cyber Security architect
Remote
This role in summary
As a Cyber Security Engineering and Architecture Senior Analyst, you will help secure
infrastructure against both insider and outsider threats. You will help deploy and manage
state-of-the-art security tools and platforms to identify threats, respond to incidents, and protect our
global assets. Additionally, you’ll work collaboratively with other members of our Global Security",10d,
"['Altirnao', '3.7']",http://www.aodocs.com/,Cyber Security Architect,Remote,$76K - $114K (Glassdoor est.),"Location: Atlanta, or remote USA
Effective Date: Now
AODocs is the only cloud-native and serverless document management and business process platform used by millions of users worldwide and recognized by major analyst firms like Forrester and Gartner as one of the global players in the content services platform space.
Why join our team?
Are you interested in machine learning and AI? Or large-scale migration projects? Or learn more about the processes involved in getting a medical device approved by the FDA? From technical skills to domain expertise, your missions at AODocs will allow you to build an impressive resume!",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b494e60ba32cec64284eba0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_827b7ac6&cb=1668247292337&jobListingId=1007642237399&jrtk=3-0-1ghlkijk3klur801-1ghlkijkj209v000-f1538607b16f026f-
['Hilton Garden Inn - Los Angeles/Burbank | OTO Development'],,Cyber Security Architect,Remote,$76K - $114K (Glassdoor est.),"FRONT OFFICE SUPERVISOR
BURBANK, CA
APPLY
SHARE
OTO provides competitive pay and benefit programs, including medical insurance options, dental and vison insurance, 401k with company match, company provided life insurance, tuition assistance, paid time off, paid holiday time, travel discounts, and more.
Position: Front Desk Supervisor
Department: Property",25d,
"['Altirnao', '3.7']",http://www.aodocs.com/,Cyber Security Architect,Remote,$76K - $114K (Glassdoor est.),"Location: Atlanta or remote, USA
Effective Date: Now
AODocs is the only cloud-native and serverless document management and business process platform used by millions of users worldwide and recognized by major analyst firms like Forrester and Gartner as one of the global players in the content services platform space.
Why join our team?
Are you interested in machine learning and AI? Or large-scale migration projects? Or learn more about the processes involved in getting a medical device approved by the FDA? From technical skills to domain expertise, your missions at AODocs will allow you to build an impressive resume!",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b494e60ba32cec64284eba0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a79962b&cb=1668247298031&jobListingId=1007642236968&jrtk=3-0-1ghlkijk3klur801-1ghlkijkj209v000-d25b67f03cf143ef-
"['Los Angeles County Department of Human Resources', '3.6']",http://dhs.lacounty.gov/,Cyber Security Architect,Remote,$76K - $114K (Glassdoor est.),"DEPARTMENT OF HEALTH SERVICES

EXAM NUMBER: Y5836H

OPEN COMPETITIVE JOB OPPORTUNITY

ORIGINAL POSTING DATE: 03/21/2007
THIS ANNOUNCEMENT IS A REBULLETIN TO UPDATE THE EXAMINATION CONTENT INFORMATION.

SPECIAL SALARY INFORMATION:
Due to the Manpower Shortage Recruitment, new appointments and current incumbents shall be compensated at Step 5 of the applicable salary range. This is in effect until June 30, 2023 or until it is determined that a shortage no longer exists, whichever is sooner



The Los Angeles County Department of Health Services (DHS) is the second largest municipal health system in the nation. DHS operates as an integrated health system, operating 26 health centers and four acute care hospitals, in addition to providing health care to youth in the juvenile justice system and inmates in the LA County jails. Across the network of DHS' directly operated clinical sites and through partnerships with community-based clinics, DHS cares for about 600,000 unique patients each year, employs over 23,000 staff, and has an annual operating budget of 6.5 billion.

Through academic affiliations with the University of California, Los Angeles (UCLA), the University of Southern California (USC), and the Charles R. Drew University of Medicine and Sciences (CDU), DHS hospitals are training sites for physicians completing their Graduate Medical Education in nearly every medical specialty and subspecialty. In addition, to its direct clinical services, DHS also runs the Emergency Medical Services (EMS) Agency and the County's 911 emergency response system, as well as Housing for Health and the Office of Diversion and Re-entry, each with a critical role in connecting vulnerable populations, including those released from correctional and institutional settings, to supportive housing.


To advance the health of our patients and our communities by providing extraordinary care.


Performs physical therapy procedures, as delegated by a physical therapist, to assist patients with physical or mental disease or injury in acute medical or rehabilitative hospitals, clinics, or other settings to attain, regain, or maintain physical functioning or to adjust to their disabilities.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b494e60ba32cec64284eba0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_68c24cf7&cb=1668247300845&jobListingId=1005571494669&jrtk=3-0-1ghlkijk3klur801-1ghlkijkj209v000-19bcf1ed2992ffe0-
"['Whirlpool Corporation', '4.1']",http://www.whirlpoolcorp.com/,Whirlpool Engineering Rotational Leadership Development - Full Time - July 2023*,"Saint Joseph, MI",$39K - $57K (Glassdoor est.),"Whirlpool Corporation (NYSE: WHR) is committed to being the best global kitchen and laundry company, in constant pursuit of improving life at home. In an increasingly digital world, the company is driving purposeful innovation to meet the evolving needs of consumers through its iconic brand portfolio, including Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, Indesit and Yummly. In 2021, the company reported approximately $22 billion in annual sales, 69,000 employees and 54 manufacturing and technology research centers.

Whirlpool Corporation is consistently recognized by FORTUNE as one of the World’s Most Admired Companies. Our values are the driving force behind everything we do. Integrity, Respect, Inclusion & Diversity, One Whirlpool, and Spirit of Winning propel our teams to excellence. Get to know us and see what it's like to be part of a company that is in constant pursuit of improving life at home.",24d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b49b2a58f32c35f08bb2a88&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_773baf57&cb=1668247311662&jobListingId=1008216909658&jrtk=3-0-1ghlkjcmakhot801-1ghlkjcmqimbd800-262d812bcdef45dd-
