Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['World Fuel Services', '3.5']",https://www.wfscorp.com/,IT Developer II,"Miami, FL",$72K - $95K (Glassdoor est.),"At World Fuel Services, our employees are the key to our global success. We are industry leaders due to the innumerable talents of our approximately 5000 strong professional team. Our people thrive in an entrepreneurial and culturally-diverse environment, where innovative thinking, collaboration and efficient execution are highly valued. Our high-performance culture is what allows us to drive sustained growth. Stronger together, we promote an environment where individuals can thrive.

When you click 'Apply', you will need to click on 'Create Account'. By creating an account, you will be able to view your applications and their statuses. Your password must contain 1 upper case letter, 1 number, and 1 special character.
World Fuel Services, is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469bbe6eeb69693362aed4ba4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0129e947&cb=1668221243891&jobListingId=1008072185101&jrtk=3-0-1ghkrnpp6ma7t801-1ghkrnppmh4f9800-0be766fb2cde48da-
"['World Fuel Services', '3.5']",https://www.wfscorp.com/,IT Developer II,"Miami, FL",$72K - $95K (Glassdoor est.),"At World Fuel Services, our employees are the key to our global success. We are industry leaders due to the innumerable talents of our approximately 5000 strong professional team. Our people thrive in an entrepreneurial and culturally-diverse environment, where innovative thinking, collaboration and efficient execution are highly valued. Our high-performance culture is what allows us to drive sustained growth. Stronger together, we promote an environment where individuals can thrive.

When you click 'Apply', you will need to click on 'Create Account'. By creating an account, you will be able to view your applications and their statuses. Your password must contain 1 upper case letter, 1 number, and 1 special character.
World Fuel Services, is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469bbe6eeb69693362aed4ba4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_798ef356&cb=1668221247667&jobListingId=1007611765638&jrtk=3-0-1ghkrnpp6ma7t801-1ghkrnppmh4f9800-0d5ad4df1afecf22-
"['Sargent & Lundy', '4.0']",http://www.sargentlundy.com/,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"Overview:

Sargent & Lundy is one of the oldest and most experienced full-service architect-engineering firms in the world. Founded in 1891, the firm is a global leader in power and energy with expertise in grid modernization, renewable energy, energy storage, nuclear power, and fossil fuels. Sargent & Lundy delivers comprehensive project services—from consulting, design and implementation to construction management, commissioning and operations/maintenance—with an emphasis on quality and safety. The firm serves public and private sector clients in the power and energy, gas distribution, industrial, and government sectors.

Our Core Values

Every decision we make is guided by our core values. By upholding these six principles, we support our clients, employees, and community. They are the compass we follow as we continue to grow our business and lead the industry.












Responsibilities:

Qualifications:",30d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018469bc5ee788473f29588450ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_31f58d81&cb=1668221272102&jobListingId=1008203061013&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1ghkronp12cgl001-1ghkronpli7nt800-953280d465e309a8--6NYlbfkN0BihZOeQke7NeE38zme60AoE6R-T9CDEocBflrqbtzsurcjT9-e9lkwLc_7Ffv_CJzrBgUKBfXRcU2Am15GmuSdBCAJit3iGiU1367U1338KYQiyTP7jzG5bsbHacOdWGFk0jdrweI_RKq-eGElNufnjqwAJlbO4RMBWD8ajVZH8Qq-s2NUrZSvn7a92QJBLz0tnju7VuJSzIcj_WwPdfgt3MFIloAhzq6MgLxU6bqAyVHmmnpNjJlwEZJo-8bTFRiSdeNvzD0R7RK3afebhy-GUlU0g4c3FUshvOJyZFMnXrkKcC1PWxHk6E6umKaFFKOwmfJ-T_LCSczFtT11iN6hKMLcHvJvxmEkDSRJhrr-ME2pKvux1tLogD0qPKayPLj9uBm2WyZWZjWQjMs1Gk1SCVpP8RCVmBW5bxGTW7dBYo6IHXDoIDVVb2AktTrJLrFRMvsLaLhxC4Qzqxc9ioHDiUdX_qSCV-vGl42W66lEIGhVrejxab8FHS0fAoD0sAPoioybhdMRxTAEtoAU3giQzbDAx3gjdd74kSjK5MQhj-suw0UO9W6qnMu0VmboF4oXg-KA-Z9h5Vh4lC3vD9SaxHpDeEmbpueLzpUGhXk7-O2qukankd0IRqhMgjSbGzgB_llWGZ8ObwVbVZl9slaiCwCM2RvTPR2vKrakcNc95YG-zhc8KLU3SESclN9MOpkTEUUAggkpa11rz7LlZkbecyDq0JAkmuqp-hnONweTxg%3D%3D
"['Target', '3.6']",http://www.target.com/,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"Location: 7000 Target Pkwy N, Brooklyn Park, Minnesota, United States, 55445
JOIN TARGET CYBERSECURITY AS A LEAD ENGINEER - THREAT DETECTION ANALYTICS AND ENGINEERING
(Full-Time Remote or Hybrid)
About Us
As a Fortune 50 company with more than 400,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.
Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It’s how we care, grow, and win together.",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469bc5ee788473f29588450ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fc45dbbd&cb=1668221275074&jobListingId=1008263825885&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkronp12cgl001-1ghkronpli7nt800-ac6e2b21ef8e43c2--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIbEzGownH_L0_wgVvmdp1a1WlElguwq7b6wC26ItTA1qpMpaccIeoabSdps_kVBCzNKktdbQXy2XLm4n2yTJRKzHPX1rdYjv1ANPs1iWRZkVrIeqqaklXFyi67Z8Aa80y6lFsKVtV5P8IMzRQj0-FEoCDKbK9P2gsS8REeCaBlBfcz8dzQA8maMsKECyoc_RQ7aPDJA2x5H1PrgpJeYdci6IMK_SWumWCvHdMYZhke8qqnnOwywKc6tGakstIGQyu_uIuZRfusz4kNIzMOWBLduHn9UfBCUFUfimNYw05mJ4jOTVfnd3NfWryGZOr460TYbyjD1mDw-ktDi7zB6y9eEIXBhsmQUSNNfKqNpYVgO4zaFY9PGN9V3WUhuC5cAhETiM9489YD6r
"['ChampionX', '3.6']",http://www.championx.com/,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"ChampionX has an immediate need for a Digital Solutions Business Analyst in based in Sugar Land, TX. The Chemical Technologies Digital Solutions Business Analyst will work closely with key business partners within the ChampionX organization.
In this role, you will focus on digital solutions for both Chemical Technologies field and customers. This position will be global in scope and work as a liaison with various stakeholders within Chemical Technologies, Digital Solutions, and IT.

What In It For You:
The ability to make an impact and shape your career with a company that is dedicated to improving lives and passionate about growth",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018469bc5ee788473f29588450ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cf42dff3&cb=1668221278201&jobListingId=1008190264767&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkronp12cgl001-1ghkronpli7nt800-de99334db2404e0e--6NYlbfkN0DUpEo3no2hQ-kw48Wgth6or7nMQVrRpdXrxnGnkjmUuuqLlxXfT3-UO9SHhmSlaNrWLmhdSz5Y9lYgbezKHEcUa4IB82QuJp5MntMrjz10p-8dWnH-A7KP87FyRVOfvmKexHidakpe_cBginHPaoXdcKhM88MBWmz27s9SUFG62qjAdR9xC8VYIxZGqMCsJ0sG8hYLzKXriC9tOLNans7QJP9UZQJCR39_jzY4TKImzxUjTWKvPauIV3HiRWcUTRyLO8w2YUZLI0dn5j7FJ6HdJXGAtIwUE7r7KWJfF8vANTBA9PWK0unkNm-lWLGlbq1aBWe225TioVVbZq-ABwik48Li1-OFhzJJovQMsKpx8OlRmwN5i_PGk1vT-HHW2PhDCwLRR3QeNl-e7BN4qbfC4zboD5k3Clj7UO1KvF5J6xgOgU3VlvrcY106B7LtgLN0yeRSerAmJBHr-VfFhDdkejmX2fNSiv8NJBon3GfLLybKbt-WXpyfdYVg17zRVJrBbVGmvrRnVAUcxDOAhhoagODDOcRxXjuGb6jP_rs_calpFD6Gva42U9zoFihVTvF7RjNAL6KsVGnhua_NmSQXMHII6esd3u8GIp2XU3UjjgkwCibEcmaDv_7pHCNzyk75R10ymdKXNZcz5qKAhVv1ddHnqacBlMohY8RNPwynoYsTciUpHgRiKMu2hCz3ltvoxaJHK7P6OXg9p5OG3IyxyJwOX2tUT0LT6A3STiv3s-AN5j3yPWnhQ2O6BcAKwjDoN_HD0x0-1GL2wZLMnPUF_74_YgUKkR7gVvx70M-f7AxV9xnPj-JJFij_TFDueX5sD2knJUpukLCuLsmJLUXR36MAQDPoUA0idP231UpZFkxAvaJ7UloIUoXAFt2ThgYFhSSO7MQBYGRNNMMz2Sg5BHbfMW-JWFons3jm2KHTiq3kh6sa7-wsTeyjnlYcX49vHUPHt1uXGDrnorEcesAAm9ddmFZpq0ceU5Nbrx7GUjD2hsIKdqqgXdS_VAnDcIFYEeHmhbGnyZCt7En_icBRSsBZ7Px-9Rli4vgFtxUMK1V_CtPq5WWZJ5L0HUriX6Nr4bgiN3XFpKB_cV6Z_6XmJv6uQIc6crmfj4R-5iCycZFpJIFGrcEBX94zuUb0fmzGE_3Ywa7lcw4-btCny1KLhVCvCXdJGxWJN5Nz_YSpasLIxV_CqVn7rJu-j3Pr298%3D
"['CF Industries', '3.8']",http://www.cfindustries.com/,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"At CF Industries, our mission is to provide clean energy to feed and fuel the world sustainably. Our employees are focused on safe and reliable operations, environmental stewardship, and disciplined capital and corporate management. By joining CF, you will be part of a team that brings their varied experiences, wide-ranging knowledge and diverse talents together to deliver important work and you'll be able to pursue complex, exciting opportunities that help you continue to grow and achieve your potential in different areas. You'll take pride in working for a company that lives its values and where you can be yourself at work, as part of an authentic team that encourages you to share your views and opinions. Our nine manufacturing complexes in the United States, Canada, and the United Kingdom, an unparalleled storage, transportation and distribution network in North America, and logistics capabilities enabling a global reach underpin our strategy to leverage our unique capabilities to accelerate the world's transition to clean energy.

Function:
Information Technology



The HRIT Workday Sr Business Systems Analyst - Integrations is a self-starting individual with an aptitude for creative and critical thinking. You use your business expertise and enjoy collaborating with partners and helping implement positive change.

You envision solutions that follow good data design and create insightful data visualizations to drive impactful business decisions.

You play an active role in a high-performing team that works closely with HR and Payroll clients to deliver solutions in a mature Workday HRIS environment with over 80 integrations. You should be comfortable writing technical specifications; building, modifying, and updating integrations; communicating with and supporting clients through integration testing; troubleshooting post-production issues with current integrations; engaging with 3rd party vendors; and coordinating file transfers with vendors and internal security.

You think critically, plan and execute effectively and collaborate cross-functionally with HR and IT peers. You nurture positive, professional relationships, acting as a trusted partner and a respectful challenger.

CF Industries has a cloud first IT Strategy. We've invested in the good stuff; SAP, Salesforce, Workday, Azure, ServiceNow and Tableau and the teams are working to get all of our business units integrated. The foundations of your success include your attention to detail, listening to the requirements, and taking the initiatives all the way through to the finish line.

You are skilled with today's communication technologies, and you can interact well to ensure all are on the same page. We're looking for people who help clear roadblocks to reach our company's objectives.








Sr. Business Systems Analyst has the responsibility to understand, define, and contribute to a long-term business system strategy that will be aligned with the overall corporate strategy. The incumbent will provide tactical and strategic support and guidance through IT projects, systems conversions, and enterprise change initiatives. This role will work with all levels of the business and must be able to adapt business changes and needs.



You'll enjoy competitive compensation, consisting of base pay plus an incentive program available to all full-time employees, and a comprehensive benefits package including high-quality healthcare options, a well-being incentive program, 401k, pension, life and disability insurance, generous time off (with time off to volunteer) and much more! Additionally, we offer several Flexible Work Arrangements to support a healthy work-life balance.

You will be part of a team that brings their varied experiences, wide-ranging knowledge and diverse talents together to deliver important work, and you'll be able to pursue complex, exciting opportunities that help you continue to grow and achieve your potential in different areas. You'll take pride in working for a company that lives its values and gain a sense of fulfillment



Pay Transparency

https://www.dol.gov/sites/dolgov/files/OFCCP/pdf/pay-transp_%20English_formattedESQA508c.pdf

FMLA:

https://www.dol.gov/whd/regs/compliance/posters/fmlaen.pdf

Employee Polygraph Protection Act

https://www.dol.gov/whd/regs/compliance/posters/eppac.pdf





If you need any assistance seeking a job opportunity at CF Industries, or if you need reasonable accommodation with the application process, please call 847-405-2400 or contact us at cfhire@cfindustries.com .",1d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018469bc5ee788473f29588450ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_beb27947&cb=1668221281013&jobListingId=1008270811147&jrtk=3-0-1ghkronp12cgl001-1ghkronpli7nt800-bf8859e1744e3607--6NYlbfkN0AY9EsLMBLxod60FIxMQASYRPfHska3Ye5S-QbApm1IGksRhYcgRe3MmCBJn4iLqRfJkeaDtEMWLIyp__lWgDPejZwUS9OY5uzAp9tivLa8z0X-HPlOsLs5JmvzF8BTD-OocBfuqWV2Ld8TrplEyKkvE6P3tLiD5ezM8sTptnj7tOr8fDccU_DnjMaDUa69lZ-mGz1SudzU1rwS_ofzIscu3w8oILq0AgJOf71SuDlxR2jVK59x_6Q3F32NHsuyy5x9_opOdmxGE_asnYmZBQoxD5YBWHtMswFrH8Hcr2VZmAjDf5K7O83sHsym5EXCuO-Hw9_GZvtHnAkivZDRwxe8HRdkRHyoVoPMMIQOw6DRlaA7yFxOgiqpoq9BNrtm-O0gcfYExKyFzJrrpQnR3SDO7k_X01NENbtteNRUjiIe2AhvCK2rayZYi4p3MRR7MKydqPoLiNCEkAp1tQW0kmjiq-wtIwZNx-VYb2f38rnBM--cX9DsUCgvlGL3RJgGpPX-4Eu8ymCCwO68JU1qr7FBlHUgPWClfxxT0Hyw3t0xwQftB1ky3J44
"['CrowdStrike', '4.3']",http://www.crowdstrike.com/careers,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role:
CrowdStrike is looking for a highly motivated, self-driven manager for its fast-paced Cloud Services team, dedicated to making a difference in global security by protecting organizations against the most advanced attackers in the world. Cloud is the new frontier for security, and at CrowdStrike we are “cloud-first” and “cloud-forward”.




CrowdStrike, Inc. is committed to fair and equitable compensation practices. For applicants in Ithaca - NY, New Jersey City - NJ, and Colorado, the salary range is $135.000 - $185.000 per year + bonus + equity + benefits. A candidate’s salary is determined by various factors including, but not limited to, relevant work experience, skills, and certifications. The salary range may differ in other states.",24d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469bc5ee788473f29588450ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_38238a1b&cb=1668221284000&jobListingId=1008215869012&jrtk=3-0-1ghkronp12cgl001-1ghkronpli7nt800-fd83de76f81ed476-
"['CrowdStrike', '4.3']",http://www.crowdstrike.com/careers,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role:
CrowdStrike is the leader in cloud-delivered next-generation endpoint protection, threat intelligence, and pre- and post-incident response services. With the ability to collect and process over 100 billion events a day, CrowdStrike has revolutionized endpoint protection by being the first and only company to unify next-generation antivirus (AV), endpoint detection and response (EDR), and a 24/7 managed hunting service — all delivered via a single lightweight agent. We are one of the World's Most 50 Innovative Companies according to MIT, and one of Forbes Most Promising Companies. Our growth and innovation are driven by incredible employees who deliver unmatched customer success.",11d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469bc5ee788473f29588450ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6508d146&cb=1668221286796&jobListingId=1008247374393&jrtk=3-0-1ghkronp12cgl001-1ghkronpli7nt800-2dbe8dd4781db81d-
"['FLEETCOR', '3.5']",http://www.fleetcor.com/,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"Summary:
FLEETCOR is seeking to recruit an Automation Solutions Analyst for the Corpay Payables business.

Corpay Payables is one of the fastest growing and important divisions of FLEETCOR. We provide companies with a smarter way to track, manage and pay their expenses. Our products eliminate manual and disjointed processes, and deliver digital payments with speed and controls that minimize risk (www.corpay.com).
Our solutions automate accounts payable functions to improve operational efficiency, enhance control and visibility, mitigate risks, and prevent fraud, allowing A/P to focus on more important tasks.
Our customers can utilize enhanced payment security with virtual cards that have unique account numbers to allow payment only to approved vendors.

FLEETCOR has initiated a search for an Automation Solutions Analyst. We are seeking a process-oriented individual with a passion for improving the customer experience by refining both customer-facing processes as well as internal processes that support our customers. This role is responsible for re-engineering processes so that our customers experience improvements when utilizing our products and services. The work requires constant focus on improving the overall customer experience by increasing quality and driving efficiencies. This includes defining, reengineering and monitoring processes to ensure service level agreement (SLA) adherence. To ensure strategic projects meet their objectives, the Automation Solutions Analyst is responsible for defining and executing user acceptance testing (UAT). To be successful in this role and deliver holistic solutions, this individual will need to work closely with other groups within Operations, Product Management, Finance, and Technical Support.

Responsibilities
The Ideal Candidate
Personal Characteristics

Extreme Ownership
Organized with a problem-solving mindset

FLEETCOR Technologies, Inc. (“FLEETCOR”) is a leading global provider of business payment solutions. We help companies of all sizes control, simplify and secure payment of various domestic and cross-border payables using specialized payment products. We serve businesses, partners, merchants, consumers and payment networks in North America, Latin America, Europe, and Asia Pacific.
(as of December 31, 2021)

Our payment solutions provide our customers with a payment method designed to be superior to and more robust and effective than what they use currently, whether they use a competitor’s product or another alternative method such as cash or check. We group our payment solutions into five primary categories: Fuel, Lodging, Tolls, Corporate Payments and Gift. Each category is unique in its focus, customer base and target markets, but they also share a number of characteristics: customers are primarily businesses, have recurring revenue models, have specialized networks which create barriers to entry, have high margins, and have similar selling systems.


Our Mission
Create better ways for businesses and their partners to pay their expenses

Our Strategy

FLEETCOR will continue double-digit revenue growth by executing on four growth planks:
Our Commitment to Diversity, Equality, Inclusion, Belonging

Together we can foster true belonging. We know different ideas, perspectives and backgrounds lead to better innovation and results. We are therefore committed to building and nurturing a culture of diversity, inclusion, and belonging by:
Embracing diversity enables our people to “make the difference” at FLEETCOR.

Our Values

FLEETCOR’s culture reflects our history of fast growth and our continued drive for results. Our entrepreneurial spirit remains strong across our global workforce, and we reinforce these principles in our five core values:
These values guide all of our employees and are infused in all aspects of our Company. We are, as a team, united through these shared values and our mission to provide “a better way to pay.”

Our values foster an inclusive culture through the expectation that all employees will treat each other with respect and appreciate the diversity of identities, thoughts, backgrounds and styles. Our commitment to fostering an inclusive culture has never been more essential than in this moment of national reflection. We must always celebrate the diversity of our company and our communities.

We strongly believe that the quality and diversity of our workforce provide FLEETCOR with a competitive advantage, and that our problem-solving and solution-building efforts are greatly enhanced when we harness the collective thinking of a diverse group of people with unique experiences and perspectives.


FLEETCOR is an Equal Opportunity Employer. FLEETCOR provides equal employment opportunities to all employees and applicants without regard to race, color, gender (including pregnancy), religion, national origin, ancestry, disability, age, sexual orientation, gender identity or expression, marital status, language, ancestry, genetic information, veteran and/or military status or any other group status protected by federal or local law. If you require reasonable accommodation for the application and/or interview process, please notify a representative of the Human Resources Department.

For more information about our commitment to equal employment opportunity and pay transparency, please click the following links: EEO and Pay Transparency.",30d,
"['Yum! Brands', '3.5']",http://jobs.kfc.com/,IT Quality Assurance Analyst,"Albuquerque, NM",$69K - $102K (Glassdoor est.),"As Sr. Analyst,Information Governance,you will have the opportunity to be involved in all areas ofinformation governance supporting Yum! Brands, from restaurants to digital commerce systems, and data analytics platforms.
As Sr. Analyst,Information Governance, you will develop and leverage a broad base of information governance policies and standards to help address strategic business questions and issues. The position must understand the high-level strategy and direction of global initiatives stemming out groups such as Decision Sciences and Digital Commerce.
TheSr. Analyst,Information Governance will work in close collaboration with peer groups across Global Technology Risk Management (GTRM) and with other Yum! Brands functions such as IT, Decision Sciences, Digital Commerce, Legal, and Data Privacy. This role will leverage these relationships to help design, develop and ultimately promulgate practical, commonsense information governance solutions and services to support the wider enterprise.",22d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018469bc5ee788473f29588450ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_63388678&cb=1668221296812&jobListingId=1008221663173&jrtk=3-0-1ghkronp12cgl001-1ghkronpli7nt800-c033b6f3b2fd6c57-
