,name,Pros,Cons
0,General Mills,"['""cares about people and great company as a whole"" (in 315 reviews)', '""And Great benefits"" (in 293 reviews)', '""Work life balance is good if you plan ahead and keep on top of your work."" (in 267 reviews)', '""great culture and values."" (in 194 reviews)', '""Good pay and Beneefit and a lot of program to help there people"" (in 153 reviews)']","['""Management is poor and doesn’t promote deserving candidate for an IJP."" (in 78 reviews)', '""A good manager can make the perfect job seem the worst."" (in 57 reviews)', '""Recent layoffs were not handled well and some employees feel they set General Mills up for failure"" (in 43 reviews)', '""Change in characteristics/behaviors that are valued by senior leadership"" (in 38 reviews)', '""Teams that were once highly motivated and worked long hours now leave the office promptly at 3:00 p.m. every day."" (in 37 reviews)']"
1,Tenneco,"['""The pay is good but it\'s still not enough for how awful this company is."" (in 112 reviews)', '""great people to work with in receiving weekends"" (in 59 reviews)', '""Benefits were good as well."" (in 52 reviews)', '""Good salary other then city"" (in 21 reviews)', '""good money but too many leaders"" (in 13 reviews)']","['""Poor management, but if you are backed by the manager you might have a shot."" (in 53 reviews)', '""I I basically had no work life balance and all my manger excepted was work and no life."" (in 26 reviews)', '""If you arent liked well by an upper management favorite then good luck."" (in 16 reviews)', '""Lack of Management support and leadership."" (in 16 reviews)', '""Not appreciative of people\'s hard work and no training."" (in 15 reviews)']"
2,Waste Management,,
3,Viatris,,
4,DISH Network,"['""The pay was good and after a month or so the mastery of skill sets is very beneficial."" (in 508 reviews)', '""The people are great and the advancement is there if you want to work for it."" (in 312 reviews)', '""training is good and you get up training almost every week."" (in 141 reviews)', '""Lots of great coworkers and responsibilities."" (in 115 reviews)', '""Working at Dish I made good money and a lot of money I made $85K by September."" (in 99 reviews)']","['""Poor management little customer traffic too many stores in one area"" (in 445 reviews)', '""Terrible benefits (potential new hires have rejected offers solely on the awful benefits package alone.)"" (in 398 reviews)', '""It’s just sad that managers have to break the rules to give their employees the flexibility they deserve."" (in 198 reviews)', '""Upper management is clueless and will belittle you any chance they get."" (in 182 reviews)', '""Long hours meant that you wouldn\'t always be getting home at the expected time."" (in 163 reviews)']"
5,L3Harris Technologies,"['""The overall company cares about their employees and the benefits are good."" (in 203 reviews)', '""Best of all are the great people I get to work with and the exciting problems that we solve together."" (in 199 reviews)', '""If your working under contract through yoh then the pay is good when you get it every week"" (in 159 reviews)', '""Work/life balance is good but I think that depends a lot on the team you\'re on."" (in 100 reviews)', '""Coworkers were great and had managers who trusted employees to get the work done."" (in 68 reviews)']","['""poor management there"" (in 140 reviews)', '""Raises are low (mine with a standard performance rating was 2.2%)"" (in 47 reviews)', '""Senior leadership very disconnected from the needs of the employees; employees very much viewed as commodities; immature DEI model; no semblance of work"" (in 43 reviews)', '""Many managers (not all) are too busy to help guide engineers career paths."" (in 37 reviews)', '""Upper management are arrogant, out of touch and not transparent."" (in 33 reviews)']"
6,DXC Technology,"['""+ Good work/life balance if you\'re willing to set firm boundaries (and your leadership abides by those boundaries)"" (in 1862 reviews)', '""Can work from home and flexible work hours"" (in 758 reviews)', '""Many really good people to work with and interesting clients"" (in 622 reviews)', '""Work culture is good and fast"" (in 532 reviews)', '""Good benefits is the only pro and they were better under HPE"" (in 378 reviews)']","['""low salary compared to competitors; frequently too many calls; company mostly hired part timers who didn\'t have enough experience"" (in 920 reviews)', '""Big investment in this area but a lot to fix from past years of poor management."" (in 839 reviews)', '""No Bonuses... its like you have to always prove you deserve it and then get nothing."" (in 416 reviews)', '""The Managers have the highest power and the HR is just a puppet in their hands."" (in 296 reviews)', '""Massive layoffs in US (read the CSC investor day presentation March 2017!!!)"" (in 285 reviews)']"
7,Block,,
8,Goodyear Tire & Rubber,"['""The pay is good and they are fair when evaluating pay scales for new and existing employees"" (in 151 reviews)', '""Benefits are good and fair for employees"" (in 117 reviews)', '""Good people and fun job"" (in 89 reviews)', '""Salaries in some jobs are pretty good."" (in 48 reviews)', '""The money is good but not worth it"" (in 25 reviews)']","['""Management is poor in the retail department"" (in 74 reviews)', '""Long hours and sometimes you work 6 days a week when short handed"" (in 51 reviews)', '""No work/life balance"" (in 39 reviews)', '""Bad upper management, treated as a number"" (in 36 reviews)', '""Horrible human resource personnel and most of the managers don\'t have the skills to manage people."" (in 31 reviews)']"
9,Uber Technologies,"['""The people are great and the use of data within the company to inform decisions is incredible."" (in 826 reviews)', '""Great benefits and in"" (in 650 reviews)', '""Flexible hours and low start up costs are two of the best things about this gig"" (in 645 reviews)', '""I worked the weekends at the shore for the summer so it was very busy and the money was good."" (in 601 reviews)', '""The people at and the culture at Uber are great!"" (in 449 reviews)']","['""Low pay requires you work more than 40 hours per week and all midweek rush hours."" (in 849 reviews)', '""Bad management and stocks :("" (in 263 reviews)', '""work hours are too long and no work life balance"" (in 243 reviews)', '""Salary is low and so is the commission"" (in 186 reviews)', '""Most managers have no idea what they are doing and their incentives do not always align with the teams incentives."" (in 157 reviews)']"
10,Colgate-Palmolive,"['""The people are great and collaborate constantly."" (in 163 reviews)', '""Great benefits and very supportive."" (in 146 reviews)', '""Good work life balance and place to learn"" (in 131 reviews)', '""And great culture"" (in 114 reviews)', '""It has a good salary and it\'s aware of the work"" (in 60 reviews)']","['""bad management and talked down to"" (in 42 reviews)', '""Fake people REALLY BAD MANAGERS"" (in 27 reviews)', '""Long hours and man projects to manage."" (in 16 reviews)', '""The upper management does not give a crap about you."" (in 12 reviews)', '""Mid management needs to align with senior management on personnel policies and start working towards the development of their reports, in order to get people motivated and more committed to their roles"" (in 12 reviews)']"
11,Stanley Black & Decker,,
12,DuPont,"['""Benefits is good and allowances."" (in 224 reviews)', '""Great people to work with and able to make long lasting relationships outside of work."" (in 189 reviews)', '""Good work / life balance (this appears to be individual manager/supervisor specific)"" (in 144 reviews)', '""Great culture and core values"" (in 134 reviews)', '""Good Pay and well Trained"" (in 122 reviews)']","['""Company if falling apart and being sold off due to pending merger with Dow and poor management."" (in 117 reviews)', '""Way to many managers on all levels"" (in 47 reviews)', '""corporate leadership is poor."" (in 41 reviews)', '""Upper management is bloated."" (in 21 reviews)', '""Many layoffs"" (in 20 reviews)']"
13,Stryker,"['""The people are great and all work toward a common goal"" (in 366 reviews)', '""Great culture and a youth setting which was excellent"" (in 363 reviews)', '""Health benefits are great and affordable"" (in 348 reviews)', '""Work life balance is good"" (in 200 reviews)', '""Good pay and time spent"" (in 153 reviews)']","['""Poor management with a focus on win no mater what the cost even at the expense of patients."" (in 152 reviews)', '""Low salaries and non"" (in 94 reviews)', '""Can expect to work long hours and compensation for an entry level employee is not highly competitive although that can quickly change 2"" (in 91 reviews)', '""Lot of managers have been with company for a long time and lack fresh prospective."" (in 78 reviews)', '""Poor leadership exists across the board with a select few carrying the load of all."" (in 52 reviews)']"
14,NextEra Energy,"['""Good benefits and depending your position you may be compensated well."" (in 93 reviews)', '""Good pay and chance for advancement"" (in 64 reviews)', '""Great people to work with accross the site."" (in 61 reviews)', '""Salary is good."" (in 25 reviews)', '""great opportunities to help the US transform to 100% renewable energy"" (in 19 reviews)']","['""Some departments have no work life balance and you work really long hours."" (in 53 reviews)', '""If they could just weed out bad management it would be much better."" (in 48 reviews)', '""Having a bad manager can make any roll really difficult."" (in 23 reviews)', '""Upper management has a cap on promotions and they expect the person to give 175% for years in order to be promoted."" (in 18 reviews)', '""Long hours and crazy on"" (in 18 reviews)']"
15,Targa Resources,"['""The benefits are good."" (in 10 reviews)', '""analyst program and decent pay."" (in 8 reviews)', '""Great people, very helpful and willing to teach"" (in 7 reviews)', '""Competitive salaries, 401K, paid vacations"" (in 4 reviews)']","['""Bad management, does not believe in promoting women."" (in 7 reviews)', '""Some managers are certainly better than others for certain, but there are managers who treat younger employees as worker bees to give them information so that they can take all the credit for it and not give credit to those responsible for finding and compiling it."" (in 4 reviews)', '""The culture is not good"" (in 3 reviews)', '""No leadership, bunch of finger pointing, no responsibility, no communication, Good \'ol boy clubs, they reward brown noses."" (in 3 reviews)']"
16,Western Digital,"['""Great people and a good work"" (in 211 reviews)', '""Very flexible and good work/life balance."" (in 205 reviews)', '""good benefit and not many change every year"" (in 152 reviews)', '""Good culture as there are a lot of people coming from diversed background and ethnic"" (in 90 reviews)', '""Salaries are good but not highest in the market"" (in 85 reviews)']","['""Bad management with full loads of unnecessary work."" (in 126 reviews)', '""Too many layoffs."" (in 61 reviews)', '""There are few good managers that will actually look out for you."" (in 55 reviews)', '""Poor upper management."" (in 35 reviews)', '""No career growth"" (in 21 reviews)']"
17,PPG Industries,"['""Good benefits for full time employees"" (in 21 reviews)', '""Good pay and easy work"" (in 16 reviews)', '""good people to work with"" (in 15 reviews)', '""Great work/life balance."" (in 7 reviews)', '""Most of my coworkers are great"" (in 6 reviews)']","['""Poor management Supply chain issues with paint seem to be persistent"" (in 16 reviews)', '""There is a large disconnect from local markets and upper management."" (in 7 reviews)', '""low salary not proper training"" (in 6 reviews)', '""Comprehensive Training."" (in 4 reviews)', '""Practice favoritisms."" (in 4 reviews)']"
18,American Electric Power,"['""Benefits are good and inexpensive"" (in 87 reviews)', '""Good pay and that\'s about it."" (in 62 reviews)', '""Great people and place to work."" (in 57 reviews)', '""AEP culture and workplace ambience is great."" (in 27 reviews)', '""Good work life balance for employees"" (in 20 reviews)']","['""Antiquated management and changing work environment"" (in 32 reviews)', '""4) Upper management will ALWAYS make Wall Street and their view point their primary concern"" (in 14 reviews)', '""Some of the poor leadership has retired/left so hopefully the mentality that managers and above must preserve their jobs changes."" (in 12 reviews)', '""Managers are also not approachable for questions, as you are already suppose to know everything, even though you may be transitioning from a different industry."" (in 10 reviews)', '""Poor training, it would be nice to have a good training or someone to teach you"" (in 7 reviews)']"
19,Gap,,
20,BJ's Wholesale Club,"['""Great people to work with and always busy."" (in 153 reviews)', '""The pay was good for the work and the guys you work with are cool."" (in 147 reviews)', '""Good benefits such as healthcare and time off"" (in 110 reviews)', '""Friendly and nice coworkers"" (in 108 reviews)', '""Hours are flexible because staffing is usually able to cover for shifts without much trouble."" (in 97 reviews)']","['""everything everyone is miserable poor management"" (in 264 reviews)', '""Certain managers and never know when get a bad customer."" (in 148 reviews)', '""Upper management was not good."" (in 46 reviews)', '""To much favoritism and conflicts"" (in 40 reviews)', '""Never enough good qualified team members to complete daily assignments."" (in 36 reviews)']"
21,Reinsurance Group of,,
