item,itemLabel
http://www.wikidata.org/entity/Q5289,.NET Framework
http://www.wikidata.org/entity/Q29120,Apache Hadoop
http://www.wikidata.org/entity/Q33079,Java Web Start
http://www.wikidata.org/entity/Q83994,Spring Integration
http://www.wikidata.org/entity/Q143035,CppUnit
http://www.wikidata.org/entity/Q151778,PRADO Framework
http://www.wikidata.org/entity/Q158833,.NET Micro Framework
http://www.wikidata.org/entity/Q189475,Laminas
http://www.wikidata.org/entity/Q207656,Apache Wave
http://www.wikidata.org/entity/Q223449,Apache CXF
http://www.wikidata.org/entity/Q239084,Windows Presentation Foundation
http://www.wikidata.org/entity/Q261595,Windows Communication Foundation
http://www.wikidata.org/entity/Q284312,aRts
http://www.wikidata.org/entity/Q286530,ABAP Unit
http://www.wikidata.org/entity/Q290508,ADO.NET
http://www.wikidata.org/entity/Q295819,ANX (Framework)
http://www.wikidata.org/entity/Q302022,ActiveX
http://www.wikidata.org/entity/Q379635,Advanced Linux Sound Architecture
http://www.wikidata.org/entity/Q379683,Jakarta Cactus
http://www.wikidata.org/entity/Q537288,Wiring
http://www.wikidata.org/entity/Q568694,PEAR
http://www.wikidata.org/entity/Q569280,Java Authentication and Authorization Service
http://www.wikidata.org/entity/Q613361,Windows Forms
http://www.wikidata.org/entity/Q616749,Apache Forrest
http://www.wikidata.org/entity/Q616955,Apache Muse
http://www.wikidata.org/entity/Q641368,Xtext
http://www.wikidata.org/entity/Q646928,Modular Audio Recognition Framework
http://www.wikidata.org/entity/Q662200,Component Object Model
http://www.wikidata.org/entity/Q681360,OpenCL
http://www.wikidata.org/entity/Q683179,Insight Segmentation and Registration Toolkit
http://www.wikidata.org/entity/Q720314,Spring Framework
http://www.wikidata.org/entity/Q722656,Mono
http://www.wikidata.org/entity/Q742738,Assistive Technology Service Provider Interface
http://www.wikidata.org/entity/Q746599,Prototype JavaScript Framework
http://www.wikidata.org/entity/Q747866,Hibernate
http://www.wikidata.org/entity/Q752522,Selenium
http://www.wikidata.org/entity/Q773217,Apache Shiro
http://www.wikidata.org/entity/Q847675,JUnit
http://www.wikidata.org/entity/Q851939,Entity Framework
http://www.wikidata.org/entity/Q906328,Distributed Component Object Model
http://www.wikidata.org/entity/Q910119,DUnit
http://www.wikidata.org/entity/Q920313,iAd
http://www.wikidata.org/entity/Q941283,S60
http://www.wikidata.org/entity/Q969382,Twisted
http://www.wikidata.org/entity/Q994371,Object Windows Library
http://www.wikidata.org/entity/Q1037598,WorldForge
http://www.wikidata.org/entity/Q1051988,Cocoa
http://www.wikidata.org/entity/Q1067615,Windows Driver Frameworks
http://www.wikidata.org/entity/Q1140664,IP Multimedia Subsystem
http://www.wikidata.org/entity/Q1153684,.NET Compact Framework
http://www.wikidata.org/entity/Q1154450,Windows Workflow Foundation
http://www.wikidata.org/entity/Q1156326,OSGi
http://www.wikidata.org/entity/Q1181833,Decibel
http://www.wikidata.org/entity/Q1206778,device mapper
