,name,sim_company_1,sim_company_2,sim_company_3,sim_company_4
0,3M,Autoliv,Advance Auto Parts,Applied Materials,Ally Financial
1,A-Mark Precious Metals,Aflac,Ally Financial,Jefferies Financial Group,Ameren
2,AECOM,Jacobs Engineering Group,Baker Hughes,Aramark,Beacon Roofing Supply
3,AGCO,3M,Applied Materials,Amgen,Arrow Electronics
4,AIG,Auto-Owners Insurance,American Family Insurance Group,Allstate,American Financial Group
5,AT&T,Arrow Electronics,Apple,Bank of America,American Express
6,AbbVie,Amgen,AmerisourceBergen,Baxter International,Aramark
7,Academy Sports and Outdoors,Air Products & Chemicals,American Family Insurance Group,Ally Financial,Ameren
8,Activision Blizzard,Aramark,Advance Auto Parts,Automatic Data Processing,AGCO
9,Adobe,AmerisourceBergen,Automatic Data Processing,3M,Arthur J. Gallagher
10,Advance Auto Parts,AutoNation,AutoZone,American Airlines Group,BJ's Wholesale Club
11,Advanced Micro Devices,Air Products & Chemicals,Baker Hughes,Adobe,Avery Dennison
12,Aflac,A-Mark Precious Metals,American Express,Alleghany,Ameriprise Financial
13,Air Products & Chemicals,Baker Hughes,Applied Materials,American Airlines Group,Johnson & Johnson
14,Albertsons,Aramark,AutoNation,Advance Auto Parts,Bed Bath & Beyond
15,Alleghany,Aflac,American Financial Group,Avantor,A-Mark Precious Metals
16,Allstate,AIG,Auto-Owners Insurance,Assurant,American Family Insurance Group
17,Ally Financial,Bank of America,AutoNation,Bank of New York Mellon,Assurant
18,Altice USA,Adobe,AT&T,Amazon,Bank of America
19,AltriaGroup,Avery Dennison,Automatic Data Processing,Baker Hughes,American Express
20,Amazon,AutoZone,Bed Bath & Beyond,Advance Auto Parts,AutoNation
21,Ameren,Baker Hughes,Air Products & Chemicals,Apple,AECOM
22,American Airlines Group,Advance Auto Parts,AutoNation,Ally Financial,Autoliv
23,American Express,Bank of America,Ameriprise Financial,Ally Financial,Bank of New York Mellon
24,American Family Insurance Group,AIG,American Financial Group,Auto-Owners Insurance,Allstate
25,American Financial Group,Old Republic International,American Family Insurance Group,AIG,Auto-Owners Insurance
26,American Tower,TravelCenters of America,Motorola Solutions,Academy Sports and Outdoors,Activision Blizzard
27,Ameriprise Financial,American Express,Assurant,Bank of America,Bank of New York Mellon
28,AmerisourceBergen,AbbVie,Amgen,Aramark,3M
29,Amgen,AbbVie,AmerisourceBergen,Applied Materials,Baxter International
30,Apollo Global Management,Arthur J. Gallagher,Ally Financial,Beacon Roofing Supply,Avis Budget Group
31,Apple,Arrow Electronics,Jabil,AT&T,Avnet
32,Applied Materials,Jabil,3M,Amgen,Air Products & Chemicals
33,Aramark,Albertsons,Advance Auto Parts,AmerisourceBergen,AutoZone
34,Archer Daniels Midland,Air Products & Chemicals,Baker Hughes,3M,Baxter International
35,Arrow Electronics,AT&T,Avnet,Northrop Grumman,3M
36,Arthur J. Gallagher,Assurant,Old Republic International,Auto-Owners Insurance,Ally Financial
37,Asbury Automotive Group,Ally Financial,Auto-Owners Insurance,Allstate,Jones Financial (Edward Jones)
38,Assurant,Ally Financial,Allstate,Arthur J. Gallagher,Bank of America
39,Auto-Owners Insurance,AIG,Allstate,American Family Insurance Group,Asbury Automotive Group
40,AutoNation,Advance Auto Parts,Autoliv,AutoZone,Ally Financial
41,AutoZone,Advance Auto Parts,AutoNation,Autoliv,Amazon
42,Autoliv,AutoNation,AutoZone,3M,Advance Auto Parts
43,Automatic Data Processing,American Express,Adobe,Avnet,Arrow Electronics
44,Avantor,Amgen,Applied Materials,3M,AGCO
45,Avery Dennison,AltriaGroup,Arrow Electronics,Applied Materials,3M
46,Avis Budget Group,American Airlines Group,Beacon Roofing Supply,NVR,Apollo Global Management
47,Avnet,Arrow Electronics,Jabil,3M,Automatic Data Processing
48,BJ's Wholesale Club,Bath & Body Works,Advance Auto Parts,AutoNation,Amazon
49,Baker Hughes,NextEra Energy,Ameren,AECOM,Air Products & Chemicals
50,Bank of America,Bank of New York Mellon,Ally Financial,Morgan Stanley,American Express
