crunchbase.ID,glassdoor.ID,Crunchbase.CName,Glassdoor.CName,confidence
1,101,3M,3M,1.0
2,445,A-Mark Precious Metals,A-Mark Precious Metals,0.88
3,259,AECOM,AECOM,1.0
5,333,AGCO,AGCO,1.0
6,66,AIG,AIG,1.0
9,12,AT&T,AT&T,1.0
10,62,AbbVie,AbbVie,0.88
12,480,Academy Sports and Outdoors,Academy Sports and Outdoors,1.0
13,395,Activision Blizzard,Activision Blizzard,0.9
14,234,Adobe,Adobe,1.0
15,336,Advance Auto Parts,Advance Auto Parts,0.88
16,225,Advanced Micro Devices,Advanced Micro Devices,0.9
17,160,Aflac,Aflac,0.9
18,349,Air Products & Chemicals,Air Products & Chemicals,1.0
19,51,Albertsons,Albertsons,1.0
21,317,Alleghany,Alleghany,0.88
22,65,Allstate,Allstate,1.0
23,344,Ally Financial,Ally Financial,0.9
25,354,Altice USA,Altice USA,0.88
26,164,AltriaGroup,AltriaGroup,1.0
27,1,Amazon,Amazon,1.0
28,499,Ameren,Ameren,0.88
29,113,American Airlines Group,American Airlines Group,1.0
31,84,American Express,American Express,1.0
32,250,American Family Insurance Group,American Family Insurance Group,1.0
33,463,American Financial Group,Securian Financial Group,0.88
34,374,American Tower,American Tower,1.0
35,276,Ameriprise Financial,Ameriprise Financial,1.0
36,9,AmerisourceBergen,AmerisourceBergen,0.88
37,139,Amgen,Amgen,1.0
41,385,Apollo Global Management,Apollo Global Management,0.9
42,2,Apple,Apple,1.0
43,155,Applied Materials,Applied Materials,1.0
44,313,Aramark,Aramark,1.0
45,37,Archer Daniels Midland,Archer Daniels Midland,0.9
47,103,Arrow Electronics,Arrow Electronics,1.0
48,421,Arthur J. Gallagher,Arthur J. Gallagher,1.0
49,359,Asbury Automotive Group,Asbury Automotive Group,1.0
50,324,Assurant,Assurant,1.0
51,338,Auto-Owners Insurance,Auto-Owners Insurance,1.0
52,140,AutoNation,AutoNation,1.0
53,248,AutoZone,AutoZone,1.0
54,420,Autoliv,Autoliv,1.0
55,241,Automatic Data Processing,Automatic Data Processing,1.0
56,456,Avantor,Avantor,0.9
57,411,Avery Dennison,Avery Dennison,1.0
58,377,Avis Budget Group,Avis Budget Group,1.0
59,179,Avnet,Avnet,1.0
60,220,BJ's Wholesale Club,BJ's Wholesale Club,1.0
61,169,Baker Hughes,Baker Hughes,1.0
63,35,Bank of America,Bank of America,1.0
64,228,Bank of New York Mellon,Bank of New York Mellon,1.0
65,434,Bath & Body Works,Bath & Body Works,1.0
66,199,Baxter International,WESCO International,0.88
66,242,Baxter International,Edison International,0.88
66,291,Baxter International,Baxter International,1.0
67,477,Beacon Roofing Supply,Beacon Roofing Supply,1.0
69,380,Bed Bath & Beyond,Bed Bath & Beyond,1.0
70,6,Berkshire Hathaway,Berkshire Hathaway,0.88
71,270,Berry Global Group,Berry Global Group,1.0
72,67,Best Buy,Best Buy,0.88
73,337,Biogen,Biogen,1.0
74,183,BlackRock,BlackRock,1.0
76,207,Block,Block,1.0
78,431,Boise Cascade,Boise Cascade,1.0
79,339,Booking Holdings,Booking Holdings,1.0
80,435,Booz Allen Hamilton Holding,Booz Allen Hamilton Holding,0.88
81,243,BorgWarner,BorgWarner,1.0
82,318,Boston Scientific,Boston Scientific,1.0
83,467,Brighthouse Financial,Brighthouse Financial,0.9
84,81,Bristol-Myers Squibb,Bristol-Myers Squibb,1.0
85,127,Broadcom,Broadcom,1.0
86,175,Builders FirstSource,Builders FirstSource,1.0
87,376,Burlington Stores,Burlington Stores,1.0
88,153,C.H. Robinson Worldwide,C.H. Robinson Worldwide,0.88
89,125,CBRE Group,CBRE Group,0.88
90,165,CDW,CDW,0.9
93,132,CMS Energy,NRG Energy,0.88
93,450,CMS Energy,CMS Energy,1.0
94,297,CSX,CSX,1.0
95,3,CVS Health,CVS Health,1.0
96,334,Caesars Entertainment,Caesars Entertainment,1.0
97,408,Campbell Soup,Campbell Soup,1.0
98,474,Camping World Holdings,Camping World Holdings,0.88
99,107,Capital One Financial,Capital One Financial,0.88
100,173,CarMax,CarMax,1.0
101,14,Cardinal Health,Cardinal Health,1.0
