,Unnamed: 0,name,headquaters_location_city,headquaters_location_state,headquaters_location_country,headquaters_regions,founder,website_link,hub,num_employees_enum,last_funding_type,rank_org_company,IPO_status,industries,stock_symbol,description,founded_date,operating_status,also_known_as,company_type,legal_name,contact_phone,number_of_exits
0,0,1QVIA Holdings,Danbury,Connecticut,United States,"['East Coast', 'New England', 'Northeastern US']",['Dennis Gillings'],https://www.iqvia.com/,[],501 to 1000 Employees,Post-IPO Equity,"57,312",Public,"['Analytics', 'Health Care', 'Life Science']",NYSE:IQV ,"IQVIA is a global provider of advanced analytics, technology solutions and contract research services to the life sciences industry.",,,,,,,
1,1,3M,Saint Paul,Minnesota,United States,"['Greater Minneapolis-Saint Paul Area', 'Great Lakes', 'Midwestern US']",[],https://www.3m.com,['3M Alumni Founded Companies'],10000+ Employees,,"22,281",Public,"['Automotive', 'Electronics', 'Enterprise Software', 'Manufacturing']",NYSE:MMM ,"3M operates as a diversified technology company, manufacturing products, including adhesives, abrasives, laminates, passive fire protection, dental and orthodontic products, electronic materials, medical products, car-care products, electronic circuits, and optical films. It operates in the industrial and transportation; health care; safety, security, and protection services; consumer and office; display and graphics; and electro and communications businesses. Its industrial and transportation business serves a range of markets, such as appliance, paper and packaging, food and beverage, electronics, automotive original equipment manufacturer, and automotive aftermarket.",1902,Active,3M Co,For Profit,1902.0,Active,2.0
2,2,A-Mark Precious Metals,Santa Monica,California,United States,"['Greater Los Angeles Area', 'West Coast', 'Western US']",['Steven C. Markoff'],http://www.amark.com,[],51 to 200 Employees,,"202,255",Private,"['Precious Metals', 'Trading Platform']",,"A-Mark Precious Metals is a full-service precious metals trading company and an official distributor for many government mints throughout the world. The company offers gold, silver, platinum and palladium in the form of bars, plates, powder, wafers, grain, ingots and coins. Its Industrial unit services manufacturers and fabricators of products utilizing or incorporating precious metals, while its Coin & Bar unit deals in over 200 coin and bar products in a variety of weights, shapes and sizes for distribution to dealers and other qualified purchasers.",1965,,Active,For Profit,,,
3,3,AECOM,Los Angeles,California,United States,"['Greater Los Angeles Area', 'West Coast', 'Western US']",['Richard G. Newman'],http://www.aecom.com/,['AECOM Alumni Founded Companies'],10000+ Employees,,"123,829",Public,"['Civil Engineering', 'Construction', 'Consulting', 'Energy', 'Government', 'Information Technology']",NYSE:ACM ,"AECOM is a global provider of professional technical and management support services to a broad range of markets, including transportation, facilities, environmental, energy, water and government. With approximately 45,000 employees around the world, AECOM is a leader in all of the key markets that it serves. AECOM provides a blend of global reach, local knowledge, innovation and technical excellence in delivering solutions that create, enhance and sustain the world's built, natural, and social environments. A Fortune 500 company, AECOM serves clients in more than 150 countries and had revenue of $8.0 billion during the 12 months ended March 31, 2014.",,,,,,,
4,4,AES,Virginia Beach,Virginia,United States,"['East Coast', 'Southern US']","['Dennis Bakke', 'Roger Sant']",http://www.aes.com/home/default.aspx,[],10000+ Employees,,"101,150",Public,"['Energy', 'Energy Efficiency', 'Renewable Energy']",NYSE:AES ,"AES provides affordable and reliable energy to customers around the world through its distribution businesses and thermal and renewable power generation facilities. With more than 30 years of experience, diverse mix of generation and utility sources provides the strength and flexibility to adapt to local and regional market needs, maximize plant efficiency and deliver reliable, affordable electricity.",1981,,Active,For Profit,,,2.0
5,5,AGCO,Duluth,Georgia,United States,"['Greater Atlanta Area', 'East Coast', 'Southern US']",['Robert J. Ratliff'],http://agcocorp.com,[],10000+ Employees,,"154,455",Public,"['Agriculture', 'Farming', 'Innovation Management', 'Manufacturing']",NYSE:AGCO ,"AGCO Corporation (AGCO) is a manufacturer and distributor of agricultural equipment and related replacement parts globally. The Company sells a range of agricultural equipment, including tractors, combines, self-propelled sprayers, hay tools, forage equipment and implements. It also manufactures and distributes grain storage and handling equipment systems, as well as protein production systems. Its products are recognized in the agricultural equipment industry and are marketed under a range of brands, including Challenger, Fendt, Massey Ferguson and Valtra. The Company distributes its products through a combination of approximately 3,100 independent dealers and distributors in more than 140 countries. In September 2013, Grain Systems, Inc. (GSI), a global brand of the Company announced that it has purchased Johnson System Inc. (JSI), manufacturer of catwalks, towers and support structures based in Marshall, Michigan.",1990,,Active,For Profit,,,
6,6,AIG,New York,New York,United States,"['Greater New York Area', 'East Coast', 'Northeastern US']",['Cornelius Vander Starr'],https://www.aig.com,['American International Group Alumni Founded Companies'],10000+ Employees,,"132,122",Public,"['Financial Services', 'Insurance', 'Life Insurance', 'Property Insurance']",NYSE:AIG ,"American International Group operates as a global insurance company, serving clients in over 80 countries and jurisdictions. It provides a range of insurance products to support our clients in business and in life, including general property/casualty, life insurance, and retirement, and financial services through its general insurance, life and retirement, and investment business units. The company was founded in 1919 and is headquartered in New York.","Dec 19, 1919",Active,AIG,For Profit,,,1.0
7,7,APA,Washington,District of Columbia,United States,"['Washington DC Metro Area', 'Southern US']",[],http://apa.org/,[],5001 to 10000 Employees,,"231,838",Private,"['Association', 'Education', 'Health Care', 'Medical', 'Non Profit']",,"The American Psychological Association is the largest scientific and professional organization of psychologists in the United States and Canada.The association primarily focuses on diagnosis, treatment, and prevention of mental illnesses, including mental retardation and substance-related disorders.Its services include encouraging the development and application of psychology in the broadest manner; promoting research in psychology, the improvement of research methods and conditions, and the application of research findings; improving the qualifications and usefulness of psychologists by establishing high standards of ethics, conduct, education, and achievement; and increasing and disseminating psychological knowledge through meetings, professional contacts, reports, papers, discussions, and publications.The association was founded in 1844 and is based in Arlington, Virginia. Today, APA has nearly 130,000 members and 54 divisions in subfields of psychology.",1892,,Active,For Profit,,,
8,8,ARKO,Bergen,Hordaland,Norway,"['Nordic Countries', 'Scandinavia']",[],http://arko.no,[],1 to 50 Employees,,"281,570",Private,"['Electronics', 'Health Care', 'Software']",,,"Jan 1, 2003",,Active,For Profit,,,
9,9,AT&T,Dallas,Texas,United States,"['Dallas/Fort Worth Metroplex', 'Southern US']","['Alexander Graham Bell', 'Gardiner Greene Hubbard', 'Thomas Sanders']",https://www.att.com/,"['Gardiner Greene Hubbard', 'AT&T Alumni Founded Companies', 'AT&T Portfolio Companies']",10000+ Employees,,"61,157",Public,"['Mobile', 'Service Industry', 'Telecommunications', 'Wireless']",NYSE:T ,"AT&T is a telecommunications company that provides wireless communications, local exchange, and long-distance services for consumers and businesses in the United States and internationally.The company offers its services in two segments: wireless and wireline. Its wireless segment offers various wireless voice, data, text, and other services. This segment sells various handsets, wirelessly-enabled computers, and wireless data cards for personal computers through its owned stores, agents, and third-party retail stores. It also sells accessories comprising carrying cases, hands-free devices, batteries, battery chargers, and other items to consumers as well as to agents and third-party distributors. As of December 31, 2013, this segment served approximately 110 million wireless subscribers.The company’s wireline segment provides data services such as switched and dedicated transport, DSL internet access, network integration, managed web hosting, packet, and enterprise networking services as well as local, interstate, and international wholesale networking capacity solutions to other service providers. This segment also offers voice services consisting of local and long-distance services; wholesale switched access services to other service providers; and outsourcing and integration services as well as CPE and government-related services. This segment has served approximately 12 million retail consumers, 10 million retail businesses, and 2 million wholesale access lines.AT&T is headquartered in Dallas, Texas.","Oct 5, 1983",Active,SBC Communication,For Profit,,,18.0
