rank,company,website,URL
1,Walmart,https://www.walmart.com/,"https://www.glassdoor.com/Overview/Working-at-Walmart-EI_IE715.11,18.htm"
2,Amazon,https://www.amazon.com/,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm"
3,Apple,https://www.apple.com/,"https://www.glassdoor.com/Overview/Working-at-Apple-EI_IE1138.11,16.htm"
4,CVS Health,https://www.cvshealth.com/,"https://www.glassdoor.com/Overview/Working-at-CVS-Health-EI_IE437.11,21.htm"
5,UnitedHealth Group,https://www.unitedhealthgroup.com/,"https://www.glassdoor.com/Overview/Working-at-UnitedHealth-Group-EI_IE1991.11,29.htm"
6,Exxon Mobil,https://corporate.exxonmobil.com/,"https://www.glassdoor.com/Overview/Working-at-ExxonMobil-EI_IE237.11,21.htm"
7,Berkshire Hathaway,https://www.berkshirehathaway.com/,"https://www.glassdoor.com/Overview/Working-at-Berkshire-Hathaway-HomeServices-EI_IE3908515.11,42.htm"
8,Alphabet,https://abc.xyz/,"https://www.glassdoor.com/Overview/Working-at-Alphabet-EI_IE4920495.11,19.htm"
9,McKesson,https://www.mckesson.com/,"https://www.glassdoor.com/Overview/Working-at-McKesson-EI_IE434.11,19.htm"
10,AmerisourceBergen,https://www.amerisourcebergen.com/,"https://www.glassdoor.com/Overview/Working-at-AmerisourceBergen-EI_IE2703.11,28.htm"
11,Costco Wholesale,https://www.costco.com/,"https://www.glassdoor.com/Overview/Working-at-Costco-Wholesale-EI_IE2590.11,27.htm"
12,Cigna,https://www.cigna.com/,"https://www.glassdoor.com/Overview/Working-at-Cigna-EI_IE119.11,16.htm"
13,AT&T,https://www.att.com/,"https://www.glassdoor.com/Overview/Working-at-AT-and-T-EI_IE613.11,19.htm"
14,Microsoft,https://www.microsoft.com/en-in,"https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm"
15,Cardinal Health,https://www.cardinalhealth.com/en.html,"https://www.glassdoor.com/Overview/Working-at-Cardinal-Health-EI_IE1227.11,26.htm"
16,Chevron,https://www.chevron.com/,"https://www.glassdoor.com/Overview/Working-at-Chevron-EI_IE13524.11,18.htm"
17,Home Depot,https://www.homedepot.com/,"https://www.glassdoor.com/Overview/Working-at-The-Home-Depot-EI_IE655.11,25.htm"
18,Walgreens Boots Alliance,https://www.walgreensbootsalliance.com/,"https://www.glassdoor.com/Overview/Working-at-Walgreens-Boots-Alliance-EI_IE3779.11,35.htm"
19,Marathon Petroleum,https://www.marathonpetroleum.com/,"https://www.glassdoor.com/Overview/Working-at-Marathon-Petroleum-EI_IE7657.11,29.htm"
20,Elevance Health,https://www.elevancehealth.com/,"https://www.glassdoor.com/Overview/Working-at-Elevance-Health-EI_IE925157.11,26.htm"
21,Kroger,https://www.kroger.com/,"https://www.glassdoor.com/Overview/Working-at-Kroger-EI_IE386.11,17.htm"
22,Ford Motor,https://www.ford.com/,"https://www.glassdoor.com/Overview/Working-at-Ford-Motor-Company-EI_IE263.11,29.htm"
23,Verizon Communications,https://www.verizon.com/,"https://www.glassdoor.com/Overview/Working-at-Verizon-EI_IE89.11,18.htm"
24,JPMorgan Chase,https://www.jpmorganchase.com/,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm"
25,General Motors,https://www.gm.com/,"https://www.glassdoor.com/Overview/Working-at-General-Motors-GM-EI_IE279.11,28.htm"
26,Centene,https://www.centene.com/,"https://www.glassdoor.com/Overview/Working-at-Centene-EI_IE13542.11,18.htm"
27,Meta Platforms,https://about.facebook.com/,"https://www.glassdoor.com/Overview/Working-at-Meta-EI_IE40772.11,15.htm"
28,Comcast,https://corporate.comcast.com/,"https://www.glassdoor.com/Overview/Working-at-Xfinity-EI_IE1888753.11,18.htm"
29,Phillips 66,https://www.phillips66.com/,"https://www.glassdoor.com/Overview/Working-at-Phillips-66-EI_IE498821.11,22.htm"
30,Valero Energy,https://www.valero.com/,"https://www.glassdoor.com/Overview/Working-at-Valero-Energy-EI_IE704.11,24.htm"
31,Dell Technologies,https://www.dell.com/en-in,"https://www.glassdoor.com/Overview/Working-at-Dell-Technologies-EI_IE1327.11,28.htm"
32,Target,https://www.target.com/,"https://www.glassdoor.com/Overview/Working-at-Target-EI_IE194.11,17.htm"
33,Fannie Mae,https://www.fanniemae.com/,"https://www.glassdoor.com/Overview/Working-at-Fannie-Mae-EI_IE247.11,21.htm"
34,UPS,https://www.ups.com/,"https://www.glassdoor.com/Overview/Working-at-UPS-EI_IE3012.11,14.htm"
35,Lowe's,https://www.lowes.com/,"https://www.glassdoor.com/Overview/Working-at-Lowe-EI_IE17356.11,15.htm"
36,Bank of America,https://www.bankofamerica.com/,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm"
37,Johnson & Johnson,https://www.jnj.com/,"https://www.glassdoor.com/Overview/Working-at-Johnson-and-Johnson-EI_IE364.11,30.htm"
