,Unnamed: 0,name,Pros,Cons
0,0,Walmart,The pay is good and you obtain strong relationships with some of the customers and some of your co (in 8602 reviews)<br/>Good benefits once you have been there long enough to be eligible and the profit sharing is also good (in 4842 reviews)<br/>Great for people who can work crazy hours and don\'t like to go to church on Sunday. (in 3899 reviews)<br/>flexible hours gives you time to go to doctor and other places you might need to go (in 2506 reviews)<br/>Coworkers are great and the job is really easy when you get the hang of it. (in 2342 reviews),Poor management: some of the managers were rude and did not care about their workers. (in 8199 reviews)<br/>Sometimes Manager can be rude and put all the pressure on you and make you work overtime (in 3798 reviews)<br/>No work life balance and you work 50 to 60 hours a week and get paid for 40 (in 1323 reviews)<br/>Management is just trash too much favoritism and the hr doesn’t do nothing when you complain. (in 1017 reviews)<br/>Upper management was terrible they will switch your schedule to fit who they like if they decided they don’t want to work (in 923 reviews)
1,1,Amazon,Pay is good but not worth the asks made from IT and how they are treated (in 10713 reviews)<br/>Their health benefits is good and their career choice is helpful to start a new career. (in 8056 reviews)<br/>They people are great and the fun things that happen monthly are also really great. (in 5019 reviews)<br/>The salary was good and they also used to pay night shift allowances and food allowances every month (in 3106 reviews)<br/>Good for freshers to know the work culture as it will help for future needs. (in 2911 reviews),You do work bloody hard and very long hours so there is no work life balance (in 5616 reviews)<br/>You work long hours and not as many breaks as you would like or need at times. (in 4352 reviews)<br/>Poor management and it\'s difficult to get a hold of someone when there\'s a problem that needs fixing. (in 4006 reviews)<br/>4. Manager quality is a high variance and there are plenty of bad managers. (in 3194 reviews)<br/>short breaks breaks are not breaks when you walk 5 minutes back and forth to have a break (in 1553 reviews)
2,2,Apple,Great benefits and a nice feeling to be apart of a the worlds most valuable brand. (in 4253 reviews)<br/>Working from home is great and the people you work with and meet are the best. (in 2200 reviews)<br/>the pay is good and it can be a fun job where you can make friends in a non (in 1814 reviews)<br/>Great culture and a really genuine commitment by the company to develop and grow as a person. (in 890 reviews)<br/>The team is great and you bound with peers that make your days easier and manage the overall stress (in 596 reviews),sometimes it might be work overloaded with no work life balance and no sleeping time. (in 1178 reviews)<br/>Poor management and tolls (in 1054 reviews)<br/>But know that there is 0 accountability for bad managers and so there are toxic teams that go undetected. (in 704 reviews)<br/>Work can be very demanding with long hours depending on the group you are in. (in 688 reviews)<br/>No sense of how mental health effects different people if you suffer from it and take time off you\'ll most likely be terminated (in 208 reviews)
3,3,CVS Health,Good benefits and if you\'re a decent worker it\'s not hard to move up the ladder. (in 1607 reviews)<br/>Great people just have to give them the chance to get to know you and have an open mind about it (in 1110 reviews)<br/>They were pretty good about offering flexible hours and adjusting to my schedule while still in high school. (in 1030 reviews)<br/>great coworkers (the ones that actually stayed employed more than 3 months that is) (in 853 reviews)<br/>Flexible schedule and easy to find coverage. (in 480 reviews),Low pay for dealing with bad customers and far too many metrics to really be useful (in 1926 reviews)<br/>poor management and not fair to employees (in 1325 reviews)<br/>seeing store managers have to work 60+ hours a week to maintain the store and provide for their family (in 696 reviews)<br/>Upper management is terrible ! (in 571 reviews)<br/>No Training at my externship pharmacy I was just a body that was needed at the time for free labor. (in 549 reviews)
4,4,UnitedHealth Group,Flexible work from home access and hires from within (in 893 reviews)<br/>The benefits were good and the employee benefit programs offered to employees were good as well. (in 782 reviews)<br/>good work life balance and typical consulting travel schedule (in 697 reviews)<br/>The pay was good and co (in 687 reviews)<br/>There\'s are a few great people but there just stuck and don\'t wanna move. (in 500 reviews),Poor management and not very organized. (in 655 reviews)<br/>meanwhile 2 of these managers have been promoted... Can anybody say class action lawsuit? (in 302 reviews)<br/>Poor training and no time allowed to actually correct system deficits or train people well. (in 248 reviews)<br/>We have literally begged Senior Leadership for more help to reduce caseloads and improve compliance. (in 204 reviews)<br/>Upper management is poor with a lot of VPs burning budgets and acting as dead weight. (in 199 reviews)
5,5,Exxon Mobil,The pay was good and so were the people (in 5 reviews)<br/>Good benefits and high paying job (in 5 reviews)<br/>Great people to work with<br/>best boss. (in 4 reviews)<br/>Best company to work as it is employee friendly (in 3 reviews)<br/>Workplace Flexibility and Highly Competitive Salaries (in 3 reviews),
6,6,Berkshire Hathaway,great people to work with (in 44 reviews)<br/>Training is great and innovative. (in 39 reviews)<br/>The benefits are great and it is decent for a first customer service job. (in 18 reviews)<br/>BHHS Towne has a fantastic culture and a very good reputation especially in the area of luxury sales (in 16 reviews)<br/>Lot\'s of company support and great staff !! (in 12 reviews),1. Poor management (in 22 reviews)<br/>no medical and commission only (in 17 reviews)<br/>Pay is low for the work expected. (in 17 reviews)<br/>Low salary and often miscommunication between departments. (in 12 reviews)<br/>Communication is insufficient<br/>incentives are constantly cut back. (in 4 reviews)
8,8,McKesson,The benefits are good as most corporations go and follow most company benefits for vacation etc.. (in 567 reviews)<br/>there are a lot of great people with a lot of knowledge that are very committed to the company. (in 308 reviews)<br/>Good pay and fast HR response time (in 279 reviews)<br/>Good work/life balance (although this is is showing strain under the pandemic) (in 187 reviews)<br/>Great culture and engagement. (in 115 reviews),Poor management and lack of trust. (in 244 reviews)<br/>CEO is the 13th highest paid in the U.S. while stock is flat and layoffs are frequent. (in 100 reviews)<br/>The vision and passion of our executive and senior leadership is completely lost in translation on the way to implementation (in 97 reviews)<br/>Some managers have been here for 10+ in the same position (in 92 reviews)<br/>Poor upper management. (in 84 reviews)
9,9,AmerisourceBergen,Good benefits and very accommodating (in 269 reviews)<br/>The pay was good and they were nice (in 131 reviews)<br/>Most of the people were great to work with and wanted to see the projects succeed. (in 97 reviews)<br/>We care about our patients and have a good work/life balance. (in 41 reviews)<br/>Culture on the Animal Health side is GREAT (in 30 reviews),Management is poor at times (in 113 reviews)<br/>Long hours and physically demanding (in 45 reviews)<br/>Having a bad manager is common (in 38 reviews)<br/>There is no training and despite what they say online<br/>they are NOT \'knowledge driven\'. (in 27 reviews)<br/>you will see explicit favoritism and may be bullied… (in 27 reviews)
10,10,Costco Wholesale,I love Costco because they provide you with a living wage and great benefits even working part time. (in 2365 reviews)<br/>the pay is good and if you work carts then its super easy as well. (in 1915 reviews)<br/>This job is great for people who dislike desk jobs and needs to be physically working. (in 531 reviews)<br/>This place has great coworkers and I\'ve made a lot of friends in a short time here. (in 277 reviews)<br/>And to have Jim Sinegal as the footprint of how to take care of your employees. (in 238 reviews),Poor Management by not listening and hearing employees\' issues and situations (in 854 reviews)<br/>But the share of bad managers far exceeds the good ones and the good ones end up quitting or ask for a demotion. (in 471 reviews)<br/>Long hours and pay use to set the standard but has fallen in the last ten years for salaried employees. (in 324 reviews)<br/>Much favoritism that obstructs the general conduct of business as well as member services. (in 207 reviews)<br/>I\'ve worked at Costco twice and had bad supervisors both times but other departments have great sups. (in 168 reviews)
